sample	club-moss_0.001_1x_1	club-moss_0.001_2x_1	club-moss_0.001_4x_1	club-moss_0.001_8x_1	club-moss_0.002_1x_1	club-moss_0.002_2x_1	club-moss_0.002_4x_1	club-moss_0.002_8x_1	club-moss_0.004_1x_1	club-moss_0.004_2x_1	club-moss_0.004_4x_1	club-moss_0.004_8x_1	club-moss_0.006_1x_1	club-moss_0.006_2x_1	club-moss_0.006_4x_1	club-moss_0.006_8x_1	club-moss_0.008_1x_1	club-moss_0.008_2x_1	club-moss_0.008_4x_1	club-moss_0.008_8x_1	club-moss_0.01_1x_1	club-moss_0.01_2x_1	club-moss_0.01_4x_1	club-moss_0.01_8x_1	club-moss_0.02_1x_1	club-moss_0.02_2x_1	club-moss_0.02_4x_1	club-moss_0.02_8x_1	club-moss_0.0_1x_1	club-moss_0.0_2x_1	club-moss_0.0_4x_1	club-moss_0.0_8x_1	
club-moss_0.001_1x_1	0.0	0.0176039	0.0191371	0.0120091	0.0233042	0.0207405	0.0221433	0.0148259	0.0251219	0.0227099	0.024002	0.0168716	0.0272957	0.0245452	0.0259376	0.0188392	0.0286029	0.026462	0.0277686	0.0207845	0.0305614	0.0281555	0.0294815	0.0226384	0.0395924	0.0371644	0.0382608	0.0317306	0.0216173	0.01882	0.0203237	0.0128485	
club-moss_0.001_2x_1	0.0176039	0.0	0.013581	0.00746719	0.0206659	0.0164694	0.0167679	0.0104072	0.0224304	0.0184641	0.0185746	0.0123436	0.0243853	0.0203244	0.0205098	0.0142889	0.0260884	0.0220938	0.0223976	0.0163032	0.0280129	0.0238848	0.0241525	0.0180734	0.0369124	0.0329254	0.0330643	0.0271838	0.0190055	0.0145909	0.0149488	0.00848084	
club-moss_0.001_4x_1	0.0191371	0.013581	0.0	0.00751166	0.0220795	0.0166765	0.0160244	0.0105051	0.0238151	0.0186412	0.0178112	0.0123752	0.0257913	0.0204277	0.0196985	0.0143001	0.0275665	0.0222174	0.0215754	0.0162205	0.0292605	0.0239476	0.0232654	0.0179516	0.0379968	0.0329905	0.0321753	0.0270495	0.0204211	0.0149171	0.0142219	0.00865457	
club-moss_0.001_8x_1	0.0120091	0.00746719	0.00751166	0.0	0.0148274	0.0104868	0.0106017	0.0040758	0.0166914	0.0124503	0.0125141	0.00610143	0.0186513	0.0143418	0.014479	0.00810486	0.0204934	0.016261	0.0165047	0.0101485	0.0223171	0.0181144	0.0182741	0.0120626	0.031515	0.0275271	0.0276164	0.0216089	0.0129993	0.00853564	0.00869131	0.00203117	
club-moss_0.002_1x_1	0.0233042	0.0206659	0.0220795	0.0148274	0.0	0.0176669	0.0191959	0.0121647	0.0260665	0.0235163	0.024892	0.0177352	0.0279564	0.0254729	0.0267004	0.0196758	0.0297496	0.0273013	0.0286009	0.0215957	0.0314383	0.0290467	0.0303291	0.0234802	0.0404361	0.0380209	0.0392043	0.0325366	0.0224902	0.0198104	0.021222	0.013807	
club-moss_0.002_2x_1	0.0207405	0.0164694	0.0166765	0.0104868	0.0176669	0.0	0.0135207	0.00747282	0.0233194	0.0192931	0.0194268	0.0133034	0.0254	0.0210619	0.0212994	0.0151836	0.0270623	0.0229613	0.0232001	0.0171458	0.0287256	0.0247367	0.0248558	0.018882	0.0377329	0.0337029	0.0338178	0.0280427	0.0199129	0.0155646	0.0158269	0.00944939	
club-moss_0.002_4x_1	0.0221433	0.0167679	0.0160244	0.0106017	0.0191959	0.0135207	0.0	0.00742935	0.0247433	0.0195072	0.018702	0.0133532	0.02665	0.0212541	0.0205679	0.0152022	0.0285103	0.0231539	0.0225063	0.0172029	0.0300908	0.0248385	0.0240526	0.0188392	0.0389235	0.033819	0.0329146	0.0279133	0.0213717	0.0158538	0.0151329	0.00963134	
club-moss_0.002_8x_1	0.0148259	0.0104072	0.0105051	0.0040758	0.0121647	0.00747282	0.00742935	0.0	0.0175803	0.0133074	0.0134194	0.00703961	0.0195966	0.0152242	0.0153758	0.00905268	0.0213841	0.0171333	0.0173473	0.0110608	0.0231426	0.0189358	0.0190699	0.0128952	0.0323165	0.0283204	0.0283594	0.0224391	0.0139838	0.00945313	0.00959971	0.00302402	
club-moss_0.004_1x_1	0.0251219	0.0224304	0.0238151	0.0166914	0.0260665	0.0233194	0.0247433	0.0175803	0.0	0.0179493	0.0193592	0.0124144	0.0298268	0.0272216	0.0284484	0.0214913	0.0314834	0.0288831	0.0302341	0.0233729	0.0329929	0.0306155	0.0319345	0.0251846	0.0418956	0.0395876	0.0407402	0.0342283	0.0244159	0.0214962	0.0229411	0.015698	
club-moss_0.004_2x_1	0.0227099	0.0184641	0.0186412	0.0124503	0.0235163	0.0192931	0.0195072	0.0133074	0.0179493	0.0	0.0134185	0.00750513	0.0272105	0.0229838	0.0231063	0.0171409	0.0289944	0.0248187	0.024983	0.0191218	0.0305333	0.0264602	0.0266122	0.0207738	0.0395444	0.0353532	0.0354539	0.0297308	0.0217722	0.0174824	0.0177132	0.0114338	
club-moss_0.004_4x_1	0.024002	0.0185746	0.0178112	0.0125141	0.024892	0.0194268	0.018702	0.0134194	0.0193592	0.0134185	0.0	0.00725714	0.028469	0.0230333	0.0222859	0.0170318	0.0301183	0.0248056	0.0241708	0.0189442	0.0318759	0.0265307	0.0258224	0.0206341	0.0405542	0.0353265	0.0343652	0.0295	0.0232334	0.017663	0.0169759	0.0115826	
club-moss_0.004_8x_1	0.0168716	0.0123436	0.0123752	0.00610143	0.0177352	0.0133034	0.0133532	0.00703961	0.0124144	0.00750513	0.00725714	0.0	0.0215455	0.0170607	0.0171136	0.0109839	0.0232061	0.0189388	0.019076	0.0129612	0.0249814	0.0206879	0.0207765	0.0147753	0.0340974	0.0298634	0.0298739	0.0240938	0.0159864	0.0113932	0.0114789	0.00507748	
club-moss_0.006_1x_1	0.0272957	0.0243853	0.0257913	0.0186513	0.0279564	0.0254	0.02665	0.0195966	0.0298268	0.0272105	0.028469	0.0215455	0.0	0.0182095	0.019499	0.0125765	0.0334206	0.0308334	0.0321625	0.0252811	0.0351612	0.0324976	0.0336022	0.0270302	0.0438831	0.0413016	0.0423475	0.0359748	0.0262386	0.0234579	0.0248582	0.0177092	
club-moss_0.006_2x_1	0.0245452	0.0203244	0.0204277	0.0143418	0.0254729	0.0210619	0.0212541	0.0152242	0.0272216	0.0229838	0.0230333	0.0170607	0.0182095	0.0	0.0133672	0.00749712	0.0306307	0.026579	0.02675	0.0208133	0.0324374	0.0283204	0.028422	0.0225656	0.0411489	0.0371485	0.0371037	0.0315093	0.0237277	0.0193945	0.019569	0.0134014	
club-moss_0.006_4x_1	0.0259376	0.0205098	0.0196985	0.014479	0.0267004	0.0212994	0.0205679	0.0153758	0.0284484	0.0231063	0.0222859	0.0171136	0.019499	0.0133672	0.0	0.00713378	0.0319829	0.0266518	0.0259089	0.0207892	0.033749	0.0282883	0.0274447	0.022434	0.0421811	0.0370201	0.0360368	0.0311899	0.0251503	0.019623	0.018832	0.0135814	
