sample	moss_0.001_1x_1	moss_0.001_2x_1	moss_0.001_4x_1	moss_0.001_8x_1	moss_0.002_1x_1	moss_0.002_2x_1	moss_0.002_4x_1	moss_0.002_8x_1	moss_0.004_1x_1	moss_0.004_2x_1	moss_0.004_4x_1	moss_0.004_8x_1	moss_0.006_1x_1	moss_0.006_2x_1	moss_0.006_4x_1	moss_0.006_8x_1	moss_0.008_1x_1	moss_0.008_2x_1	moss_0.008_4x_1	moss_0.008_8x_1	moss_0.01_1x_1	moss_0.01_2x_1	moss_0.01_4x_1	moss_0.01_8x_1	moss_0.02_1x_1	moss_0.02_2x_1	moss_0.02_4x_1	moss_0.02_8x_1	moss_0.0_1x_1	moss_0.0_2x_1	moss_0.0_4x_1	moss_0.0_8x_1	
moss_0.001_1x_1	0.0	0.0200126	0.0210023	0.0133909	0.0255708	0.0228248	0.0239925	0.0166451	0.0276626	0.0250544	0.0260622	0.0187762	0.0295857	0.0270816	0.0281748	0.0209773	0.0311454	0.0288921	0.0299179	0.0229613	0.0330268	0.0307067	0.0318472	0.024799	0.0421739	0.039995	0.0413326	0.0346699	0.0238213	0.0209045	0.0219789	0.0144247	
moss_0.001_2x_1	0.0200126	0.0	0.0149633	0.00837407	0.0228546	0.0182613	0.0180113	0.0116835	0.0248163	0.0203074	0.0201007	0.0138196	0.0264941	0.022265	0.0220624	0.015803	0.0284308	0.0241668	0.0240969	0.0178476	0.0302543	0.0260526	0.0259819	0.0198136	0.0393642	0.035277	0.0354337	0.0295011	0.0209382	0.0162293	0.0160238	0.00954898	
moss_0.001_4x_1	0.0210023	0.0149633	0.0	0.00806867	0.0239649	0.0180723	0.016821	0.0113499	0.0258846	0.0201001	0.0187846	0.0133909	0.0275891	0.0220217	0.0207405	0.0153871	0.0294076	0.0238761	0.0226052	0.0173601	0.0312055	0.0256941	0.0245606	0.0192487	0.0402047	0.0349011	0.0339622	0.0288651	0.0221074	0.0160516	0.0148365	0.00930226	
moss_0.001_8x_1	0.0133909	0.00837407	0.00806867	0.0	0.0165084	0.0116136	0.0113041	0.00471709	0.0184947	0.0137859	0.0134665	0.00694693	0.0203694	0.0158584	0.0155202	0.00907387	0.0221886	0.0178118	0.0175232	0.0112114	0.024221	0.0196859	0.019471	0.0131982	0.0335539	0.0293994	0.0292615	0.0233209	0.0144584	0.00945245	0.00918294	0.00249868	
moss_0.002_1x_1	0.0255708	0.0228546	0.0239649	0.0165084	0.0	0.0198574	0.0207685	0.0133672	0.0285861	0.025837	0.0269315	0.0197004	0.0303826	0.0278532	0.0288291	0.0217041	0.0321172	0.0298205	0.0309244	0.0238997	0.033784	0.0314147	0.0327063	0.0256161	0.0428263	0.040668	0.041945	0.035241	0.0246428	0.0216873	0.0228702	0.0154277	
moss_0.002_2x_1	0.0228248	0.0182613	0.0180723	0.0116136	0.0198574	0.0	0.0147001	0.00824837	0.0257422	0.021196	0.0210707	0.0147806	0.0275374	0.0232046	0.0229292	0.0167979	0.0293227	0.0251411	0.0249168	0.0187786	0.0311966	0.026817	0.0267419	0.0205831	0.0400865	0.036117	0.0360479	0.0303237	0.0217202	0.0171787	0.0170264	0.0104981	
moss_0.002_4x_1	0.0239925	0.0180113	0.016821	0.0113041	0.0207685	0.0147001	0.0	0.00779847	0.0268043	0.0209807	0.0197458	0.0143618	0.0285664	0.0229067	0.0215726	0.0162808	0.0303291	0.0247646	0.023578	0.0183419	0.0319541	0.0265441	0.0253671	0.0201562	0.0408734	0.0355536	0.0345972	0.0295289	0.0230431	0.0169927	0.0158259	0.0102845	
moss_0.002_8x_1	0.0166451	0.0116835	0.0113499	0.00471709	0.0133672	0.00824837	0.00779847	0.0	0.0195503	0.0148365	0.0144724	0.00803534	0.0214664	0.016843	0.0164299	0.0101154	0.0233202	0.0188531	0.0185634	0.0123152	0.0251712	0.02064	0.0204244	0.0141952	0.0345312	0.0302138	0.0301119	0.0242426	0.0155751	0.0105507	0.0102601	0.00361976	
moss_0.004_1x_1	0.0276626	0.0248163	0.0258846	0.0184947	0.0285861	0.0257422	0.0268043	0.0195503	0.0	0.0198212	0.0207698	0.0133436	0.0321485	0.029809	0.0307896	0.0236935	0.0337515	0.0316237	0.032692	0.0257104	0.0356375	0.0334219	0.0345597	0.0275872	0.0444631	0.0426839	0.0439329	0.0373855	0.026511	0.0236873	0.0248904	0.0174222	
moss_0.004_2x_1	0.0250544	0.0203074	0.0201001	0.0137859	0.025837	0.021196	0.0209807	0.0148365	0.0198212	0.0	0.014589	0.00818095	0.0295919	0.0252441	0.0248887	0.0188531	0.0312344	0.0270348	0.0267998	0.0208931	0.0330316	0.0288891	0.0287187	0.0227595	0.0419061	0.0378697	0.0378191	0.032202	0.0238855	0.019142	0.0190395	0.0127412	
