sample	leech_0.001_1x_1	leech_0.001_2x_1	leech_0.001_4x_1	leech_0.001_8x_1	leech_0.002_1x_1	leech_0.002_2x_1	leech_0.002_4x_1	leech_0.002_8x_1	leech_0.004_1x_1	leech_0.004_2x_1	leech_0.004_4x_1	leech_0.004_8x_1	leech_0.006_1x_1	leech_0.006_2x_1	leech_0.006_4x_1	leech_0.006_8x_1	leech_0.008_1x_1	leech_0.008_2x_1	leech_0.008_4x_1	leech_0.008_8x_1	leech_0.01_1x_1	leech_0.01_2x_1	leech_0.01_4x_1	leech_0.01_8x_1	leech_0.02_1x_1	leech_0.02_2x_1	leech_0.02_4x_1	leech_0.02_8x_1	leech_0.0_1x_1	leech_0.0_2x_1	leech_0.0_4x_1	leech_0.0_8x_1	
leech_0.001_1x_1	0.0	0.0204021	0.0201879	0.0139443	0.028035	0.0232737	0.023098	0.0168522	0.0297809	0.0253561	0.0251394	0.0189339	0.0318209	0.0274167	0.0271672	0.0210091	0.0339698	0.0292462	0.0289904	0.0228218	0.035685	0.0312601	0.0310601	0.0248278	0.0458129	0.0412037	0.0408869	0.0346933	0.0258881	0.0213345	0.0211299	0.0148566	
leech_0.001_2x_1	0.0204021	0.0	0.0129659	0.00753633	0.0234111	0.0171404	0.0159424	0.0104865	0.025292	0.0191035	0.0178956	0.0125345	0.0274915	0.0212076	0.020064	0.0146527	0.0292442	0.0230003	0.0218746	0.0163869	0.0310756	0.0251336	0.0239366	0.0185095	0.0410618	0.0350381	0.0336618	0.0283175	0.0214989	0.0152497	0.0139126	0.00847798	
leech_0.001_4x_1	0.0201879	0.0129659	0.0	0.00610357	0.0233874	0.01597	0.0139438	0.00909309	0.0252542	0.0179808	0.0159567	0.0111226	0.0272661	0.0200544	0.0180636	0.0132355	0.0292025	0.0219036	0.0198803	0.015044	0.0309464	0.0238511	0.0219327	0.0170492	0.0410874	0.0339194	0.0316873	0.0270229	0.0211789	0.0139838	0.011914	0.00708244	
leech_0.001_8x_1	0.0139443	0.00753633	0.00610357	0.0	0.0170667	0.0104876	0.00908613	0.00376031	0.01894	0.0125295	0.0110775	0.00578071	0.0210945	0.0145772	0.0131727	0.00787262	0.0229553	0.0164367	0.0150731	0.00975401	0.0248039	0.018519	0.0171174	0.0118212	0.0349761	0.0286295	0.0271	0.0218498	0.0149927	0.00853852	0.00706863	0.0017392	
leech_0.002_1x_1	0.028035	0.0234111	0.0233874	0.0170667	0.0	0.0203655	0.0203361	0.0140503	0.0311821	0.0266554	0.0264575	0.0201459	0.0330268	0.028472	0.0283594	0.0221404	0.034795	0.0301692	0.0301257	0.0239783	0.0369525	0.0323025	0.0322312	0.0259523	0.0469999	0.0424862	0.0422472	0.0361031	0.0271165	0.0225561	0.0223221	0.0160588	
leech_0.002_2x_1	0.0232737	0.0171404	0.01597	0.0104876	0.0203655	0.0	0.0129007	0.00750157	0.0263261	0.0201304	0.0189346	0.0135345	0.0284083	0.0222311	0.0209895	0.0155736	0.0301607	0.0239949	0.0228493	0.0173756	0.032065	0.0261673	0.0249242	0.019499	0.0421668	0.0362127	0.0347715	0.0294538	0.0223199	0.0161868	0.0148887	0.00947218	
leech_0.002_4x_1	0.023098	0.0159424	0.0139438	0.00908613	0.0203361	0.0129007	0.0	0.00610786	0.0261524	0.01896	0.0169396	0.0121233	0.0281487	0.0210165	0.0190085	0.0141658	0.0301204	0.0228665	0.0208441	0.0160387	0.0319311	0.0248434	0.0229187	0.018051	0.0419626	0.0349589	0.0326932	0.028061	0.0220631	0.0149686	0.0129007	0.00806867	
leech_0.002_8x_1	0.0168522	0.0104865	0.00909309	0.00376031	0.0140503	0.00750157	0.00610786	0.0	0.0199595	0.0135482	0.0121063	0.00681642	0.0220067	0.0155791	0.0141547	0.00886074	0.0239327	0.017395	0.0160752	0.0107244	0.0257784	0.0195028	0.0181747	0.0128201	0.0358199	0.029627	0.0280793	0.0228203	0.0159113	0.00955069	0.00806249	0.00273874	
leech_0.004_1x_1	0.0297809	0.025292	0.0252542	0.01894	0.0311821	0.0263261	0.0261524	0.0199595	0.0	0.0202944	0.0201698	0.0139348	0.0350077	0.0305884	0.030344	0.0241525	0.0372311	0.0322604	0.0320303	0.0258924	0.0387743	0.0342768	0.0342029	0.0280264	0.0488767	0.0444826	0.0440961	0.0379579	0.0289984	0.0244772	0.0241168	0.017955	
leech_0.004_2x_1	0.0253561	0.0191035	0.0179808	0.0125295	0.0266554	0.0201304	0.01896	0.0135482	0.0202944	0.0	0.0129523	0.00753514	0.0304934	0.024281	0.0230093	0.0176185	0.0321729	0.025948	0.0248582	0.0193611	0.0342628	0.0280283	0.0268642	0.0214948	0.0441463	0.0381473	0.0368238	0.0314811	0.024293	0.0182421	0.0168926	0.0115306	
leech_0.004_4x_1	0.0251394	0.0178956	0.0159567	0.0110775	0.0264575	0.0189346	0.0169396	0.0121063	0.0201698	0.0129523	0.0	0.00609634	0.0302405	0.0229321	0.0209658	0.0161909	0.0321067	0.02474	0.0228196	0.0180009	0.0339207	0.0268533	0.024869	0.0200094	0.0440153	0.0368552	0.0346764	0.0300305	0.0241883	0.0170269	0.0148897	0.0101076	
