sample	moss_0.001_1x_1	moss_0.001_2x_1	moss_0.001_4x_1	moss_0.001_8x_1	moss_0.002_1x_1	moss_0.002_2x_1	moss_0.002_4x_1	moss_0.002_8x_1	moss_0.004_1x_1	moss_0.004_2x_1	moss_0.004_4x_1	moss_0.004_8x_1	moss_0.006_1x_1	moss_0.006_2x_1	moss_0.006_4x_1	moss_0.006_8x_1	moss_0.008_1x_1	moss_0.008_2x_1	moss_0.008_4x_1	moss_0.008_8x_1	moss_0.01_1x_1	moss_0.01_2x_1	moss_0.01_4x_1	moss_0.01_8x_1	moss_0.02_1x_1	moss_0.02_2x_1	moss_0.02_4x_1	moss_0.02_8x_1	moss_0.0_1x_1	moss_0.0_2x_1	moss_0.0_4x_1	moss_0.0_8x_1	
moss_0.001_1x_1	0.0	0.0198874	0.0210965	0.0134625	0.0256144	0.0229943	0.0240692	0.0166015	0.0275355	0.0249855	0.0262227	0.0189321	0.029654	0.027077	0.0281777	0.0209416	0.0311999	0.0287524	0.0300316	0.0229052	0.0333948	0.0307984	0.0320974	0.0249913	0.0418286	0.0396888	0.041202	0.0344551	0.0238026	0.0208253	0.0220317	0.0144401	
moss_0.001_2x_1	0.0198874	0.0	0.0148666	0.00831077	0.0227565	0.0182514	0.0179127	0.0115513	0.0245842	0.0201472	0.0201666	0.0137652	0.0264397	0.022144	0.022021	0.0157954	0.0286078	0.0240131	0.0240597	0.0178739	0.0305657	0.0259837	0.0258483	0.0198142	0.0390455	0.0349142	0.0351519	0.0293237	0.0209402	0.0160809	0.0159021	0.00943138	
moss_0.001_4x_1	0.0210965	0.0148666	0.0	0.00801778	0.023972	0.018115	0.0167379	0.0112577	0.025762	0.0199928	0.0189394	0.0134242	0.0275496	0.02191	0.0207211	0.0153131	0.0297756	0.0238041	0.0227891	0.0174484	0.0315195	0.0255427	0.0245039	0.01929	0.0398277	0.0343921	0.0336817	0.028595	0.0220989	0.0160002	0.0148154	0.00919129	
moss_0.001_8x_1	0.0134625	0.00831077	0.00801778	0.0	0.016482	0.0116981	0.0112842	0.00468989	0.0184493	0.013703	0.0135022	0.00699262	0.0203962	0.0157965	0.0154943	0.00910239	0.022518	0.0176596	0.0175657	0.0112405	0.0244247	0.0195753	0.0195059	0.0132312	0.0333151	0.0290004	0.029078	0.0231161	0.014464	0.00944667	0.00915293	0.00246753	
moss_0.002_1x_1	0.0256144	0.0227565	0.023972	0.016482	0.0	0.0198492	0.0209261	0.0133078	0.0284142	0.025837	0.027146	0.0197661	0.0303762	0.0279717	0.0289703	0.021811	0.0324551	0.0298038	0.0310004	0.0238793	0.0343767	0.0316532	0.0328666	0.0259185	0.0429972	0.0406362	0.0420512	0.035497	0.024516	0.02178	0.0229284	0.0153481	
moss_0.002_2x_1	0.0229943	0.0182514	0.018115	0.0116981	0.0198492	0.0	0.0148192	0.0083353	0.0257775	0.0213118	0.0212076	0.0148523	0.0276853	0.0232168	0.0230453	0.0168931	0.0297298	0.0250711	0.0251378	0.0188754	0.0314541	0.0269964	0.026948	0.0209099	0.0399039	0.0360093	0.035968	0.0303751	0.0219917	0.0172161	0.0170394	0.0105727	
moss_0.002_4x_1	0.0240692	0.0179127	0.0167379	0.0112842	0.0209261	0.0148192	0.0	0.00784735	0.0266752	0.020834	0.0197749	0.014379	0.0284651	0.0227914	0.0215532	0.0162678	0.0306904	0.0246623	0.0235935	0.018346	0.032408	0.0264655	0.0254627	0.0202905	0.0407621	0.0353238	0.0345002	0.029532	0.0230153	0.0169585	0.0157474	0.010249	
moss_0.002_8x_1	0.0166015	0.0115513	0.0112577	0.00468989	0.0133078	0.0083353	0.00784735	0.0	0.0194579	0.0146688	0.0145066	0.00803257	0.0213503	0.0167507	0.0164578	0.0101165	0.0235749	0.0186954	0.0185444	0.0122935	0.0254288	0.0205758	0.0204829	0.0142718	0.0342743	0.0299536	0.0299768	0.024116	0.0155271	0.0104985	0.010191	0.00354975	
moss_0.004_1x_1	0.0275355	0.0245842	0.025762	0.0184493	0.0284142	0.0257775	0.0266752	0.0194579	0.0	0.0197541	0.0206859	0.0132364	0.0321741	0.0297485	0.0307525	0.0236888	0.0340733	0.031541	0.0327899	0.0257792	0.0357599	0.0333518	0.0345868	0.0275797	0.0444572	0.0418445	0.0434963	0.0368609	0.0264477	0.0235896	0.0247081	0.0173202	
moss_0.004_2x_1	0.0249855	0.0201472	0.0199928	0.013703	0.025837	0.0213118	0.020834	0.0146688	0.0197541	0.0	0.0144987	0.00808629	0.0293533	0.0250952	0.0248953	0.018787	0.0315139	0.0269051	0.0268551	0.0208582	0.0333322	0.0287604	0.0286919	0.0227543	0.0416622	0.0374206	0.0376855	0.0320349	0.0240217	0.0192795	0.0189824	0.0126417	
moss_0.004_4x_1	0.0262227	0.0201666	0.0189394	0.0135022	0.027146	0.0212076	0.0197749	0.0145066	0.0206859	0.0144987	0.0	0.00766694	0.0306676	0.0249491	0.0236562	0.0184989	0.0327337	0.0268007	0.0256503	0.0205144	0.0344178	0.0284622	0.0273747	0.0223185	0.0425314	0.0369913	0.036394	0.0313956	0.0252408	0.0192088	0.0178984	0.0125108	
moss_0.004_8x_1	0.0189321	0.0137652	0.0134242	0.00699262	0.0197661	0.0148523	0.014379	0.00803257	0.0132364	0.00808629	0.00766694	0.0	0.0236066	0.0188537	0.0185184	0.0123345	0.0256383	0.0207705	0.0205474	0.0144135	0.0275693	0.022701	0.0224851	0.0163995	0.0363074	0.0317249	0.031822	0.0260595	0.0178209	0.0127433	0.0123341	0.0059039	
moss_0.006_1x_1	0.029654	0.0264397	0.0275496	0.0203962	0.0303762	0.0276853	0.0284651	0.0213503	0.0321741	0.0293533	0.0306676	0.0236066	0.0	0.0198244	0.0205553	0.0133572	0.0358254	0.0333445	0.0345015	0.0276428	0.0375571	0.03493	0.0362154	0.0293605	0.0456833	0.0433033	0.0446633	0.0381972	0.0285103	0.0256409	0.0265039	0.0192876	
moss_0.006_2x_1	0.027077	0.022144	0.02191	0.0157965	0.0279717	0.0232168	0.0227914	0.0167507	0.0297485	0.0250952	0.0249491	0.0188537	0.0198244	0.0	0.014414	0.00816135	0.0334662	0.0288631	0.0287018	0.0228032	0.0350275	0.0306785	0.0303451	0.0246297	0.0431044	0.0390973	0.0393134	0.0337453	0.025975	0.0212069	0.0208676	0.0147353	
moss_0.006_4x_1	0.0281777	0.022021	0.0207211	0.0154943	0.0289703	0.0230453	0.0215532	0.0164578	0.0307525	0.0248953	0.0236562	0.0185184	0.0205553	0.014414	0.0	0.00750187	0.0346751	0.0285004	0.0273822	0.0224362	0.0360672	0.0302021	0.0291549	0.0241184	0.0443285	0.0386954	0.0380119	0.0330304	0.0271958	0.0210694	0.0197004	0.014457	
moss_0.006_8x_1	0.0209416	0.0157954	0.0153131	0.00910239	0.021811	0.0168931	0.0162678	0.0101165	0.0236888	0.018787	0.0184989	0.0123345	0.0133572	0.00816135	0.00750187	0.0	0.0277392	0.0226369	0.0224129	0.0164189	0.0292941	0.0244796	0.0242091	0.0182817	0.0380389	0.0334133	0.0333887	0.0277544	0.0198524	0.0147634	0.0142543	0.00796064	
moss_0.008_1x_1	0.0311999	0.0286078	0.0297756	0.022518	0.0324551	0.0297298	0.0306904	0.0235749	0.0340733	0.0315139	0.0327337	0.0256383	0.0358254	0.0334662	0.0346751	0.0277392	0.0	0.0198085	0.0206301	0.0134568	0.039514	0.0370287	0.0380389	0.0313361	0.0474867	0.0452114	0.0465223	0.0402541	0.030216	0.0277203	0.0287485	0.021458	
moss_0.008_2x_1	0.0287524	0.0240131	0.0238041	0.0176596	0.0298038	0.0250711	0.0246623	0.0186954	0.031541	0.0269051	0.0268007	0.0207705	0.0333445	0.0288631	0.0285004	0.0226369	0.0198085	0.0	0.0140412	0.00787292	0.0368895	0.0323165	0.0322172	0.0264994	0.044685	0.0409157	0.0408261	0.0353921	0.0279286	0.0231539	0.0227195	0.0166728	
moss_0.008_4x_1	0.0300316	0.0240597	0.0227891	0.0175657	0.0310004	0.0251378	0.0235935	0.0185444	0.0327899	0.0268551	0.0256503	0.0205474	0.0345015	0.0287018	0.0273822	0.0224129	0.0206301	0.0140412	0.0	0.00733316	0.0380073	0.0320499	0.0309817	0.0261015	0.0459412	0.0404793	0.0396534	0.0348722	0.0291528	0.0231403	0.0217687	0.0166446	
moss_0.008_8x_1	0.0229052	0.0178739	0.0174484	0.0112405	0.0238793	0.0188754	0.018346	0.0122935	0.0257792	0.0208582	0.0205144	0.0144135	0.0276428	0.0228032	0.0224362	0.0164189	0.0134568	0.00787292	0.00733316	0.0	0.0313945	0.0264459	0.0261533	0.0203309	0.0395892	0.0353506	0.0351878	0.0296509	0.0218803	0.0168823	0.0163937	0.0101967	
moss_0.01_1x_1	0.0333948	0.0305657	0.0315195	0.0244247	0.0343767	0.0314541	0.032408	0.0254288	0.0357599	0.0333322	0.0344178	0.0275693	0.0375571	0.0350275	0.0360672	0.0292941	0.039514	0.0368895	0.0380073	0.0313945	0.0	0.0198988	0.0206666	0.0135238	0.0491737	0.0469351	0.0480616	0.0420069	0.0324198	0.0295423	0.0305009	0.0233553	
moss_0.01_2x_1	0.0307984	0.0259837	0.0255427	0.0195753	0.0316532	0.0269964	0.0264655	0.0205758	0.0333518	0.0287604	0.0284622	0.022701	0.03493	0.0306785	0.0302021	0.0244796	0.0370287	0.0323165	0.0320499	0.0264459	0.0198988	0.0	0.0139893	0.00790465	0.0467076	0.042613	0.0425858	0.0371919	0.0297725	0.0250328	0.0246004	0.0186168	
moss_0.01_4x_1	0.0320974	0.0258483	0.0245039	0.0195059	0.0328666	0.026948	0.0254627	0.0204829	0.0345868	0.0286919	0.0273747	0.0224851	0.0362154	0.0303451	0.0291549	0.0242091	0.0380389	0.0322172	0.0309817	0.0261533	0.0206666	0.0139893	0.0	0.00715489	0.0476969	0.0421401	0.0412397	0.0366093	0.0312501	0.0250627	0.0235989	0.01859	
moss_0.01_8x_1	0.0249913	0.0198142	0.01929	0.0132312	0.0259185	0.0209099	0.0202905	0.0142718	0.0275797	0.0227543	0.0223185	0.0163995	0.0293605	0.0246297	0.0241184	0.0182817	0.0313361	0.0264994	0.0261015	0.0203309	0.0135238	0.00790465	0.00715489	0.0	0.041431	0.0370316	0.0368238	0.0314237	0.0239886	0.0188308	0.0183039	0.0122265	
moss_0.02_1x_1	0.0418286	0.0390455	0.0398277	0.0333151	0.0429972	0.0399039	0.0407621	0.0342743	0.0444572	0.0416622	0.0425314	0.0363074	0.0456833	0.0431044	0.0443285	0.0380389	0.0474867	0.044685	0.0459412	0.0395892	0.0491737	0.0467076	0.0476969	0.041431	0.0	0.0199097	0.0202599	0.0135588	0.0409751	0.0382411	0.0388986	0.0324057	
moss_0.02_2x_1	0.0396888	0.0349142	0.0343921	0.0290004	0.0406362	0.0360093	0.0353238	0.0299536	0.0418445	0.0374206	0.0369913	0.0317249	0.0433033	0.0390973	0.0386954	0.0334133	0.0452114	0.0409157	0.0404793	0.0353506	0.0469351	0.042613	0.0421401	0.0370316	0.0199097	0.0	0.0135035	0.00773345	0.0387526	0.0340721	0.0335638	0.0280831	
moss_0.02_4x_1	0.041202	0.0351519	0.0336817	0.029078	0.0420512	0.035968	0.0345002	0.0299768	0.0434963	0.0376855	0.036394	0.031822	0.0446633	0.0393134	0.0380119	0.0333887	0.0465223	0.0408261	0.0396534	0.0351878	0.0480616	0.0425858	0.0412397	0.0368238	0.0202599	0.0135035	0.0	0.00669666	0.0403565	0.0342462	0.0328306	0.0282145	
moss_0.02_8x_1	0.0344551	0.0293237	0.028595	0.0231161	0.035497	0.0303751	0.029532	0.024116	0.0368609	0.0320349	0.0313956	0.0260595	0.0381972	0.0337453	0.0330304	0.0277544	0.0402541	0.0353921	0.0348722	0.0296509	0.0420069	0.0371919	0.0366093	0.0314237	0.0135588	0.00773345	0.00669666	0.0	0.0335106	0.0284034	0.0277023	0.0222015	
moss_0.0_1x_1	0.0238026	0.0209402	0.0220989	0.014464	0.024516	0.0219917	0.0230153	0.0155271	0.0264477	0.0240217	0.0252408	0.0178209	0.0285103	0.025975	0.0271958	0.0198524	0.030216	0.0279286	0.0291528	0.0218803	0.0324198	0.0297725	0.0312501	0.0239886	0.0409751	0.0387526	0.0403565	0.0335106	0.0	0.0197927	0.0209618	0.0133248	
moss_0.0_2x_1	0.0208253	0.0160809	0.0160002	0.00944667	0.02178	0.0172161	0.0169585	0.0104985	0.0235896	0.0192795	0.0192088	0.0127433	0.0256409	0.0212069	0.0210694	0.0147634	0.0277203	0.0231539	0.0231403	0.0168823	0.0295423	0.0250328	0.0250627	0.0188308	0.0382411	0.0340721	0.0342462	0.0284034	0.0197927	0.0	0.0149339	0.00836019	
moss_0.0_4x_1	0.0220317	0.0159021	0.0148154	0.00915293	0.0229284	0.0170394	0.0157474	0.010191	0.0247081	0.0189824	0.0178984	0.0123341	0.0265039	0.0208676	0.0197004	0.0142543	0.0287485	0.0227195	0.0217687	0.0163937	0.0305009	0.0246004	0.0235989	0.0183039	0.0388986	0.0335638	0.0328306	0.0277023	0.0209618	0.0149339	0.0	0.00811199	
moss_0.0_8x_1	0.0144401	0.00943138	0.00919129	0.00246753	0.0153481	0.0105727	0.010249	0.00354975	0.0173202	0.0126417	0.0125108	0.0059039	0.0192876	0.0147353	0.014457	0.00796064	0.021458	0.0166728	0.0166446	0.0101967	0.0233553	0.0186168	0.01859	0.0122265	0.0324057	0.0280831	0.0282145	0.0222015	0.0133248	0.00836019	0.00811199	0.0	
