sample	oyster_0.001_1x_1	oyster_0.001_2x_1	oyster_0.001_4x_1	oyster_0.001_8x_1	oyster_0.002_1x_1	oyster_0.002_2x_1	oyster_0.002_4x_1	oyster_0.002_8x_1	oyster_0.004_1x_1	oyster_0.004_2x_1	oyster_0.004_4x_1	oyster_0.004_8x_1	oyster_0.006_1x_1	oyster_0.006_2x_1	oyster_0.006_4x_1	oyster_0.006_8x_1	oyster_0.008_1x_1	oyster_0.008_2x_1	oyster_0.008_4x_1	oyster_0.008_8x_1	oyster_0.01_1x_1	oyster_0.01_2x_1	oyster_0.01_4x_1	oyster_0.01_8x_1	oyster_0.02_1x_1	oyster_0.02_2x_1	oyster_0.02_4x_1	oyster_0.02_8x_1	oyster_0.0_1x_1	oyster_0.0_2x_1	oyster_0.0_4x_1	oyster_0.0_8x_1	
oyster_0.001_1x_1	0.0	0.00738927	0.0137823	0.0127235	0.0259802	0.022761	0.023441	0.0163466	0.0277231	0.0244078	0.0252903	0.0183571	0.0296343	0.0265298	0.0272651	0.02034	0.0316112	0.0284622	0.0293697	0.0224216	0.0332931	0.0302043	0.031059	0.0243676	0.0428574	0.0396422	0.0405076	0.0339975	0.0238166	0.0205917	0.02134	0.0142496	
oyster_0.001_2x_1	0.00738927	0.0	0.00534661	0.00715316	0.0226494	0.0175422	0.016938	0.0108713	0.0243547	0.0191959	0.018829	0.012905	0.0261691	0.0212452	0.0208461	0.0148882	0.0282233	0.0231615	0.0227654	0.0168081	0.0300031	0.0251002	0.024668	0.01882	0.039514	0.0345985	0.0341685	0.0285545	0.020374	0.015451	0.0148863	0.00879071	
oyster_0.001_4x_1	0.0137823	0.00534661	0.0	0.00650985	0.0233736	0.0170057	0.0155027	0.0102167	0.0251595	0.0188862	0.0174462	0.0122253	0.0269379	0.0207291	0.0193815	0.0141713	0.0290095	0.022642	0.0213173	0.0161868	0.0308695	0.024677	0.0232684	0.0182118	0.0402689	0.034152	0.0326326	0.0278256	0.0211742	0.014944	0.0134947	0.0081713	
oyster_0.001_8x_1	0.0127235	0.00715316	0.00650985	0.0	0.0164205	0.010982	0.01025	0.00412766	0.0182124	0.0129088	0.01224	0.00619685	0.02003	0.014846	0.014239	0.00824024	0.0221577	0.0168161	0.0162688	0.0102583	0.0240344	0.0188639	0.0182514	0.0124069	0.0337278	0.0285083	0.0280005	0.0223178	0.0141924	0.00882585	0.00813649	0.00200066	
oyster_0.002_1x_1	0.0259802	0.0226494	0.0233736	0.0164205	0.0	0.00738073	0.0137092	0.0128294	0.0288611	0.0254984	0.0261269	0.0193821	0.0304557	0.0273431	0.0280591	0.0213138	0.0326183	0.029426	0.0300442	0.0233966	0.034526	0.0313945	0.0320026	0.0254933	0.0436719	0.0403946	0.0410925	0.0348526	0.0249251	0.0216082	0.0222903	0.0153166	
oyster_0.002_2x_1	0.022761	0.0175422	0.0170057	0.010982	0.00738073	0.0	0.00532614	0.00720767	0.0255674	0.0204598	0.0198714	0.0140207	0.0272115	0.022208	0.0217279	0.0158563	0.0294671	0.0242826	0.0237324	0.0179133	0.0311199	0.0261796	0.0256949	0.0199505	0.0405292	0.0355739	0.0350645	0.0294918	0.0215831	0.0165581	0.0159026	0.00990818	
oyster_0.002_4x_1	0.023441	0.016938	0.0155027	0.01025	0.0137092	0.00532614	0.0	0.00647346	0.0260937	0.0198054	0.0183571	0.0131982	0.0278971	0.0216999	0.0202794	0.0151154	0.029961	0.0236151	0.0221749	0.0170972	0.0316794	0.0255597	0.0241215	0.0191365	0.0411335	0.0349761	0.0334416	0.0287068	0.0221763	0.0159348	0.0144551	0.00922205	
oyster_0.002_8x_1	0.0163466	0.0108713	0.0102167	0.00412766	0.0128294	0.00720767	0.00647346	0.0	0.0192537	0.0139058	0.0131835	0.00724723	0.0210551	0.0158645	0.0151949	0.00927536	0.023194	0.0178289	0.0171886	0.0112807	0.0249698	0.0198161	0.0192039	0.0133865	0.0347219	0.0295062	0.0289572	0.0233217	0.0151568	0.00987771	0.00914061	0.00305771	
oyster_0.004_1x_1	0.0277231	0.0243547	0.0251595	0.0182124	0.0288611	0.0255674	0.0260937	0.0192537	0.0	0.0195853	0.0201091	0.0132034	0.0322861	0.0292259	0.0299347	0.0232722	0.0342309	0.0311177	0.031782	0.0251938	0.036153	0.0329182	0.0335044	0.0269973	0.0454869	0.0421722	0.0429162	0.0366504	0.0266608	0.0234035	0.024055	0.0171683	
oyster_0.004_2x_1	0.0244078	0.0191959	0.0188862	0.0129088	0.0254984	0.0204598	0.0198054	0.0139058	0.0195853	0.0	0.0053494	0.007163	0.0289984	0.0241708	0.0236795	0.01783	0.0310955	0.0260718	0.0256443	0.0197364	0.0329954	0.0280812	0.027544	0.021852	0.0422633	0.0373796	0.0369669	0.031444	0.0234303	0.0183794	0.0178004	0.0118849	
oyster_0.004_4x_1	0.0252903	0.018829	0.0174462	0.01224	0.0261269	0.0198714	0.0183571	0.0131835	0.0201091	0.0053494	0.0	0.0063354	0.0296976	0.0235294	0.0221569	0.0170209	0.0318576	0.0255291	0.0240621	0.01898	0.0336096	0.0274484	0.0260054	0.0210734	0.0428593	0.0367682	0.0353399	0.0306101	0.0241406	0.0178893	0.0164052	0.0112106	
oyster_0.004_8x_1	0.0183571	0.012905	0.0122253	0.00619685	0.0193821	0.0140207	0.0131982	0.00724723	0.0132034	0.007163	0.0063354	0.0	0.0230468	0.0178078	0.017136	0.0113157	0.0250736	0.0197458	0.0190602	0.0132368	0.0270834	0.0218075	0.0210965	0.0153753	0.0365275	0.0312724	0.0307503	0.0251946	0.0172276	0.0119172	0.0111333	0.00515128	
oyster_0.006_1x_1	0.0296343	0.0261691	0.0269379	0.02003	0.0304557	0.0272115	0.0278971	0.0210551	0.0322861	0.0289984	0.0296976	0.0230468	0.0	0.00740016	0.0137088	0.0128239	0.0359075	0.0326742	0.033309	0.0267844	0.0375159	0.0346517	0.0353412	0.0288271	0.047054	0.0438468	0.04451	0.0383139	0.0283839	0.0250885	0.0258959	0.0190127	
oyster_0.006_2x_1	0.0265298	0.0212452	0.0207291	0.014846	0.0273431	0.022208	0.0216999	0.0158645	0.0292259	0.0241708	0.0235294	0.0178078	0.00740016	0.0	0.00537117	0.00715258	0.0330026	0.0278513	0.0272967	0.0216522	0.0345998	0.0298446	0.0292676	0.0236399	0.0439808	0.0390549	0.0384817	0.0330836	0.0253384	0.0203126	0.0197117	0.0138372	
oyster_0.006_4x_1	0.0272651	0.0208461	0.0193815	0.014239	0.0280591	0.0217279	0.0202794	0.0151949	0.0299347	0.0236795	0.0221569	0.017136	0.0137088	0.00537117	0.0	0.00630926	0.0337265	0.0273682	0.0259271	0.0210084	0.0353412	0.0292503	0.0277847	0.0229658	0.044774	0.0385461	0.0369296	0.0323142	0.0260316	0.0198606	0.0183284	0.0132221	
oyster_0.006_8x_1	0.02034	0.0148882	0.0141713	0.00824024	0.0213138	0.0158563	0.0151154	0.00927536	0.0232722	0.01783	0.0170209	0.0113157	0.0128239	0.00715258	0.00630926	0.0	0.0270559	0.0216767	0.0209631	0.0152424	0.0287584	0.0235742	0.0229344	0.0172739	0.0383809	0.0330897	0.032374	0.0269288	0.0191591	0.013875	0.0130628	0.00718154	
oyster_0.008_1x_1	0.0316112	0.0282233	0.0290095	0.0221577	0.0326183	0.0294671	0.029961	0.023194	0.0342309	0.0310955	0.0318576	0.0250736	0.0359075	0.0330026	0.0337265	0.0270559	0.0	0.00749831	0.0138633	0.0129497	0.0397937	0.0367142	0.037444	0.0309266	0.0489559	0.0456997	0.0466947	0.0402656	0.0305279	0.0272411	0.0279162	0.0211149	
oyster_0.008_2x_1	0.0284622	0.0231615	0.022642	0.0168161	0.029426	0.0242826	0.0236151	0.0178289	0.0311177	0.0260718	0.0255291	0.0197458	0.0326742	0.0278513	0.0273682	0.0216767	0.00749831	0.0	0.00534105	0.00711472	0.0364389	0.0316441	0.0310092	0.025541	0.0457511	0.0409615	0.0405176	0.0350804	0.0273217	0.0222318	0.0216376	0.0158005	
oyster_0.008_4x_1	0.0293697	0.0227654	0.0213173	0.0162688	0.0300442	0.0237324	0.0221749	0.0171886	0.031782	0.0256443	0.0240621	0.0190602	0.033309	0.0272967	0.0259271	0.0209631	0.0138633	0.00534105	0.0	0.0062482	0.0371354	0.0310966	0.0295474	0.0248229	0.046482	0.0404244	0.0388441	0.0342577	0.0279842	0.0217413	0.020284	0.0152556	
oyster_0.008_8x_1	0.0224216	0.0168081	0.0161868	0.0102583	0.0233966	0.0179133	0.0170972	0.0112807	0.0251938	0.0197364	0.01898	0.0132368	0.0267844	0.0216522	0.0210084	0.0152424	0.0129497	0.00711472	0.0062482	0.0	0.0305722	0.0255222	0.0247359	0.0192432	0.0402145	0.0349945	0.03445	0.0289301	0.0211905	0.0158325	0.0150484	0.00922707	
