sample	SRR10727867	SRR10727874	SRR10727875	SRR7296837	SRR7296908	SRR7296922	SRR7296925	SRR7296926	SRR7296936	SRR7296939	SRR7296941	SRR7297019	SRR7297028	SRR7297029	SRR7297030	SRR7297031	SRR7297032	SRR7297033	SRR7297034	SRR7297035	SRR7297062	SRR7297120	SRR7297148	SRR7297180	SRR7297282	SRR7297335	SRR7297404	SRR7297609	SRR7297615	SRR7297630	SRR7297632	SRR7297637	SRR7297639	SRR7297640	SRR7297642	SRR7297643	SRR8201154	SRR8809771	SRR8810286	SRR9647357	SRR9647438	SRR9647439	SRR9647576
SRR10727867	0.0	0.00754	0.0074	0.00711	0.00716	0.00371	0.00624	0.00833	0.00535	0.00708	0.00801	0.00605	0.00527	0.00557	0.002	0.00714	0.00559	0.00344	0.00547	0.00573	0.00628	0.00632	0.00701	0.00752	0.00649	0.00759	0.00658	0.00678	0.00687	0.00654	0.00666	0.00719	0.00368	0.00725	0.00361	0.00683	0.00688	0.00113	0.001	0.00814	0.00061	0.00066	0.00779
SRR10727874	0.00754	0.0	0.00055	0.0028	0.00331	0.00189	0.00635	0.00159	0.00526	0.00279	0.00685	0.00343	0.00591	0.00635	0.00292	0.00644	0.00629	0	0.00619	0.00562	0.00547	0.00366	0.00275	0.00507	0.00387	0.00682	0.00595	0.00616	0.00563	0.00542	0.00573	0.0061	0.00445	0.00613	0.00309	0.00608	0.00571	0.00788	0.00789	0.00239	0.00753	0.00717	0.00112
SRR10727875	0.0074	0.00055	0.0	0.00273	0.00316	0.00154	0.00611	0.00158	0.0052	0.00286	0.00663	0.00337	0.00585	0.00633	0.00253	0.00629	0.00621	0	0.00607	0.00555	0.0053	0.00367	0.00275	0.00496	0.0037	0.00651	0.00571	0.00583	0.00549	0.00541	0.00558	0.00593	0.00396	0.00597	0.00254	0.00586	0.00562	0.00763	0.00756	0.00209	0.00747	0.007	0.001
SRR7296837	0.00711	0.0028	0.00273	0.0	0.00129	0.00063	0.00596	0.0032	0.00504	0.00143	0.00708	0.00211	0.00486	0.00562	0.00212	0.00549	0.0054	0	0.00536	0.00557	0.00514	0.00233	0.00123	0.00379	0.00246	0.00564	0.00549	0.00511	0.00604	0.0054	0.00565	0.00655	0.00395	0.00656	0.00219	0.00513	0.00488	0.00726	0.0072	0.00418	0.00714	0.00666	0.0028
SRR7296908	0.00716	0.00331	0.00316	0.00129	0.0	0.00069	0.00559	0.00371	0.00491	0.00187	0.00733	0.00218	0.00483	0.00545	0.00223	0.00557	0.00532	0	0.00531	0.00548	0.005	0.00237	0.00082	0.00327	0.00253	0.00576	0.00507	0.00519	0.00605	0.00497	0.00564	0.00655	0.00395	0.00654	0.00232	0.00523	0.00442	0.00734	0.00725	0.00452	0.00719	0.00705	0.003
SRR7296922	0.00371	0.00189	0.00154	0.00063	0.00069	0.0	0.00164	0.0026	0.00209	0.00065	0.0039	0	0.00144	0.00189	0.00103	0.00126	0.00189	0	0.00178	0.00176	0.00228	0	6e-05	0.00097	0	0.00157	0.00356	0.00083	0.00212	0.00291	0.00148	0.00225	0.00232	0.00209	9e-05	0.00097	0.00229	0.00393	0.00424	0.00234	0.0038	0.00365	0.00181
SRR7296925	0.00624	0.00635	0.00611	0.00596	0.00559	0.00164	0.0	0.00691	0.00475	0.00625	0.00672	0.00481	0.00439	0.00483	0.00144	0.0039	0.00491	0.00257	0.00478	0.00426	0.0016	0.00502	0.00527	0.00476	0.00511	0.00434	0.00165	0.00362	0.00216	0.00134	0.00281	0.00249	0.00331	0.00239	0.00056	0.00372	0.00423	0.00642	0.00637	0.00721	0.00614	0.00601	0.00637
SRR7296926	0.00833	0.00159	0.00158	0.0032	0.00371	0.0026	0.00691	0.0	0.00612	0.00256	0.00769	0.0042	0.00675	0.00714	0.00365	0.00691	0.00705	0	0.00685	0.00657	0.00601	0.00452	0.00358	0.0046	0.00463	0.00638	0.00642	0.00687	0.00645	0.00618	0.00649	0.00679	0.00389	0.00685	0.00376	0.0068	0.00502	0.00855	0.00852	0.00165	0.00832	0.00784	0.00167
SRR7296936	0.00535	0.00526	0.0052	0.00504	0.00491	0.00209	0.00475	0.00612	0.0	0.00495	0.00558	0.00355	0.00174	0.00187	0	0.00503	0.00218	0.00162	0.00204	0.00109	0.00449	0.00396	0.00453	0.00498	0.00407	0.00556	0.00493	0.00486	0.00499	0.00473	0.00501	0.00527	0	0.00528	0.00197	0.00482	0.00573	0.00561	0.00557	0.00619	0.00529	0.0052	0.00554
SRR7296939	0.00708	0.00279	0.00286	0.00143	0.00187	0.00065	0.00625	0.00256	0.00495	0.0	0.00675	0.00193	0.00485	0.00512	0.00218	0.00505	0.00488	0	0.00492	0.00534	0.00538	0.00224	0.00139	0.0026	0.00254	0.00466	0.0059	0.00509	0.00577	0.00542	0.00552	0.00612	0.00278	0.00607	0.0022	0.00481	0.00371	0.00738	0.00737	0.00314	0.00703	0.00662	0.00331
SRR7296941	0.00801	0.00685	0.00663	0.00708	0.00733	0.0039	0.00672	0.00769	0.00558	0.00675	0.0	0.00552	0.00587	0.00597	0.00303	0.00571	0.00604	0.00368	0.00585	0.00561	0.00652	0.00593	0.00698	0.00639	0.00614	0.00652	0.00705	0.00562	0.0059	0.00682	0.00617	0.00613	0.00446	0.00621	0.00283	0.00536	0.0073	0.00829	0.00833	0.00761	0.00797	0.00774	0.00705
SRR7297019	0.00605	0.00343	0.00337	0.00211	0.00218	0	0.00481	0.0042	0.00355	0.00193	0.00552	0.0	0.00357	0.00396	0.00117	0.00414	0.0038	0	0.00396	0.00437	0.00427	0.0003	0.00165	0.00306	0.0006	0.00477	0.00488	0.00406	0.00481	0.00459	0.00459	0.00521	0.00284	0.00513	0.00131	0.00393	0.00423	0.00632	0.00631	0.0043	0.00594	0.00593	0.00354
SRR7297028	0.00527	0.00591	0.00585	0.00486	0.00483	0.00144	0.00439	0.00675	0.00174	0.00485	0.00587	0.00357	0.0	0.00076	0	0.00486	0.00061	0.00131	0.00083	0.00294	0.00415	0.00392	0.00438	0.00485	0.00402	0.00524	0.0045	0.00466	0.00491	0.00447	0.00439	0.00527	0.00049	0.00527	0.00163	0.00464	0.0049	0.00543	0.00538	0.00688	0.00515	0.00505	0.00608
