sample	SRR10727867	SRR10727874	SRR10727875	SRR7296837	SRR7296908	SRR7296922	SRR7296925	SRR7296926	SRR7296936	SRR7296939	SRR7296941	SRR7297019	SRR7297028	SRR7297029	SRR7297030	SRR7297031	SRR7297032	SRR7297033	SRR7297034	SRR7297035	SRR7297062	SRR7297120	SRR7297148	SRR7297180	SRR7297282	SRR7297335	SRR7297404	SRR7297609	SRR7297615	SRR7297630	SRR7297632	SRR7297637	SRR7297639	SRR7297640	SRR7297642	SRR7297643	SRR8201154	SRR8809771	SRR8810286	SRR9647357	SRR9647438	SRR9647439	SRR9647576
SRR10727867	0.0	0.00786	0.00685	0.00662	0.00638	0.00642	0.00665	0.00903	0.00584	0.00758	0.00819	0.00586	0.00529	0.00557	0.00623	0.00821	0.00603	0.00689	0.00544	0.00608	0.00579	0.00584	0.00659	0.00768	0.00569	0.00715	0.0059	0.00672	0.00669	0.00635	0.00627	0.00759	0.00701	0.00759	0.0074	0.00681	0.00732	6e-05	0	0.00816	0	0	0.00678
SRR10727874	0.00786	0.0	0	0.00258	0.00358	0.00495	0.00722	0.00207	0.00574	0.00356	0.00782	0.00414	0.00575	0.00636	0.00693	0.00733	0.00634	0.0029	0.00693	0.00641	0.00608	0.00359	0.00192	0.00606	0.00404	0.00701	0.0058	0.00635	0.00601	0.00639	0.00599	0.00661	0.00774	0.00646	0.00673	0.00679	0.00698	0.00833	0.00838	0.00344	0.00718	0.00761	0.00045
SRR10727875	0.00685	0	0.0	0.00192	0.00231	0.00432	0.0062	0.00117	0.00515	0.00281	0.00659	0.00292	0.00465	0.00576	0.00601	0.0066	0.00547	0.00273	0.0058	0.00549	0.00445	0.00296	0.00141	0.005	0.00252	0.00555	0.0042	0.00538	0.0053	0.005	0.00496	0.00539	0.00702	0.00599	0.00592	0.00581	0.00627	0.00672	0.00695	0.00173	0.00708	0.0071	0
SRR7296837	0.00662	0.00258	0.00192	0.0	0.0003	0.0037	0.00592	0.00281	0.00548	0.00172	0.00744	0.00192	0.00414	0.00512	0.00617	0.00579	0.00477	0.00033	0.00522	0.00576	0.00477	0.00194	0.00053	0.00419	0.00174	0.00535	0.00478	0.00482	0.00587	0.00524	0.00543	0.00628	0.00686	0.00681	0.00513	0.00483	0.00583	0.0067	0.00671	0.00464	0.00671	0.0065	0.00199
SRR7296908	0.00638	0.00358	0.00231	0.0003	0.0	0.00334	0.00541	0.00369	0.00518	0.00197	0.00707	0.00164	0.0041	0.00515	0.00534	0.00611	0.00462	0.00146	0.00472	0.00523	0.00444	0.00181	0	0.0031	0.00164	0.00557	0.00334	0.00495	0.00559	0.00409	0.00511	0.00637	0.00696	0.00688	0.00533	0.00491	0.0046	0.00646	0.00658	0.00479	0.00666	0.00665	0.00192
SRR7296922	0.00642	0.00495	0.00432	0.0037	0.00334	0.0	0.005	0.00624	0.00493	0.00351	0.0066	0.00114	0.00361	0.00439	0.00504	0.00486	0.00361	0.00233	0.0045	0.00462	0.00409	0.00039	0.00263	0.00435	0.00131	0.00525	0.00546	0.0037	0.00472	0.00542	0.00439	0.00516	0.00644	0.00554	0.00396	0.00388	0.00624	0.00741	0.00746	0.00676	0.00666	0.00676	0.00445
SRR7296925	0.00665	0.00722	0.0062	0.00592	0.00541	0.005	0.0	0.00747	0.00516	0.00772	0.00716	0.0055	0.00467	0.00512	0.00532	0.00462	0.00426	0.00653	0.0052	0.00409	0.00131	0.00493	0.00484	0.00505	0.00503	0.00436	0	0.00348	0.00195	0.0005	0.00243	0.00251	0.00685	0.00259	0.00396	0.00439	0.00478	0.00668	0.00635	0.00829	0.00622	0.00619	0.00651
SRR7296926	0.00903	0.00207	0.00117	0.00281	0.00369	0.00624	0.00747	0.0	0.0073	0.00234	0.0079	0.00488	0.00725	0.00783	0.00758	0.0077	0.00759	0.00336	0.00776	0.0074	0.00631	0.00474	0.00339	0.00362	0.00443	0.00509	0.00586	0.00747	0.00686	0.00647	0.00673	0.00723	0.00569	0.00714	0.00779	0.00722	0.00408	0.00871	0.00902	0.00158	0.00849	0.00848	0.00132
SRR7296936	0.00584	0.00574	0.00515	0.00548	0.00518	0.00493	0.00516	0.0073	0.0	0.00601	0.00607	0.00496	0.00131	0.00177	0.00219	0.0059	0.00161	0.00566	0.00206	0.00083	0.00447	0.0046	0.00501	0.00561	0.00462	0.00585	0.00457	0.00521	0.00535	0.00428	0.00519	0.00558	0.00221	0.00566	0.00522	0.00511	0.00746	0.00556	0.00583	0.00757	0.00587	0.00598	0.00584
SRR7296939	0.00758	0.00356	0.00281	0.00172	0.00197	0.00351	0.00772	0.00234	0.00601	0.0	0.00723	0.00238	0.00483	0.0051	0.00536	0.00539	0.00481	0.0014	0.00513	0.00595	0.00618	0.00262	0.00179	0.00241	0.00244	0.00385	0.00619	0.00566	0.00597	0.00688	0.00579	0.00643	0.0046	0.00684	0.00521	0.00491	0.00356	0.00775	0.00736	0.00371	0.00703	0.00709	0.00332
SRR7296941	0.00819	0.00782	0.00659	0.00744	0.00707	0.0066	0.00716	0.0079	0.00607	0.00723	0.0	0.00542	0.00562	0.00577	0.00682	0.00637	0.00588	0.00677	0.00572	0.00592	0.00625	0.00515	0.007	0.00731	0.00539	0.00649	0.00654	0.00564	0.00579	0.00778	0.00603	0.00624	0.00721	0.00609	0.00563	0.0053	0.00805	0.00833	0.00844	0.00817	0.00778	0.00761	0.00657
SRR7297019	0.00586	0.00414	0.00292	0.00192	0.00164	0.00114	0.0055	0.00488	0.00496	0.00238	0.00542	0.0	0.00332	0.00425	0.00482	0.00516	0.00392	0.00198	0.00434	0.00488	0.004	0	0.00166	0.00388	0	0.00531	0.00482	0.00429	0.00482	0.00543	0.00537	0.00578	0.00639	0.00608	0.0045	0.00386	0.00548	0.00596	0.00619	0.00519	0.00575	0.00643	0.00264
