sample	club-moss_0.001_1x_1	club-moss_0.001_2x_1	club-moss_0.001_4x_1	club-moss_0.001_8x_1	club-moss_0.002_1x_1	club-moss_0.002_2x_1	club-moss_0.002_4x_1	club-moss_0.002_8x_1	club-moss_0.004_1x_1	club-moss_0.004_2x_1	club-moss_0.004_4x_1	club-moss_0.004_8x_1	club-moss_0.006_1x_1	club-moss_0.006_2x_1	club-moss_0.006_4x_1	club-moss_0.006_8x_1	club-moss_0.008_1x_1	club-moss_0.008_2x_1	club-moss_0.008_4x_1	club-moss_0.008_8x_1	club-moss_0.01_1x_1	club-moss_0.01_2x_1	club-moss_0.01_4x_1	club-moss_0.01_8x_1	club-moss_0.02_1x_1	club-moss_0.02_2x_1	club-moss_0.02_4x_1	club-moss_0.02_8x_1	club-moss_0.0_1x_1	club-moss_0.0_2x_1	club-moss_0.0_4x_1	club-moss_0.0_8x_1	
club-moss_0.001_1x_1	0.0	0.0176399	0.0192014	0.0120292	0.0233736	0.0207578	0.0221958	0.0148489	0.0252282	0.0225458	0.0240763	0.0168619	0.0269845	0.0244918	0.0259706	0.0187774	0.0287733	0.0263633	0.027707	0.0206003	0.0306632	0.0281101	0.0295299	0.0225766	0.0396325	0.0372616	0.0384587	0.0318736	0.0215226	0.0188062	0.0203407	0.0128684	
club-moss_0.001_2x_1	0.0176399	0.0	0.013715	0.00753752	0.020642	0.0165808	0.0168748	0.0104581	0.0227173	0.0184806	0.0187942	0.0124362	0.0242123	0.0202924	0.0205164	0.0143465	0.0261568	0.0222145	0.0223809	0.0162091	0.0279095	0.0239831	0.0241525	0.0181127	0.0368509	0.0328006	0.0331212	0.027254	0.0190109	0.014648	0.0150038	0.00853213	
club-moss_0.001_4x_1	0.0192014	0.013715	0.0	0.00757476	0.0220652	0.0167416	0.0161552	0.0105888	0.0240004	0.0186138	0.0179487	0.012512	0.0256589	0.0204041	0.0197136	0.0143298	0.0274821	0.022239	0.0215344	0.0161837	0.0291711	0.023976	0.0233278	0.0179958	0.0380284	0.0327875	0.0320419	0.0270009	0.0204507	0.014957	0.0142496	0.00866036	
club-moss_0.001_8x_1	0.0120292	0.00753752	0.00757476	0.0	0.0147839	0.0104457	0.0106443	0.00404903	0.0168581	0.0123954	0.0126136	0.00612663	0.0185521	0.014301	0.0144907	0.0081247	0.0204401	0.0161946	0.016421	0.0100501	0.0223047	0.0181387	0.0182922	0.0120356	0.0314068	0.0273013	0.0275505	0.0215267	0.013007	0.00849421	0.0086755	0.00201281	
club-moss_0.002_1x_1	0.0233736	0.020642	0.0220652	0.0147839	0.0	0.0176613	0.0192882	0.0121476	0.026098	0.0234617	0.0249317	0.0177183	0.0277695	0.0254178	0.0267473	0.0196588	0.0296913	0.0270991	0.0285427	0.0215455	0.0314147	0.0290135	0.0302596	0.0234487	0.0403499	0.0378712	0.0390423	0.0324976	0.0224413	0.0196739	0.0212343	0.0138245	
club-moss_0.002_2x_1	0.0207578	0.0165808	0.0167416	0.0104457	0.0176613	0.0	0.0135686	0.00749089	0.0236012	0.0194144	0.0195985	0.0133856	0.0251394	0.0211612	0.0213345	0.0152669	0.0270019	0.0229591	0.0231955	0.0170983	0.0288851	0.0248311	0.0249938	0.0189697	0.0377611	0.0336543	0.0338315	0.0280225	0.0198371	0.0156392	0.0158685	0.00947694	
club-moss_0.002_4x_1	0.0221958	0.0168748	0.0161552	0.0106443	0.0192882	0.0135686	0.0	0.00747282	0.0250719	0.0196261	0.0189388	0.0135748	0.0265817	0.0213751	0.0206952	0.0153451	0.028468	0.0232077	0.0225297	0.0171941	0.0300643	0.0248442	0.0241955	0.0189146	0.0390016	0.0336867	0.0328726	0.0279057	0.0214076	0.0159598	0.0153052	0.00971797	
club-moss_0.002_8x_1	0.0148489	0.0104581	0.0105888	0.00404903	0.0121476	0.00749089	0.00747282	0.0	0.0178505	0.0133471	0.0135477	0.00711703	0.0195009	0.0152424	0.0153916	0.00906194	0.0213248	0.0171201	0.0173324	0.0110016	0.0232274	0.0190571	0.0191775	0.0129659	0.0323728	0.0281536	0.0283243	0.0223787	0.0139915	0.00945109	0.00967407	0.00305076	
club-moss_0.004_1x_1	0.0252282	0.0227173	0.0240004	0.0168581	0.026098	0.0236012	0.0250719	0.0178505	0.0	0.0182322	0.0194188	0.0124511	0.0297475	0.0271921	0.0285723	0.0216774	0.0314947	0.0290891	0.0303837	0.0235148	0.0332955	0.030886	0.0321218	0.0253316	0.0421419	0.0397517	0.0409242	0.0344165	0.0244199	0.021804	0.0231358	0.0158706	
club-moss_0.004_2x_1	0.0225458	0.0184806	0.0186138	0.0123954	0.0234617	0.0194144	0.0196261	0.0133471	0.0182322	0.0	0.0134784	0.00753187	0.0270715	0.0230943	0.0231978	0.0172177	0.0288481	0.0248261	0.0249979	0.0189775	0.030489	0.0264851	0.026659	0.0207545	0.0394549	0.0351865	0.0354593	0.0297788	0.0218654	0.017531	0.0177709	0.0114536	
club-moss_0.004_4x_1	0.0240763	0.0187942	0.0179487	0.0126136	0.0249317	0.0195985	0.0189388	0.0135477	0.0194188	0.0134784	0.0	0.00730387	0.0284837	0.0231199	0.022442	0.0172161	0.0302064	0.0248615	0.0241732	0.0189715	0.0316987	0.0265486	0.0259463	0.0207111	0.0404743	0.0352464	0.0343985	0.0294969	0.0233164	0.0178135	0.0171141	0.0117001	
club-moss_0.004_8x_1	0.0168619	0.0124362	0.012512	0.00612663	0.0177183	0.0133856	0.0135748	0.00711703	0.0124511	0.00753187	0.00730387	0.0	0.0213993	0.0171699	0.0172623	0.011073	0.0232456	0.0189648	0.0191114	0.0129463	0.0249739	0.0208314	0.0209214	0.0148302	0.0340253	0.0297746	0.0298749	0.0241199	0.016029	0.0114645	0.0116147	0.00514007	
club-moss_0.006_1x_1	0.0269845	0.0242123	0.0256589	0.0185521	0.0277695	0.0251394	0.0265817	0.0195009	0.0297475	0.0270715	0.0284837	0.0213993	0.0	0.0181834	0.0193061	0.0124697	0.0332259	0.0305722	0.0319933	0.0250644	0.03498	0.0323282	0.033749	0.0269726	0.0435623	0.0410431	0.0422579	0.0357871	0.0259811	0.0233148	0.0247744	0.0175556	
club-moss_0.006_2x_1	0.0244918	0.0202924	0.0204041	0.014301	0.0254178	0.0211612	0.0213751	0.0152424	0.0271921	0.0230943	0.0231199	0.0171699	0.0181834	0.0	0.0133611	0.00753395	0.0306133	0.0264896	0.0266015	0.0207892	0.0323458	0.028199	0.0284465	0.022548	0.0410057	0.0368438	0.0369081	0.0312981	0.0236469	0.0193667	0.0196029	0.0133712	
club-moss_0.006_4x_1	0.0259706	0.0205164	0.0197136	0.0144907	0.0267473	0.0213345	0.0206952	0.0153916	0.0285723	0.0231978	0.022442	0.0172623	0.0193061	0.0133611	0.0	0.00714853	0.0319956	0.0265486	0.0257956	0.0207291	0.0335576	0.0282961	0.0275684	0.0224661	0.0421936	0.0367639	0.0358801	0.0311121	0.0251169	0.0196255	0.0188935	0.0136169	
club-moss_0.006_8x_1	0.0187774	0.0143465	0.0143298	0.0081247	0.0196588	0.0152669	0.0153451	0.00906194	0.0216774	0.0172177	0.0172161	0.011073	0.0124697	0.00753395	0.00714853	0.0	0.0251662	0.0207611	0.0208133	0.0147892	0.0268079	0.0225268	0.0225957	0.0166957	0.0357844	0.0313788	0.0314507	0.0258016	0.0179487	0.0133545	0.0134713	0.00714274	
club-moss_0.008_1x_1	0.0287733	0.0261568	0.0274821	0.0204401	0.0296913	0.0270019	0.028468	0.0213248	0.0314947	0.0288481	0.0302064	0.0232456	0.0332259	0.0306133	0.0319956	0.0251662	0.0	0.018424	0.019481	0.0126166	0.0368366	0.03425	0.0354055	0.0287306	0.0451893	0.0427094	0.0438354	0.0374337	0.0280053	0.0251854	0.0266212	0.0194567	
club-moss_0.008_2x_1	0.0263633	0.0222145	0.022239	0.0161946	0.0270991	0.0229591	0.0232077	0.0171201	0.0290891	0.0248261	0.0248615	0.0189648	0.0305722	0.0264896	0.0265486	0.0207611	0.018424	0.0	0.013351	0.00753752	0.0341164	0.0298802	0.0300844	0.0243058	0.0428245	0.0383276	0.0385491	0.0330026	0.0256769	0.0211769	0.0213958	0.0153018	
club-moss_0.008_4x_1	0.027707	0.0223809	0.0215344	0.016421	0.0285427	0.0231955	0.0225297	0.0173324	0.0303837	0.0249979	0.0241732	0.0191114	0.0319933	0.0266015	0.0257956	0.0208133	0.019481	0.013351	0.0	0.00704363	0.035265	0.0299642	0.0291954	0.0241891	0.0438583	0.0383824	0.0374938	0.03276	0.0270577	0.0215573	0.0207485	0.0155861	
club-moss_0.008_8x_1	0.0206003	0.0162091	0.0161837	0.0100501	0.0215455	0.0170983	0.0171941	0.0110016	0.0235148	0.0189775	0.0189715	0.0129463	0.0250644	0.0207892	0.0207291	0.0147892	0.0126166	0.00753752	0.00704363	0.0	0.0286929	0.0242714	0.0242554	0.0184723	0.0375144	0.033011	0.0330606	0.0274288	0.0198733	0.0152434	0.0153476	0.00912232	
club-moss_0.01_1x_1	0.0306632	0.0279095	0.0291711	0.0223047	0.0314147	0.0288851	0.0300643	0.0232274	0.0332955	0.030489	0.0316987	0.0249739	0.03498	0.0323458	0.0335576	0.0268079	0.0368366	0.0341164	0.035265	0.0286929	0.0	0.0186799	0.0195546	0.0128502	0.0470086	0.0442217	0.045489	0.0391303	0.0299095	0.0270156	0.0283312	0.0213455	
