sample	rotifer_0.001_1x_1	rotifer_0.001_2x_1	rotifer_0.001_4x_1	rotifer_0.001_8x_1	rotifer_0.002_1x_1	rotifer_0.002_2x_1	rotifer_0.002_4x_1	rotifer_0.002_8x_1	rotifer_0.004_1x_1	rotifer_0.004_2x_1	rotifer_0.004_4x_1	rotifer_0.004_8x_1	rotifer_0.006_1x_1	rotifer_0.006_2x_1	rotifer_0.006_4x_1	rotifer_0.006_8x_1	rotifer_0.008_1x_1	rotifer_0.008_2x_1	rotifer_0.008_4x_1	rotifer_0.008_8x_1	rotifer_0.01_1x_1	rotifer_0.01_2x_1	rotifer_0.01_4x_1	rotifer_0.01_8x_1	rotifer_0.02_1x_1	rotifer_0.02_2x_1	rotifer_0.02_4x_1	rotifer_0.02_8x_1	rotifer_0.0_1x_1	rotifer_0.0_2x_1	rotifer_0.0_4x_1	rotifer_0.0_8x_1	
rotifer_0.001_1x_1	0.0	0.0191304	0.0198562	0.0137464	0.0273608	0.0233614	0.023324	0.0168457	0.0295691	0.0253105	0.0253552	0.0189092	0.0314676	0.0270321	0.0272809	0.0208193	0.0335898	0.0293646	0.0294312	0.0229366	0.0353332	0.0312847	0.03122	0.0249019	0.0448374	0.0403515	0.0407066	0.0344848	0.0254959	0.0212541	0.0212706	0.014813	
rotifer_0.001_2x_1	0.0191304	0.0	0.0127063	0.00760462	0.0231925	0.0173834	0.0163351	0.0107004	0.0252929	0.0193141	0.018238	0.0126195	0.0272605	0.0213193	0.0202658	0.0147068	0.0292218	0.0234686	0.0223084	0.0167491	0.0309795	0.0251069	0.0240993	0.0186287	0.0409428	0.0347649	0.0339282	0.028468	0.0213855	0.0153466	0.0142774	0.00865939	
rotifer_0.001_4x_1	0.0198562	0.0127063	0.0	0.00632205	0.0233133	0.0162808	0.0143949	0.00948716	0.0254144	0.0182694	0.016333	0.0113967	0.0273971	0.0202723	0.0183296	0.0134634	0.0293278	0.0223903	0.0203609	0.0155037	0.0309541	0.0240486	0.0220931	0.0173407	0.0407738	0.0337029	0.0320338	0.0272152	0.0214456	0.0143688	0.0123888	0.0074391	
rotifer_0.001_8x_1	0.0137464	0.00760462	0.00632205	0.0	0.0168156	0.0106377	0.00943308	0.00389119	0.0188778	0.0126597	0.0114172	0.0058444	0.020885	0.0147068	0.0134137	0.00794563	0.0228754	0.0168506	0.0155336	0.0100106	0.0247032	0.0185717	0.0173612	0.0119168	0.0346764	0.0284337	0.0273375	0.0219498	0.0149402	0.00869195	0.00739604	0.00184757	
rotifer_0.002_1x_1	0.0273608	0.0231925	0.0233133	0.0168156	0.0	0.0192518	0.0198206	0.0138079	0.0303891	0.0260832	0.0261533	0.0197161	0.0322055	0.0282563	0.0281507	0.0218449	0.0343152	0.0303762	0.0303923	0.02395	0.0361488	0.0320338	0.0319783	0.0257155	0.0458832	0.0414189	0.0416029	0.0355685	0.0264014	0.0221958	0.0221965	0.0157676	
rotifer_0.002_2x_1	0.0233614	0.0173834	0.0162808	0.0106377	0.0192518	0.0	0.0126049	0.00756373	0.0262889	0.0203368	0.0191677	0.0135805	0.0281246	0.0223084	0.0211367	0.0156909	0.0301437	0.0244199	0.0232608	0.0177381	0.0319518	0.0260893	0.0249921	0.0196098	0.0416203	0.0357599	0.0348801	0.0295186	0.0222664	0.0163597	0.0151661	0.00959834	
rotifer_0.002_4x_1	0.023324	0.0163351	0.0143949	0.00943308	0.0198206	0.0126049	0.0	0.00631769	0.0263464	0.0192186	0.0173092	0.0123797	0.0281739	0.0211408	0.0192709	0.0143748	0.0303023	0.0234096	0.0214027	0.0164999	0.0320557	0.0249971	0.0230664	0.0183273	0.0417041	0.0347284	0.0330727	0.0282844	0.0223149	0.015358	0.013334	0.00842498	
rotifer_0.002_8x_1	0.0168457	0.0107004	0.00948716	0.00389119	0.0138079	0.00756373	0.00631769	0.0	0.0198492	0.0136931	0.01244	0.00687075	0.0218237	0.0156909	0.0144005	0.00895902	0.0238934	0.0179053	0.0165739	0.0110416	0.0257061	0.019544	0.0182945	0.0128995	0.0355793	0.0293482	0.0282737	0.0229396	0.0158645	0.00972212	0.00838828	0.00284868	
rotifer_0.004_1x_1	0.0295691	0.0252929	0.0254144	0.0188778	0.0303891	0.0262889	0.0263464	0.0198492	0.0	0.0195841	0.0200486	0.0140043	0.0343203	0.0301268	0.0302554	0.0238824	0.0363255	0.0321834	0.0323939	0.025889	0.0381141	0.0341507	0.0341545	0.0279086	0.0476503	0.0433987	0.0436265	0.0374792	0.0284054	0.0242994	0.0243242	0.0178773	
rotifer_0.004_2x_1	0.0253105	0.0193141	0.0182694	0.0126597	0.0260832	0.0203368	0.0192186	0.0136931	0.0195841	0.0	0.0127985	0.00763664	0.030233	0.024285	0.0231902	0.0177154	0.0322195	0.0264059	0.0252189	0.0197579	0.0342245	0.0282048	0.0271018	0.0216634	0.0433463	0.0374968	0.0367156	0.0312534	0.0241995	0.018506	0.0172535	0.0116934	
