sample	leech_0.001_1x_1	leech_0.001_2x_1	leech_0.001_4x_1	leech_0.001_8x_1	leech_0.002_1x_1	leech_0.002_2x_1	leech_0.002_4x_1	leech_0.002_8x_1	leech_0.004_1x_1	leech_0.004_2x_1	leech_0.004_4x_1	leech_0.004_8x_1	leech_0.006_1x_1	leech_0.006_2x_1	leech_0.006_4x_1	leech_0.006_8x_1	leech_0.008_1x_1	leech_0.008_2x_1	leech_0.008_4x_1	leech_0.008_8x_1	leech_0.01_1x_1	leech_0.01_2x_1	leech_0.01_4x_1	leech_0.01_8x_1	leech_0.02_1x_1	leech_0.02_2x_1	leech_0.02_4x_1	leech_0.02_8x_1	leech_0.0_1x_1	leech_0.0_2x_1	leech_0.0_4x_1	leech_0.0_8x_1	
leech_0.001_1x_1	0.0	0.0204283	0.0201704	0.0139443	0.027857	0.0233927	0.02308	0.0169293	0.0299011	0.0251879	0.0249615	0.0188651	0.0321299	0.0273013	0.027033	0.0208615	0.0338365	0.0292646	0.0290155	0.0228077	0.0358596	0.0310933	0.0306535	0.0247687	0.0454829	0.040931	0.0407873	0.0346946	0.0258717	0.0215754	0.0210897	0.0148974	
leech_0.001_2x_1	0.0204283	0.0	0.0129169	0.0075078	0.0233301	0.0171683	0.0159154	0.0104989	0.0252693	0.0191879	0.0178687	0.0125494	0.0271727	0.0211598	0.0198428	0.0144401	0.0295237	0.0232092	0.0219285	0.0164957	0.0311788	0.0251453	0.0237028	0.0184258	0.041178	0.034888	0.0336258	0.0283429	0.0212124	0.0152576	0.0138656	0.00847989	
leech_0.001_4x_1	0.0201704	0.0129169	0.0	0.0061226	0.0230687	0.016031	0.013977	0.00917393	0.0252114	0.0179436	0.0159011	0.0111238	0.0272753	0.0198689	0.0178551	0.0131053	0.0293349	0.022086	0.0200814	0.0152066	0.0312233	0.0239429	0.0217385	0.0170623	0.0411831	0.0337715	0.031782	0.0270605	0.0213022	0.0141203	0.0119436	0.00714361	
leech_0.001_8x_1	0.0139443	0.0075078	0.0061226	0.0	0.0168017	0.0105848	0.00913762	0.00381088	0.0189818	0.0125524	0.011059	0.00580557	0.0209402	0.0144827	0.0130615	0.00777787	0.0231093	0.0166222	0.0151983	0.00983299	0.0250013	0.0185622	0.0170095	0.0117534	0.034884	0.0285329	0.0270559	0.0218407	0.0149681	0.00868066	0.00708532	0.00176506	
leech_0.002_1x_1	0.027857	0.0233301	0.0230687	0.0168017	0.0	0.0202417	0.0200479	0.0138629	0.0309255	0.0260972	0.0259497	0.0197313	0.0327947	0.028201	0.027988	0.0217322	0.0349734	0.0301851	0.0300295	0.0237776	0.0368652	0.0322114	0.0318427	0.0257508	0.0466456	0.0420175	0.041892	0.0357544	0.026896	0.0224369	0.0219498	0.0157919	
leech_0.002_2x_1	0.0233927	0.0171683	0.016031	0.0105848	0.0202417	0.0	0.012942	0.00757565	0.0265763	0.0202411	0.0188965	0.0136103	0.0282582	0.0220717	0.0208113	0.0154883	0.0305419	0.024273	0.0229853	0.0175663	0.0323575	0.0262501	0.0247867	0.0195128	0.0423457	0.036196	0.0348238	0.0295939	0.0223685	0.0164236	0.0149831	0.0095637	
leech_0.002_4x_1	0.02308	0.0159154	0.013977	0.00913762	0.0200479	0.012942	0.0	0.00611724	0.0261629	0.0189436	0.0168393	0.0120885	0.0281661	0.0209335	0.018814	0.0141176	0.0302511	0.0231026	0.0210809	0.0161982	0.0321846	0.0248747	0.0227232	0.0180354	0.0420459	0.0347519	0.0327421	0.0280408	0.0222534	0.0150862	0.0129263	0.00812439	
leech_0.002_8x_1	0.0169293	0.0104989	0.00917393	0.00381088	0.0138629	0.00757565	0.00611724	0.0	0.0200441	0.0135832	0.0120683	0.00681558	0.0218612	0.0155561	0.0141111	0.00880177	0.0240629	0.0176477	0.0162511	0.0108773	0.0259732	0.0196173	0.0180354	0.0128265	0.0360396	0.0296447	0.0281661	0.0229875	0.0159716	0.00971312	0.00810796	0.00278915	
leech_0.004_1x_1	0.0299011	0.0252693	0.0252114	0.0189818	0.0309255	0.0265763	0.0261629	0.0200441	0.0	0.0203943	0.0201666	0.0140649	0.0350777	0.0303269	0.0300833	0.0238761	0.0371008	0.0323704	0.0321694	0.0260011	0.0392912	0.0344307	0.0338892	0.0278895	0.0487305	0.043975	0.0438182	0.0377062	0.02908	0.024611	0.0241979	0.0180423	
leech_0.004_2x_1	0.0251879	0.0191879	0.0179436	0.0125524	0.0260972	0.0202411	0.0189436	0.0135832	0.0203943	0.0	0.0128417	0.00747904	0.0303751	0.024085	0.0229254	0.0175472	0.0322872	0.0263013	0.0249383	0.019529	0.0342449	0.0281207	0.0267022	0.02136	0.0443285	0.0379564	0.0366844	0.0314023	0.0244126	0.0182753	0.0168834	0.0115752	
