sample	SRR10727867	SRR10727874	SRR10727875	SRR7296837	SRR7296908	SRR7296922	SRR7296925	SRR7296926	SRR7296936	SRR7296939	SRR7296941	SRR7297019	SRR7297028	SRR7297029	SRR7297030	SRR7297031	SRR7297032	SRR7297033	SRR7297034	SRR7297035	SRR7297062	SRR7297120	SRR7297148	SRR7297180	SRR7297282	SRR7297335	SRR7297404	SRR7297609	SRR7297615	SRR7297630	SRR7297632	SRR7297637	SRR7297639	SRR7297640	SRR7297642	SRR7297643	SRR8201154	SRR8809771	SRR8810286	SRR9647357	SRR9647438	SRR9647439	SRR9647576
SRR10727867	0.0	0.0294712	0.0273217	0.0245517	0.0245047	0.0303762	0.0257594	0.0277809	0.0250777	0.0260753	0.0268297	0.0253848	0.0256597	0.0264441	0.0266347	0.028141	0.0263154	0.0275252	0.0261419	0.025915	0.0275552	0.0272911	0.027399	0.0278818	0.0244643	0.0292696	0.0247441	0.0257061	0.0255095	0.0271921	0.0263048	0.027267	0.0284132	0.0278599	0.0276503	0.0269489	0.028423	0.0223301	0.0193859	0.0278561	0.0234756	0.0220459	0.026907
SRR10727874	0.0294712	0.0	0.0198073	0.0195816	0.020131	0.02759	0.0255785	0.0203733	0.0244909	0.0213022	0.0257009	0.0224158	0.0258275	0.0267464	0.0270394	0.0273543	0.0264896	0.0226959	0.0263455	0.0258111	0.0262368	0.0243973	0.022213	0.0247547	0.0214456	0.0280043	0.0236779	0.0247531	0.0238997	0.025831	0.0250869	0.0260089	0.0286909	0.0263908	0.0265343	0.0260464	0.0269261	0.0291407	0.0262271	0.0218428	0.0304826	0.0286919	0.0196815
SRR10727875	0.0273217	0.0198073	0.0	0.0179133	0.0183982	0.025787	0.0233782	0.0187157	0.022537	0.0196456	0.0233522	0.0202346	0.0237573	0.0248566	0.025234	0.0251612	0.024624	0.0211571	0.0243242	0.0238307	0.0241438	0.022354	0.0205474	0.0230717	0.0193499	0.0258829	0.0214664	0.022426	0.0217195	0.0238151	0.0228337	0.0240336	0.0267437	0.0238973	0.024403	0.0239579	0.0248229	0.026837	0.0242786	0.0193809	0.0283546	0.0269161	0.01765
SRR7296837	0.0245517	0.0195816	0.0179133	0.0	0.01347	0.0223026	0.0207365	0.0176089	0.0200569	0.0155321	0.0215957	0.0169077	0.0203191	0.0217969	0.0219825	0.0221864	0.0216788	0.0165946	0.0214317	0.0215685	0.0215887	0.0186513	0.0168387	0.019366	0.0152052	0.0220274	0.0183671	0.0197762	0.0200647	0.0215219	0.0207305	0.0223062	0.0242226	0.0226752	0.0216473	0.0211006	0.0217237	0.0233644	0.0207125	0.0188182	0.0256178	0.0236974	0.0171218
SRR7296908	0.0245047	0.020131	0.0183982	0.01347	0.0	0.0221922	0.0202365	0.0182362	0.0197155	0.0160624	0.0217666	0.0169309	0.0203211	0.0215003	0.021927	0.0221333	0.0213248	0.0172232	0.021474	0.0214082	0.0213924	0.0186417	0.0162543	0.0185095	0.0153294	0.0219932	0.0177403	0.0196136	0.0199851	0.020824	0.0205798	0.021937	0.0239736	0.0225957	0.0215796	0.02098	0.0210071	0.0233469	0.0207485	0.0190626	0.0254721	0.0240273	0.0174356
SRR7296922	0.0303762	0.02759	0.025787	0.0223026	0.0221922	0.0	0.025167	0.0259593	0.0255478	0.0231758	0.0267663	0.0218583	0.0258146	0.026906	0.0270678	0.0262139	0.0264166	0.0246029	0.0265253	0.0263943	0.0275083	0.023578	0.0242306	0.0250902	0.0211632	0.0277904	0.0252559	0.0241207	0.0245152	0.0271036	0.0254331	0.026148	0.0291346	0.0267618	0.0257749	0.0256366	0.027779	0.0304116	0.0273059	0.0268406	0.0315387	0.0299505	0.0253417
SRR7296925	0.0257594	0.0255785	0.0233782	0.0207365	0.0202365	0.025167	0.0	0.0237261	0.0215929	0.0226826	0.0232608	0.0218025	0.0222549	0.0230446	0.0232205	0.0221032	0.0228709	0.0241883	0.0228159	0.0219022	0.020111	0.0233087	0.0227869	0.0220545	0.0204796	0.0231796	0.0167384	0.0199148	0.018089	0.0190182	0.0198498	0.0197977	0.0254534	0.0201633	0.0217476	0.0216669	0.0229419	0.0252517	0.0224595	0.0244724	0.0267473	0.025106	0.0228166
SRR7296926	0.0277809	0.0203733	0.0187157	0.0176089	0.0182362	0.0259593	0.0237261	0.0	0.0230078	0.0184723	0.0241605	0.02083	0.0240747	0.0251344	0.0252433	0.0253696	0.0249938	0.0206786	0.024749	0.0244812	0.0243459	0.0226804	0.0209436	0.021572	0.0199135	0.0248155	0.0216844	0.0229306	0.0224639	0.024047	0.023418	0.0240843	0.0251804	0.0246444	0.0249838	0.0242666	0.0229666	0.0274587	0.0244885	0.0184476	0.0289673	0.0271	0.017935
SRR7296936	0.0250777	0.0244909	0.022537	0.0200569	0.0197155	0.0255478	0.0215929	0.0230078	0.0	0.0213427	0.0222477	0.0206407	0.019295	0.0198142	0.0203917	0.0236554	0.0199972	0.0230048	0.0197528	0.0190346	0.0231146	0.0227817	0.0223468	0.0227173	0.0197244	0.0246289	0.0205672	0.021211	0.0211666	0.0227425	0.0220224	0.0226222	0.0210877	0.0231781	0.0231433	0.0227003	0.0246966	0.02485	0.0218534	0.023408	0.0264192	0.0245728	0.0222231
SRR7296939	0.0260753	0.0213022	0.0196456	0.0155321	0.0160624	0.0231758	0.0226826	0.0184723	0.0213427	0.0	0.0225707	0.017935	0.0218619	0.0223395	0.0227951	0.0225385	0.0219839	0.0179493	0.0222289	0.0225685	0.0230288	0.0200338	0.0184164	0.0191279	0.0173462	0.0226597	0.0208475	0.0207025	0.0209989	0.0228322	0.0218513	0.0229194	0.0228941	0.0233141	0.0222505	0.0217469	0.0214228	0.0260569	0.0230273	0.0196029	0.0271921	0.0253848	0.0193778
SRR7296941	0.0268297	0.0257009	0.0233522	0.0215957	0.0217666	0.0267663	0.0232608	0.0241605	0.0222477	0.0225707	0.0	0.0215964	0.0233438	0.0236144	0.0237815	0.0237705	0.0234817	0.0239941	0.0230845	0.0229321	0.0246885	0.0237246	0.0244094	0.0233897	0.0210972	0.0251829	0.0220767	0.0211428	0.0213303	0.0244336	0.0225795	0.0229965	0.0251963	0.0234909	0.0229508	0.0224654	0.0259107	0.0269991	0.0241748	0.024399	0.0283555	0.0265352	0.0229643
SRR7297019	0.0253848	0.0224158	0.0202346	0.0169077	0.0169309	0.0218583	0.0218025	0.02083	0.0206407	0.017935	0.0215964	0.0	0.0211142	0.0221218	0.0226207	0.0224588	0.0218011	0.0193803	0.0218308	0.0221756	0.0224107	0.0184323	0.0191175	0.0206407	0.0156929	0.0238072	0.0203648	0.0202541	0.0208093	0.0226494	0.0214684	0.0225935	0.0241987	0.0229553	0.021986	0.021371	0.023019	0.0252324	0.0224136	0.0214449	0.0264771	0.0250444	0.0197692
SRR7297028	0.0256597	0.0258275	0.0237573	0.0203191	0.0203211	0.0258146	0.0222549	0.0240747	0.019295	0.0218619	0.0233438	0.0211142	0.0	0.0194654	0.0201052	0.024241	0.0192315	0.0233354	0.0190614	0.0213338	0.0235025	0.0231569	0.0227721	0.0231986	0.0200434	0.0249606	0.020599	0.0217132	0.0217828	0.0230536	0.0221232	0.0236136	0.0227936	0.0238903	0.0236275	0.0231728	0.0247826	0.0250013	0.0222397	0.0248204	0.0266905	0.0251545	0.023191
SRR7297029	0.0264441	0.0267464	0.0248566	0.0217969	0.0215003	0.026906	0.0230446	0.0251344	0.0198142	0.0223395	0.0236144	0.0221218	0.0194654	0.0	0.0198778	0.024457	0.019499	0.0241454	0.0193413	0.0213496	0.0241485	0.0242722	0.0240107	0.0238542	0.021558	0.0263438	0.021876	0.022304	0.0218973	0.0237573	0.0225744	0.0233912	0.0228747	0.0239681	0.0240304	0.023504	0.0254424	0.0264272	0.023561	0.0261454	0.0277487	0.0259358	0.0244788
SRR7297030	0.0266347	0.0270394	0.025234	0.0219825	0.021927	0.0270678	0.0232205	0.0252433	0.0203917	0.0227951	0.0237815	0.0226207	0.0201052	0.0198778	0.0	0.0247228	0.02012	0.024051	0.0197889	0.0216929	0.0249822	0.0244022	0.0244691	0.0243018	0.0220717	0.0271156	0.0221627	0.0230943	0.0222823	0.0241096	0.0229456	0.0240423	0.0235919	0.0241446	0.0242083	0.0241152	0.0257646	0.0268206	0.0237627	0.0265531	0.0276352	0.0259219	0.0249946
SRR7297031	0.028141	0.0273543	0.0251612	0.0221864	0.0221333	0.0262139	0.0221032	0.0253696	0.0236554	0.0225385	0.0237705	0.0224588	0.024241	0.024457	0.0247228	0.0	0.0241446	0.0241613	0.024143	0.0232882	0.0250203	0.0247081	0.0242426	0.0231713	0.0220281	0.0226082	0.0222022	0.0185474	0.0192027	0.0244038	0.0213173	0.020881	0.0266194	0.0211517	0.0197522	0.0196362	0.0263039	0.028336	0.0254644	0.0264771	0.0294373	0.0279229	0.0248368
SRR7297032	0.0263154	0.0264896	0.024624	0.0216788	0.0213248	0.0264166	0.0228709	0.0249938	0.0199972	0.0219839	0.0234817	0.0218011	0.0192315	0.019499	0.02012	0.0241446	0.0	0.0235418	0.0192481	0.0214774	0.0242786	0.023568	0.0235896	0.0237924	0.0211047	0.0263075	0.0217125	0.0219896	0.0220338	0.0236702	0.0225326	0.0234717	0.0229898	0.0240344	0.0236562	0.0229883	0.0251846	0.0264344	0.0235858	0.0258907	0.0274531	0.0259219	0.0241168
SRR7297033	0.0275252	0.0226959	0.0211571	0.0165946	0.0172232	0.0246029	0.0241883	0.0206786	0.0230048	0.0179493	0.0239941	0.0193803	0.0233354	0.0241454	0.024051	0.0241613	0.0235418	0.0	0.0235541	0.0240557	0.0245501	0.0213903	0.0195303	0.0220802	0.0189533	0.0259741	0.0221132	0.0224289	0.0227136	0.0242282	0.02334	0.024403	0.0260972	0.0247539	0.0234902	0.0229995	0.0245541	0.027672	0.024758	0.0225766	0.0287375	0.026886	0.0203322
SRR7297034	0.0261419	0.0263455	0.0243242	0.0214317	0.021474	0.0265253	0.0228159	0.024749	0.0197528	0.0222289	0.0230845	0.0218308	0.0190614	0.0193413	0.0197889	0.024143	0.0192481	0.0235541	0.0	0.0213138	0.0240478	0.0238072	0.023595	0.0235549	0.0211346	0.0259741	0.0214428	0.0217301	0.0215831	0.02373	0.0220745	0.0230491	0.0227521	0.0234195	0.0235079	0.0230867	0.0251595	0.0259315	0.0229561	0.02525	0.027157	0.0257628	0.0239649
