sample	SRR1607346.msh	SRR1607348.msh	SRR1607350.msh	SRR1607351.msh	SRR1607354.msh	SRR1607356.msh	SRR1607357.msh	SRR1607359.msh	SRR1607361.msh	SRR1607363.msh	
SRR1607346.msh	0	0.0104483	0.00939849	0.00798673	0.0101713	0.00958049	0.00948785	0.00955685	0.01037	0.0102662	
SRR1607348.msh	0.0104483	0	0.0104876	0.00924885	0.0112665	0.0107611	0.010616	0.010648	0.011632	0.0113619	
SRR1607350.msh	0.00939849	0.0104876	0	0.00812439	0.010231	0.00965648	0.00960177	0.00960074	0.0104978	0.0103205	
SRR1607351.msh	0.00798673	0.00924885	0.00812439	0	0.00894128	0.00812129	0.00800363	0.00828848	0.00882682	0.00905235	
SRR1607354.msh	0.0101713	0.0112665	0.010231	0.00894128	0	0.00998199	0.0103533	0.010383	0.0112849	0.0110703	
SRR1607356.msh	0.00958049	0.0107611	0.00965648	0.00812129	0.00998199	0	0.00972074	0.00981765	0.0105398	0.0105295	
SRR1607357.msh	0.00948785	0.010616	0.00960177	0.00800363	0.0103533	0.00972074	0	0.00976442	0.0105566	0.0104315	
SRR1607359.msh	0.00955685	0.010648	0.00960074	0.00828848	0.010383	0.00981765	0.00976442	0	0.010658	0.010473	
SRR1607361.msh	0.01037	0.011632	0.0104978	0.00882682	0.0112849	0.0105398	0.0105566	0.010658	0	0.0114125	
SRR1607363.msh	0.0102662	0.0113619	0.0103205	0.00905235	0.0110703	0.0105295	0.0104315	0.010473	0.0114125	0	
