sample	SRR27281412.msh	SRR27281424.msh	SRR27281435.msh	SRR27281446.msh	SRR27281455.msh	SRR27281466.msh	SRR27281477.msh	SRR27281489.msh	SRR27281516.msh	SRR27281517.msh	
SRR27281412.msh	0	0.0130812	0.0139443	0.0129818	0.0144247	0.0128825	0.0133493	0.0135031	0.0129165	0.0130151	
SRR27281424.msh	0.0130812	0	0.0139121	0.0121513	0.0148839	0.01194	0.0122911	0.0136058	0.0124028	0.0121716	
SRR27281435.msh	0.0139443	0.0139121	0	0.0138106	0.0150663	0.0137141	0.0142746	0.0141658	0.0136887	0.0138854	
SRR27281446.msh	0.0129818	0.0121513	0.0138106	0	0.0146584	0.0120606	0.0124313	0.0134585	0.0122853	0.0121253	
SRR27281455.msh	0.0144247	0.0148839	0.0150663	0.0146584	0	0.0147644	0.0152399	0.0141823	0.0145184	0.0148494	
SRR27281466.msh	0.0128825	0.01194	0.0137141	0.0120606	0.0147644	0	0.0121537	0.0134687	0.0121838	0.0120026	
SRR27281477.msh	0.0133493	0.0122911	0.0142746	0.0124313	0.0152399	0.0121537	0	0.0139911	0.0126065	0.0123616	
SRR27281489.msh	0.0135031	0.0136058	0.0141658	0.0134585	0.0141823	0.0134687	0.0139911	0	0.0132912	0.0135779	
SRR27281516.msh	0.0129165	0.0124028	0.0136887	0.0122853	0.0145184	0.0121838	0.0126065	0.0132912	0	0.0123505	
SRR27281517.msh	0.0130151	0.0121716	0.0138854	0.0121253	0.0148494	0.0120026	0.0123616	0.0135779	0.0123505	0	
