sample	SRR23814149.msh	SRR23814150.msh	SRR23814151.msh	SRR23814153.msh	SRR23814154.msh	SRR23814155.msh	SRR23814156.msh	SRR23814157.msh	SRR23814158.msh	SRR23814160.msh	SRR23814161.msh	SRR23814162.msh	SRR23814164.msh	
SRR23814149.msh	0	0.0171875	0.0170677	0.0169748	0.0170438	0.0171787	0.0171262	0.0177483	0.017632	0.0170302	0.0185474	0.017568	0.0169564	
SRR23814150.msh	0.0171875	0	0.0170155	0.0168694	0.0168441	0.0170193	0.017047	0.0175994	0.0174295	0.0169196	0.0184558	0.0174913	0.0169537	
SRR23814151.msh	0.0170677	0.0170155	0	0.0168204	0.0167711	0.0170432	0.0169564	0.0176022	0.0174579	0.0169002	0.0184735	0.0173667	0.0168377	
SRR23814153.msh	0.0169748	0.0168694	0.0168204	0	0.0165803	0.0168533	0.0167695	0.017483	0.0172513	0.0168366	0.0182788	0.0172056	0.0166105	
SRR23814154.msh	0.0170438	0.0168441	0.0167711	0.0165803	0	0.0168829	0.0168226	0.0174272	0.0173496	0.0167904	0.0183132	0.0172023	0.0166493	
SRR23814155.msh	0.0171787	0.0170193	0.0170432	0.0168533	0.0168829	0	0.0170476	0.0176951	0.0175081	0.0169126	0.0185574	0.0174239	0.0168511	
SRR23814156.msh	0.0171262	0.017047	0.0169564	0.0167695	0.0168226	0.0170476	0	0.0175181	0.0174256	0.0168818	0.0185107	0.0174172	0.0169072	
SRR23814157.msh	0.0177483	0.0175994	0.0176022	0.017483	0.0174272	0.0176951	0.0175181	0	0.0180521	0.0175427	0.019	0.0180792	0.0174267	
SRR23814158.msh	0.017632	0.0174295	0.0174579	0.0172513	0.0173496	0.0175081	0.0174256	0.0180521	0	0.0173978	0.0188651	0.0178124	0.0173324	
SRR23814160.msh	0.0170302	0.0169196	0.0169002	0.0168366	0.0167904	0.0169126	0.0168818	0.0175427	0.0173978	0	0.0184129	0.0172722	0.0168414	
SRR23814161.msh	0.0185474	0.0184558	0.0184735	0.0182788	0.0183132	0.0185574	0.0185107	0.019	0.0188651	0.0184129	0	0.0188447	0.0183765	
SRR23814162.msh	0.017568	0.0174913	0.0173667	0.0172056	0.0172023	0.0174239	0.0174172	0.0180792	0.0178124	0.0172722	0.0188447	0	0.0172579	
SRR23814164.msh	0.0169564	0.0169537	0.0168377	0.0166105	0.0166493	0.0168511	0.0169072	0.0174267	0.0173324	0.0168414	0.0183765	0.0172579	0	
