sample	SRR27281412.msh	SRR27281424.msh	SRR27281435.msh	SRR27281446.msh	SRR27281455.msh	SRR27281466.msh	SRR27281477.msh	SRR27281489.msh	SRR27281516.msh	SRR27281517.msh	
SRR27281412.msh	0	0.0137814	0.0150493	0.013653	0.0155271	0.0133953	0.0141098	0.0143024	0.0135203	0.0136107	
SRR27281424.msh	0.0137814	0	0.0148279	0.0127893	0.0157015	0.0123571	0.0129818	0.0141938	0.0128332	0.0126693	
SRR27281435.msh	0.0150493	0.0148279	0	0.0147496	0.0163539	0.0143893	0.015212	0.0151724	0.0144996	0.0146736	
SRR27281446.msh	0.013653	0.0127893	0.0147496	0	0.0154943	0.012452	0.0130804	0.014069	0.0127399	0.0126045	
SRR27281455.msh	0.0155271	0.0157015	0.0163539	0.0154943	0	0.0153146	0.0160675	0.0151232	0.0151797	0.0154948	
SRR27281466.msh	0.0133953	0.0123571	0.0143893	0.012452	0.0153146	0	0.0126647	0.0138692	0.0124714	0.0122902	
SRR27281477.msh	0.0141098	0.0129818	0.015212	0.0130804	0.0160675	0.0126647	0	0.0146419	0.0131779	0.012874	
SRR27281489.msh	0.0143024	0.0141938	0.0151724	0.014069	0.0151232	0.0138692	0.0146419	0	0.0137733	0.014043	
SRR27281516.msh	0.0135203	0.0128332	0.0144996	0.0127399	0.0151797	0.0124714	0.0131779	0.0137733	0	0.0127079	
SRR27281517.msh	0.0136107	0.0126693	0.0146736	0.0126045	0.0154948	0.0122902	0.012874	0.014043	0.0127079	0	
