sample	SRR27281412.msh	SRR27281424.msh	SRR27281435.msh	SRR27281446.msh	SRR27281455.msh	SRR27281466.msh	SRR27281477.msh	SRR27281489.msh	SRR27281516.msh	SRR27281517.msh	
SRR27281412.msh	0	0.0259793	0.0251988	0.0257508	0.0239973	0.0259602	0.0263651	0.0242266	0.0250761	0.0259454	
SRR27281424.msh	0.0259793	0	0.0263199	0.0259367	0.0261103	0.025889	0.0264246	0.0259463	0.025743	0.0259367	
SRR27281435.msh	0.0251988	0.0263199	0	0.0259723	0.0246477	0.0264032	0.026866	0.0247703	0.0254288	0.0264468	
SRR27281446.msh	0.0257508	0.0259367	0.0259723	0	0.0258587	0.0261042	0.0262307	0.0255802	0.0254814	0.0261489	
SRR27281455.msh	0.0239973	0.0261103	0.0246477	0.0258587	0	0.0264905	0.0267844	0.0231895	0.0249656	0.0263137	
SRR27281466.msh	0.0259602	0.025889	0.0264032	0.0261042	0.0264905	0	0.0264887	0.0259419	0.0257654	0.0260124	
SRR27281477.msh	0.0263651	0.0264246	0.026866	0.0262307	0.0267844	0.0264887	0	0.0265719	0.0260998	0.0265101	
SRR27281489.msh	0.0242266	0.0259463	0.0247703	0.0255802	0.0231895	0.0259419	0.0265719	0	0.0248171	0.0260377	
SRR27281516.msh	0.0250761	0.025743	0.0254288	0.0254814	0.0249656	0.0257654	0.0260998	0.0248171	0	0.0256187	
SRR27281517.msh	0.0259454	0.0259367	0.0264468	0.0261489	0.0263137	0.0260124	0.0265101	0.0260377	0.0256187	0	
