sample	SRR23814166.msh	SRR23814167.msh	SRR23814168.msh	SRR23814169.msh	SRR23814170.msh	SRR23814171.msh	SRR23814172.msh	SRR23814173.msh	SRR23814175.msh	SRR23814176.msh	SRR23814177.msh	SRR23814178.msh	SRR23814179.msh	
SRR23814166.msh	0	0.0277743	0.027818	0.0282398	0.0284328	0.0283751	0.0277847	0.0278952	0.0282485	0.0282601	0.0190152	0.0280562	0.0280216	
SRR23814167.msh	0.0277743	0	0.0277297	0.0280571	0.0283927	0.0286572	0.0283166	0.0279554	0.0285417	0.028336	0.0193042	0.0282281	0.0281034	
SRR23814168.msh	0.027818	0.0277297	0	0.0278771	0.0282572	0.0283731	0.0278332	0.0278485	0.02838	0.0283039	0.018911	0.0279842	0.0277307	
SRR23814169.msh	0.0282398	0.0280571	0.0278771	0	0.0287097	0.0286671	0.0285201	0.0285595	0.0288132	0.0287813	0.0193617	0.0286236	0.0284357	
SRR23814170.msh	0.0284328	0.0283927	0.0282572	0.0287097	0	0.0288641	0.0285211	0.0285536	0.0291204	0.0286998	0.0194567	0.0286098	0.0283166	
SRR23814171.msh	0.0283751	0.0286572	0.0283731	0.0286671	0.0288641	0	0.0283127	0.0283702	0.0288961	0.0287028	0.0194722	0.0287078	0.0282621	
SRR23814172.msh	0.0277847	0.0283166	0.0278332	0.0285201	0.0285211	0.0283127	0	0.0276664	0.0282048	0.0282815	0.0188152	0.0281468	0.0277525	
SRR23814173.msh	0.0278952	0.0279554	0.0278485	0.0285595	0.0285536	0.0283702	0.0276664	0	0.0283516	0.0282932	0.0187876	0.02817	0.0278847	
SRR23814175.msh	0.0282485	0.0285417	0.02838	0.0288132	0.0291204	0.0288961	0.0282048	0.0283516	0	0.0286058	0.0193945	0.0283946	0.0283331	
SRR23814176.msh	0.0282601	0.028336	0.0283039	0.0287813	0.0286998	0.0287028	0.0282815	0.0282932	0.0286058	0	0.0193728	0.0286434	0.0282174	
SRR23814177.msh	0.0190152	0.0193042	0.018911	0.0193617	0.0194567	0.0194722	0.0188152	0.0187876	0.0193945	0.0193728	0	0.0191904	0.0188447	
SRR23814178.msh	0.0280562	0.0282281	0.0279842	0.0286236	0.0286098	0.0287078	0.0281468	0.02817	0.0283946	0.0286434	0.0191904	0	0.0283624	
SRR23814179.msh	0.0280216	0.0281034	0.0277307	0.0284357	0.0283166	0.0282621	0.0277525	0.0278847	0.0283331	0.0282174	0.0188447	0.0283624	0	
