sample	SRR23814149.msh	SRR23814150.msh	SRR23814151.msh	SRR23814153.msh	SRR23814154.msh	SRR23814155.msh	SRR23814156.msh	SRR23814157.msh	SRR23814158.msh	SRR23814160.msh	SRR23814161.msh	SRR23814162.msh	SRR23814164.msh	
SRR23814149.msh	0	0.0183384	0.0184936	0.0183173	0.0185142	0.0189775	0.0184246	0.0190773	0.0187696	0.0182438	0.0194722	0.018612	0.0183905	
SRR23814150.msh	0.0183384	0	0.0183513	0.018177	0.0183121	0.0187912	0.0181503	0.0189436	0.0184323	0.0181503	0.0192641	0.0185515	0.0182077	
SRR23814151.msh	0.0184936	0.0183513	0	0.0183431	0.0184623	0.0190231	0.018238	0.0190468	0.0186948	0.0182975	0.019476	0.0185877	0.0183144	
SRR23814153.msh	0.0183173	0.018177	0.0183431	0	0.0182031	0.0188266	0.01807	0.0189116	0.0184706	0.0181915	0.0192604	0.018516	0.0180233	
SRR23814154.msh	0.0185142	0.0183121	0.0184623	0.0182031	0	0.0188434	0.0183185	0.0190267	0.0186972	0.0183372	0.019425	0.0186864	0.0183033	
SRR23814155.msh	0.0189775	0.0187912	0.0190231	0.0188266	0.0188434	0	0.0187594	0.0193592	0.0191542	0.0186417	0.0199793	0.0191151	0.018882	
SRR23814156.msh	0.0184246	0.0181503	0.018238	0.01807	0.0183185	0.0187594	0	0.0188062	0.0185184	0.0180095	0.0191708	0.018437	0.0181642	
SRR23814157.msh	0.0190773	0.0189436	0.0190468	0.0189116	0.0190267	0.0193592	0.0188062	0	0.0191426	0.018742	0.0199346	0.0191824	0.0187708	
SRR23814158.msh	0.0187696	0.0184323	0.0186948	0.0184706	0.0186972	0.0191542	0.0185184	0.0191426	0	0.0185083	0.0195929	0.0187678	0.0185551	
SRR23814160.msh	0.0182438	0.0181503	0.0182975	0.0181915	0.0183372	0.0186417	0.0180095	0.018742	0.0185083	0	0.0192364	0.0183841	0.0181104	
SRR23814161.msh	0.0194722	0.0192641	0.019476	0.0192604	0.019425	0.0199793	0.0191708	0.0199346	0.0195929	0.0192364	0	0.0195534	0.019298	
SRR23814162.msh	0.018612	0.0185515	0.0185877	0.018516	0.0186864	0.0191151	0.018437	0.0191824	0.0187678	0.0183841	0.0195534	0	0.0184258	
SRR23814164.msh	0.0183905	0.0182077	0.0183144	0.0180233	0.0183033	0.018882	0.0181642	0.0187708	0.0185551	0.0181104	0.019298	0.0184258	0	
