sample	SRR23814149.msh	SRR23814150.msh	SRR23814151.msh	SRR23814153.msh	SRR23814154.msh	SRR23814155.msh	SRR23814156.msh	SRR23814157.msh	SRR23814158.msh	SRR23814160.msh	SRR23814161.msh	SRR23814162.msh	SRR23814164.msh	
SRR23814149.msh	0	0.0156026	0.0155446	0.0154386	0.0155391	0.0162402	0.0155446	0.0162091	0.0160172	0.0155391	0.0167582	0.0158919	0.0154565	
SRR23814150.msh	0.0156026	0	0.0154744	0.0153111	0.0153328	0.0160964	0.0154242	0.0160136	0.0157833	0.0153787	0.0166366	0.015837	0.0154029	
SRR23814151.msh	0.0155446	0.0154744	0	0.0153013	0.0152925	0.0161914	0.0154148	0.0160655	0.0158655	0.015453	0.0166957	0.0158208	0.0153921	
SRR23814153.msh	0.0154386	0.0153111	0.0153013	0	0.0151076	0.0159962	0.0152326	0.0159113	0.0156336	0.0153092	0.0165094	0.0156799	0.0151583	
SRR23814154.msh	0.0155391	0.0153328	0.0152925	0.0151076	0	0.016029	0.0153018	0.0159593	0.0158127	0.0153664	0.0164941	0.0156407	0.0152003	
SRR23814155.msh	0.0162402	0.0160964	0.0161914	0.0159962	0.016029	0	0.0161237	0.0167325	0.0165137	0.0160994	0.0173512	0.016453	0.0160331	
SRR23814156.msh	0.0155446	0.0154242	0.0154148	0.0152326	0.0153018	0.0161237	0	0.0159445	0.0157975	0.015357	0.0166573	0.0157828	0.0153733	
SRR23814157.msh	0.0162091	0.0160136	0.0160655	0.0159113	0.0159593	0.0167325	0.0159445	0	0.016421	0.016066	0.0172232	0.0164278	0.0159552	
SRR23814158.msh	0.0160172	0.0157833	0.0158655	0.0156336	0.0158127	0.0165137	0.0157975	0.016421	0	0.0158746	0.0170046	0.0160835	0.0157833	
SRR23814160.msh	0.0155391	0.0153787	0.015453	0.0153092	0.0153664	0.0160994	0.015357	0.016066	0.0158746	0	0.0166914	0.0157368	0.0153604	
SRR23814161.msh	0.0167582	0.0166366	0.0166957	0.0165094	0.0164941	0.0173512	0.0166573	0.0172232	0.0170046	0.0166914	0	0.0169922	0.016609	
SRR23814162.msh	0.0158919	0.015837	0.0158208	0.0156799	0.0156407	0.016453	0.0157828	0.0164278	0.0160835	0.0157368	0.0169922	0	0.0156839	
SRR23814164.msh	0.0154565	0.0154029	0.0153921	0.0151583	0.0152003	0.0160331	0.0153733	0.0159552	0.0157833	0.0153604	0.016609	0.0156839	0	
