sample	SRR23814147.msh	SRR23814148.msh	SRR23814152.msh	SRR23814180.msh	SRR23814181.msh	SRR23814183.msh	SRR23814184.msh	SRR23814185.msh	SRR23814186.msh	SRR23814187.msh	SRR23814188.msh	
SRR23814147.msh	0	0.0175075	0.0180205	0.0175092	0.0174902	0.0121277	0.019397	0.0177296	0.0180279	0.0179774	0.0181915	
SRR23814148.msh	0.0175075	0	0.0175204	0.0174763	0.0173468	0.0117178	0.0190194	0.01741	0.0177002	0.0175999	0.0179024	
SRR23814152.msh	0.0180205	0.0175204	0	0.0179058	0.0178539	0.0122326	0.0193914	0.0178397	0.0181196	0.0180844	0.0184111	
SRR23814180.msh	0.0175092	0.0174763	0.0179058	0	0.014346	0.0119088	0.0192678	0.0175696	0.017805	0.0178733	0.0181509	
SRR23814181.msh	0.0174902	0.0173468	0.0178539	0.014346	0	0.01191	0.0191904	0.0174735	0.0178676	0.0178118	0.0181538	
SRR23814183.msh	0.0121277	0.0117178	0.0122326	0.0119088	0.01191	0	0.0134995	0.0120179	0.012346	0.0122445	0.0124288	
SRR23814184.msh	0.019397	0.0190194	0.0193914	0.0192678	0.0191904	0.0134995	0	0.0193753	0.0195684	0.0194194	0.0198606	
SRR23814185.msh	0.0177296	0.01741	0.0178397	0.0175696	0.0174735	0.0120179	0.0193753	0	0.0149151	0.017801	0.0179665	
SRR23814186.msh	0.0180279	0.0177002	0.0181196	0.017805	0.0178676	0.012346	0.0195684	0.0149151	0	0.0180723	0.0183917	
SRR23814187.msh	0.0179774	0.0175999	0.0180844	0.0178733	0.0178118	0.0122445	0.0194194	0.017801	0.0180723	0	0.0183947	
SRR23814188.msh	0.0181915	0.0179024	0.0184111	0.0181509	0.0181538	0.0124288	0.0198606	0.0179665	0.0183917	0.0183947	0	
