sample	SRR23814149.msh	SRR23814150.msh	SRR23814151.msh	SRR23814153.msh	SRR23814154.msh	SRR23814155.msh	SRR23814156.msh	SRR23814157.msh	SRR23814158.msh	SRR23814160.msh	SRR23814161.msh	SRR23814162.msh	SRR23814164.msh	
SRR23814149.msh	0	0.0282932	0.028423	0.0282446	0.0285309	0.0286741	0.0282737	0.0289161	0.0287246	0.0277752	0.0294014	0.0288901	0.0284651	
SRR23814150.msh	0.0282932	0	0.02817	0.0278799	0.0279822	0.0285054	0.0278704	0.0287326	0.0282747	0.0279957	0.0292483	0.0285339	0.0279957	
SRR23814151.msh	0.028423	0.02817	0	0.0282446	0.0283936	0.0288221	0.0281758	0.0289653	0.0286919	0.0282485	0.0293125	0.0287038	0.028378	
SRR23814153.msh	0.0282446	0.0278799	0.0282446	0	0.0281671	0.0285476	0.0279066	0.0286345	0.028377	0.0278981	0.029079	0.0285743	0.0279976	
SRR23814154.msh	0.0285309	0.0279822	0.0283936	0.0281671	0	0.0286988	0.0281681	0.0288022	0.0287763	0.0279918	0.0293809	0.0286632	0.0282922	
SRR23814155.msh	0.0286741	0.0285054	0.0288221	0.0285476	0.0286988	0	0.0284455	0.0289773	0.0289181	0.0282543	0.0297683	0.0289572	0.0285555	
SRR23814156.msh	0.0282737	0.0278704	0.0281758	0.0279066	0.0281681	0.0284455	0	0.0284298	0.028337	0.0279487	0.0290609	0.028378	0.0281516	
SRR23814157.msh	0.0289161	0.0287326	0.0289653	0.0286345	0.0288022	0.0289773	0.0284298	0	0.0289171	0.0282621	0.0296084	0.0291478	0.0285398	
SRR23814158.msh	0.0287246	0.0282747	0.0286919	0.028377	0.0287763	0.0289181	0.028337	0.0289171	0	0.0284435	0.0293994	0.028679	0.0285093	
SRR23814160.msh	0.0277752	0.0279957	0.0282485	0.0278981	0.0279918	0.0282543	0.0279487	0.0282621	0.0284435	0	0.0290881	0.0282446	0.0279976	
SRR23814161.msh	0.0294014	0.0292483	0.0293125	0.029079	0.0293809	0.0297683	0.0290609	0.0296084	0.0293994	0.0290881	0	0.029462	0.0292452	
SRR23814162.msh	0.0288901	0.0285339	0.0287038	0.0285743	0.0286632	0.0289572	0.028378	0.0291478	0.028679	0.0282446	0.029462	0	0.0284083	
SRR23814164.msh	0.0284651	0.0279957	0.028378	0.0279976	0.0282922	0.0285555	0.0281516	0.0285398	0.0285093	0.0279976	0.0292452	0.0284083	0	
