sample	SRR1607346.msh	SRR1607348.msh	SRR1607350.msh	SRR1607351.msh	SRR1607354.msh	SRR1607356.msh	SRR1607357.msh	SRR1607359.msh	SRR1607361.msh	SRR1607363.msh	
SRR1607346.msh	0	0.0106528	0.00959491	0.00800148	0.0102996	0.00975297	0.0098819	0.0103786	0.00988155	0.0103804	
SRR1607348.msh	0.0106528	0	0.0108635	0.00949466	0.011547	0.0110718	0.0111736	0.011558	0.0112788	0.0116371	
SRR1607350.msh	0.00959491	0.0108635	0	0.00835767	0.0105003	0.0099908	0.0101563	0.0105471	0.0101735	0.0105987	
SRR1607351.msh	0.00800148	0.00949466	0.00835767	0	0.00910272	0.00844432	0.00850217	0.00924684	0.00848943	0.00917961	
SRR1607354.msh	0.0102996	0.011547	0.0105003	0.00910272	0	0.0102189	0.0108403	0.0112374	0.0108893	0.0112799	
SRR1607356.msh	0.00975297	0.0110718	0.0099908	0.00844432	0.0102189	0	0.0102874	0.0107671	0.0103144	0.0107763	
SRR1607357.msh	0.0098819	0.0111736	0.0101563	0.00850217	0.0108403	0.0102874	0	0.0109125	0.0104985	0.0109226	
SRR1607359.msh	0.0103786	0.011558	0.0105471	0.00924684	0.0112374	0.0107671	0.0109125	0	0.0109952	0.0113195	
SRR1607361.msh	0.00988155	0.0112788	0.0101735	0.00848943	0.0108893	0.0103144	0.0104985	0.0109952	0	0.0109703	
SRR1607363.msh	0.0103804	0.0116371	0.0105987	0.00917961	0.0112799	0.0107763	0.0109226	0.0113195	0.0109703	0	
