sample	SRR23814147.msh	SRR23814148.msh	SRR23814152.msh	SRR23814180.msh	SRR23814181.msh	SRR23814184.msh	SRR23814185.msh	SRR23814186.msh	SRR23814187.msh	SRR23814188.msh	
SRR23814147.msh	0	0.0167219	0.0171601	0.0167813	0.0168737	0.0200056	0.0170373	0.0177302	0.0172182	0.0178898	
SRR23814148.msh	0.0167219	0	0.01804	0.0179631	0.0179659	0.0206109	0.0180101	0.0186281	0.0181526	0.0188032	
SRR23814152.msh	0.0171601	0.01804	0	0.0184017	0.0184387	0.0208642	0.0183015	0.0189122	0.0184546	0.0191898	
SRR23814180.msh	0.0167813	0.0179631	0.0184017	0	0.0141102	0.0207305	0.0182014	0.0187732	0.0184011	0.0190438	
SRR23814181.msh	0.0168737	0.0179659	0.0184387	0.0141102	0	0.0207658	0.0182014	0.018784	0.0183952	0.0191243	
SRR23814184.msh	0.0200056	0.0206109	0.0208642	0.0207305	0.0207658	0	0.0208877	0.0214511	0.0208582	0.0217097	
SRR23814185.msh	0.0170373	0.0180101	0.0183015	0.0182014	0.0182014	0.0208877	0	0.0148935	0.0182607	0.0190121	
SRR23814186.msh	0.0177302	0.0186281	0.0189122	0.0187732	0.018784	0.0214511	0.0148935	0	0.0188513	0.0195872	
SRR23814187.msh	0.0172182	0.0181526	0.0184546	0.0184011	0.0183952	0.0208582	0.0182607	0.0188513	0	0.0192617	
SRR23814188.msh	0.0178898	0.0188032	0.0191898	0.0190438	0.0191243	0.0217097	0.0190121	0.0195872	0.0192617	0	
