sample	SRR1607346.msh	SRR1607348.msh	SRR1607350.msh	SRR1607351.msh	SRR1607354.msh	SRR1607356.msh	SRR1607357.msh	SRR1607359.msh	SRR1607361.msh	SRR1607363.msh	
SRR1607346.msh	0	0.0160516	0.0151749	0.0139516	0.0158056	0.0156859	0.0152321	0.015234	0.0156221	0.0156789	
SRR1607348.msh	0.0160516	0	0.0160624	0.014814	0.0168204	0.0163356	0.016011	0.0161542	0.0164573	0.0164736	
SRR1607350.msh	0.0151749	0.0160624	0	0.0138818	0.0158894	0.0156306	0.0151548	0.015212	0.0155381	0.0156758	
SRR1607351.msh	0.0139516	0.014814	0.0138818	0	0.0146064	0.0142741	0.0136103	0.0141125	0.0143595	0.0144734	
SRR1607354.msh	0.0158056	0.0168204	0.0158894	0.0146064	0	0.0158157	0.0159665	0.0159962	0.0162106	0.0163717	
SRR1607356.msh	0.0156859	0.0163356	0.0156306	0.0142741	0.0158157	0	0.0154228	0.0157424	0.0158279	0.0160223	
SRR1607357.msh	0.0152321	0.016011	0.0151548	0.0136103	0.0159665	0.0154228	0	0.0153767	0.0155436	0.0156582	
SRR1607359.msh	0.015234	0.0161542	0.015212	0.0141125	0.0159962	0.0157424	0.0153767	0	0.0156668	0.0158254	
SRR1607361.msh	0.0156221	0.0164573	0.0155381	0.0143595	0.0162106	0.0158279	0.0155436	0.0156668	0	0.0161294	
SRR1607363.msh	0.0156789	0.0164736	0.0156758	0.0144734	0.0163717	0.0160223	0.0156582	0.0158254	0.0161294	0	
