sample	SRR23814166.msh	SRR23814167.msh	SRR23814168.msh	SRR23814169.msh	SRR23814170.msh	SRR23814171.msh	SRR23814172.msh	SRR23814173.msh	SRR23814175.msh	SRR23814176.msh	SRR23814177.msh	SRR23814178.msh	SRR23814179.msh	
SRR23814166.msh	0	0.0153797	0.0151441	0.0156402	0.015834	0.0156392	0.0149879	0.0153013	0.0157484	0.0156111	0.0108403	0.0156462	0.0152164	
SRR23814167.msh	0.0153797	0	0.015292	0.0157848	0.0159798	0.0157651	0.0152964	0.0154451	0.0159205	0.0157499	0.0109925	0.0158284	0.0152561	
SRR23814168.msh	0.0151441	0.015292	0	0.0155766	0.0156507	0.0155072	0.0148384	0.0151539	0.0157181	0.0156051	0.0106186	0.0154451	0.0149585	
SRR23814169.msh	0.0156402	0.0157848	0.0155766	0	0.0161433	0.0160238	0.0155082	0.0156849	0.0162918	0.0160629	0.0111363	0.0160156	0.0155496	
SRR23814170.msh	0.015834	0.0159798	0.0156507	0.0161433	0	0.0161165	0.0156216	0.0157742	0.0163116	0.0161273	0.0113349	0.0162356	0.0154898	
SRR23814171.msh	0.0156392	0.0157651	0.0155072	0.0160238	0.0161165	0	0.0154709	0.0156076	0.016085	0.0159057	0.0111052	0.0161485	0.0153792	
SRR23814172.msh	0.0149879	0.0152964	0.0148384	0.0155082	0.0156216	0.0154709	0	0.0149589	0.0154843	0.0155346	0.0104948	0.0154595	0.0149098	
SRR23814173.msh	0.0153013	0.0154451	0.0151539	0.0156849	0.0157742	0.0156076	0.0149589	0	0.0157965	0.0156211	0.0106484	0.0157161	0.0151612	
SRR23814175.msh	0.0157484	0.0159205	0.0157181	0.0162918	0.0163116	0.016085	0.0154843	0.0157965	0	0.0160521	0.0112776	0.0160619	0.0155976	
SRR23814176.msh	0.0156111	0.0157499	0.0156051	0.0160629	0.0161273	0.0159057	0.0155346	0.0156211	0.0160521	0	0.0111561	0.0160722	0.0154918	
SRR23814177.msh	0.0108403	0.0109925	0.0106186	0.0111363	0.0113349	0.0111052	0.0104948	0.0106484	0.0112776	0.0111561	0	0.011203	0.010641	
SRR23814178.msh	0.0156462	0.0158284	0.0154451	0.0160156	0.0162356	0.0161485	0.0154595	0.0157161	0.0160619	0.0160722	0.011203	0	0.0155072	
SRR23814179.msh	0.0152164	0.0152561	0.0149585	0.0155496	0.0154898	0.0153792	0.0149098	0.0151612	0.0155976	0.0154918	0.010641	0.0155072	0	
