sample	SRR1607296.msh	SRR1607299.msh	SRR1607302.msh	SRR1607306.msh	SRR1607310.msh	SRR1607312.msh	SRR1607316.msh	SRR1607318.msh	SRR1607320.msh	SRR1607323.msh	
SRR1607296.msh	0	0.0168554	0.0153945	0.0154674	0.0156945	0.0165681	0.0153136	0.0157792	0.0164467	0.0155092	
SRR1607299.msh	0.0168554	0	0.0161687	0.0158122	0.0162746	0.0173412	0.0160912	0.01666	0.0170939	0.0163178	
SRR1607302.msh	0.0153945	0.0161687	0	0.0145861	0.0149855	0.0158528	0.0145645	0.0150159	0.0157848	0.014781	
SRR1607306.msh	0.0154674	0.0158122	0.0145861	0	0.0149927	0.0158838	0.0145095	0.0151451	0.0155851	0.0147763	
SRR1607310.msh	0.0156945	0.0162746	0.0149855	0.0149927	0	0.0161769	0.0148762	0.0153506	0.0157944	0.0151578	
SRR1607312.msh	0.0165681	0.0173412	0.0158528	0.0158838	0.0161769	0	0.015869	0.0162491	0.0170421	0.0161314	
SRR1607316.msh	0.0153136	0.0160912	0.0145645	0.0145095	0.0148762	0.015869	0	0.0150522	0.0151125	0.0147739	
SRR1607318.msh	0.0157792	0.01666	0.0150159	0.0151451	0.0153506	0.0162491	0.0150522	0	0.0162694	0.0152149	
SRR1607320.msh	0.0164467	0.0170939	0.0157848	0.0155851	0.0157944	0.0170421	0.0151125	0.0162694	0	0.0160156	
SRR1607323.msh	0.0155092	0.0163178	0.014781	0.0147763	0.0151578	0.0161314	0.0147739	0.0152149	0.0160156	0	
