sample	SRR1607296.msh	SRR1607299.msh	SRR1607302.msh	SRR1607306.msh	SRR1607310.msh	SRR1607312.msh	SRR1607316.msh	SRR1607318.msh	SRR1607320.msh	SRR1607323.msh	
SRR1607296.msh	0	0.0289191	0.0274615	0.0275308	0.0279861	0.0286404	0.027498	0.0278142	0.0287455	0.027819	
SRR1607299.msh	0.0289191	0	0.0281169	0.0280283	0.0283536	0.0294148	0.0281217	0.0287207	0.0291741	0.0285614	
SRR1607302.msh	0.0274615	0.0281169	0	0.0267329	0.0270788	0.02792	0.0265584	0.0269489	0.0279133	0.0267817	
SRR1607306.msh	0.0275308	0.0280283	0.0267329	0	0.0269471	0.0279172	0.0265593	0.0273161	0.0277136	0.0268624	
SRR1607310.msh	0.0279861	0.0283536	0.0270788	0.0269471	0	0.0280033	0.0267428	0.0273924	0.027899	0.0271745	
SRR1607312.msh	0.0286404	0.0294148	0.02792	0.0279172	0.0280033	0	0.0279736	0.0282592	0.0291731	0.0281082	
SRR1607316.msh	0.027498	0.0281217	0.0265584	0.0265593	0.0267428	0.0279736	0	0.0270412	0.0273775	0.0268342	
SRR1607318.msh	0.0278142	0.0287207	0.0269489	0.0273161	0.0273924	0.0282592	0.0270412	0	0.0285122	0.0272818	
SRR1607320.msh	0.0287455	0.0291741	0.0279133	0.0277136	0.027899	0.0291731	0.0273775	0.0285122	0	0.0281497	
SRR1607323.msh	0.027819	0.0285614	0.0267817	0.0268624	0.0271745	0.0281082	0.0268342	0.0272818	0.0281497	0	
