sample	SRR27281412.msh	SRR27281424.msh	SRR27281435.msh	SRR27281446.msh	SRR27281455.msh	SRR27281466.msh	SRR27281477.msh	SRR27281489.msh	SRR27281516.msh	SRR27281517.msh	
SRR27281412.msh	0	0.0141952	0.0160326	0.0143191	0.0160228	0.0136994	0.014658	0.0147306	0.0138918	0.0139108	
SRR27281424.msh	0.0141952	0	0.0155221	0.0132408	0.0158568	0.0124863	0.0133222	0.0143409	0.0129711	0.0127922	
SRR27281435.msh	0.0160326	0.0155221	0	0.0156889	0.0171497	0.0150087	0.0159782	0.0159042	0.0151519	0.0152772	
SRR27281446.msh	0.0143191	0.0132408	0.0156889	0	0.0159767	0.0128379	0.0136476	0.0145226	0.0131304	0.0129762	
SRR27281455.msh	0.0160228	0.0158568	0.0171497	0.0159767	0	0.0153146	0.0163633	0.0151232	0.0151797	0.0154948	
SRR27281466.msh	0.0136994	0.0124863	0.0150087	0.0128379	0.0153146	0	0.012905	0.0138692	0.0124714	0.0122902	
SRR27281477.msh	0.014658	0.0133222	0.0159782	0.0136476	0.0163633	0.012905	0	0.0149171	0.0134295	0.0131239	
SRR27281489.msh	0.0147306	0.0143409	0.0159042	0.0145226	0.0151232	0.0138692	0.0149171	0	0.0137733	0.014043	
SRR27281516.msh	0.0138918	0.0129711	0.0151519	0.0131304	0.0151797	0.0124714	0.0134295	0.0137733	0	0.0127079	
SRR27281517.msh	0.0139108	0.0127922	0.0152772	0.0129762	0.0154948	0.0122902	0.0131239	0.014043	0.0127079	0	
