sample	rotifer_0.001_1x_1	rotifer_0.001_2x_1	rotifer_0.001_4x_1	rotifer_0.001_8x_1	rotifer_0.002_1x_1	rotifer_0.002_2x_1	rotifer_0.002_4x_1	rotifer_0.002_8x_1	rotifer_0.004_1x_1	rotifer_0.004_2x_1	rotifer_0.004_4x_1	rotifer_0.004_8x_1	rotifer_0.006_1x_1	rotifer_0.006_2x_1	rotifer_0.006_4x_1	rotifer_0.006_8x_1	rotifer_0.008_1x_1	rotifer_0.008_2x_1	rotifer_0.008_4x_1	rotifer_0.008_8x_1	rotifer_0.01_1x_1	rotifer_0.01_2x_1	rotifer_0.01_4x_1	rotifer_0.01_8x_1	rotifer_0.02_1x_1	rotifer_0.02_2x_1	rotifer_0.02_4x_1	rotifer_0.02_8x_1	rotifer_0.0_1x_1	rotifer_0.0_2x_1	rotifer_0.0_4x_1	rotifer_0.0_8x_1	
rotifer_0.001_1x_1	0.0	0.0193952	0.0200133	0.013918	0.027543	0.0233698	0.0233729	0.0170036	0.0294836	0.0254365	0.0254415	0.0189672	0.0315071	0.0272161	0.0273691	0.0208193	0.0334798	0.0290649	0.0294435	0.0228665	0.0354243	0.0313305	0.031444	0.0251044	0.0455216	0.0412191	0.0411181	0.0349195	0.0256752	0.0212494	0.0214684	0.014958	
rotifer_0.001_2x_1	0.0193952	0.0	0.0128062	0.00768587	0.0235456	0.0175019	0.0164247	0.0108076	0.0252727	0.0196582	0.0183911	0.0128489	0.0273319	0.021542	0.0204395	0.0148355	0.0292554	0.0233652	0.022426	0.0168333	0.0312847	0.0256144	0.024436	0.0189521	0.0411318	0.0353519	0.0342768	0.0287634	0.0213455	0.0154272	0.0144645	0.0087534	
rotifer_0.001_4x_1	0.0200133	0.0128062	0.0	0.00633322	0.0233813	0.0162855	0.0143455	0.00944225	0.0252122	0.0183495	0.0162756	0.0114497	0.0271672	0.0202197	0.0182397	0.013344	0.0292228	0.0221785	0.0202658	0.015397	0.0313205	0.0243644	0.0223562	0.0176011	0.0410193	0.0339988	0.032123	0.0272438	0.02136	0.0142496	0.0123834	0.00740163	
rotifer_0.001_8x_1	0.013918	0.00768587	0.00633322	0.0	0.0169613	0.0106698	0.00941442	0.00391694	0.018805	0.0127703	0.0113936	0.00593349	0.0207859	0.0147068	0.0134322	0.00790434	0.0228315	0.0166584	0.0154958	0.00994363	0.0248821	0.0187918	0.0175036	0.0120743	0.0348499	0.0287485	0.0273533	0.0219711	0.01487	0.00859098	0.00740016	0.00184319	
rotifer_0.002_1x_1	0.027543	0.0235456	0.0233813	0.0169613	0.0	0.019345	0.0199141	0.0138958	0.0303665	0.0264361	0.0263048	0.0199505	0.0327123	0.0284054	0.0282553	0.0220153	0.0343331	0.0303569	0.0302767	0.0240067	0.0363227	0.0324033	0.0322475	0.0260543	0.0460305	0.041975	0.041915	0.0357109	0.0266572	0.0221742	0.0224398	0.0159338	
rotifer_0.002_2x_1	0.0233698	0.0175019	0.0162855	0.0106698	0.019345	0.0	0.0126187	0.00757029	0.026084	0.0203753	0.0191744	0.0136628	0.0280341	0.0223076	0.0211469	0.0156011	0.0299505	0.0242626	0.023241	0.0176523	0.0321648	0.0264112	0.0251227	0.0197168	0.0421936	0.0361142	0.0350486	0.0296146	0.0223228	0.0163393	0.0152728	0.00965097	
rotifer_0.002_4x_1	0.0233729	0.0164247	0.0143455	0.00941442	0.0199141	0.0126187	0.0	0.00629866	0.0261401	0.0192839	0.0172502	0.0124065	0.0281449	0.021274	0.0193271	0.0143921	0.0301183	0.0231887	0.0212926	0.0163293	0.0322802	0.0253156	0.023337	0.0185557	0.0419874	0.0349721	0.0331857	0.0282893	0.0224654	0.0152797	0.0133523	0.0084003	
rotifer_0.002_8x_1	0.0170036	0.0108076	0.00944225	0.00391694	0.0138958	0.00757029	0.00629866	0.0	0.0197939	0.0137706	0.0124032	0.0069418	0.0218167	0.0157232	0.0144532	0.0089098	0.02373	0.017703	0.0164947	0.0109496	0.0259098	0.0198314	0.0185024	0.0130967	0.0357653	0.0297048	0.0283458	0.0229845	0.0159736	0.00965648	0.00842847	0.00286922	
rotifer_0.004_1x_1	0.0294836	0.0252727	0.0252122	0.018805	0.0303665	0.026084	0.0261401	0.0197939	0.0	0.0194175	0.0199103	0.013885	0.0340784	0.0301596	0.0300992	0.0238127	0.0361488	0.0319461	0.0321218	0.0257921	0.0382123	0.0341761	0.0340392	0.0279659	0.047586	0.043887	0.0436738	0.0374572	0.0283302	0.0242762	0.024245	0.0178328	
rotifer_0.004_2x_1	0.0254365	0.0196582	0.0183495	0.0127703	0.0264361	0.0203753	0.0192839	0.0137706	0.0194175	0.0	0.0126932	0.00767114	0.0301193	0.024403	0.0232334	0.0177698	0.0323728	0.0263917	0.0252567	0.0198422	0.0341571	0.0284847	0.027181	0.0218966	0.0440557	0.0382501	0.0369583	0.0315659	0.0242402	0.0184818	0.0173945	0.0117577	
