sample	moss_0.001_1x_1	moss_0.001_2x_1	moss_0.001_4x_1	moss_0.001_8x_1	moss_0.002_1x_1	moss_0.002_2x_1	moss_0.002_4x_1	moss_0.002_8x_1	moss_0.004_1x_1	moss_0.004_2x_1	moss_0.004_4x_1	moss_0.004_8x_1	moss_0.006_1x_1	moss_0.006_2x_1	moss_0.006_4x_1	moss_0.006_8x_1	moss_0.008_1x_1	moss_0.008_2x_1	moss_0.008_4x_1	moss_0.008_8x_1	moss_0.01_1x_1	moss_0.01_2x_1	moss_0.01_4x_1	moss_0.01_8x_1	moss_0.02_1x_1	moss_0.02_2x_1	moss_0.02_4x_1	moss_0.02_8x_1	moss_0.0_1x_1	moss_0.0_2x_1	moss_0.0_4x_1	moss_0.0_8x_1	
moss_0.001_1x_1	0.0	0.0196739	0.020873	0.0132594	0.0255103	0.022804	0.0239649	0.0165052	0.0273236	0.0249814	0.0259932	0.0186459	0.0293646	0.0268252	0.0281574	0.0208233	0.0309927	0.0286503	0.0298603	0.0226796	0.0327528	0.0305657	0.0318392	0.0247687	0.0417584	0.0395348	0.0408514	0.0342016	0.0235757	0.0207685	0.0219526	0.0142741	
moss_0.001_2x_1	0.0196739	0.0	0.0148413	0.00833184	0.0227639	0.0182986	0.0180838	0.0116328	0.0245185	0.0203315	0.020113	0.013724	0.0266401	0.0222347	0.0221871	0.015893	0.0281545	0.024017	0.0239193	0.0177245	0.0300738	0.026141	0.0260552	0.0199282	0.039388	0.0351758	0.0352904	0.0294568	0.0207852	0.0161423	0.0160727	0.00946537	
moss_0.001_4x_1	0.020873	0.0148413	0.0	0.00795727	0.0238942	0.0180067	0.0168006	0.0112773	0.0255486	0.020028	0.0187936	0.0132925	0.0275355	0.0217659	0.0207879	0.0153062	0.0290689	0.0236252	0.0224909	0.0171562	0.0311266	0.0257198	0.0246086	0.0192832	0.0399055	0.0346102	0.0336904	0.0287048	0.0219469	0.015967	0.014804	0.00917727	
moss_0.001_8x_1	0.0132594	0.00833184	0.00795727	0.0	0.0165168	0.0115998	0.0113465	0.00472601	0.0183062	0.0137115	0.0134308	0.00690282	0.020448	0.0157828	0.0155926	0.00912032	0.0219412	0.0176359	0.0173789	0.0110257	0.0241525	0.019737	0.0196198	0.0132886	0.0335427	0.0291245	0.0291772	0.0231986	0.0144009	0.00947252	0.00919497	0.00245991	
moss_0.002_1x_1	0.0255103	0.0227639	0.0238942	0.0165168	0.0	0.0199691	0.0209625	0.0133817	0.0283848	0.0260674	0.027077	0.0197598	0.0304535	0.0278466	0.0290921	0.0218527	0.0321195	0.0297204	0.0308224	0.0237581	0.0338052	0.0316907	0.0330123	0.0258786	0.0428098	0.0404593	0.0419874	0.035273	0.0245915	0.0218392	0.0229853	0.0154312	
moss_0.002_2x_1	0.022804	0.0182986	0.0180067	0.0115998	0.0199691	0.0	0.014771	0.00829695	0.0256332	0.0213579	0.0211578	0.0148207	0.0276447	0.0232114	0.0231169	0.016911	0.0290891	0.0249872	0.0249127	0.0187612	0.031059	0.0271561	0.0269918	0.0208945	0.0401242	0.0360203	0.0361364	0.0303366	0.0219249	0.017243	0.0170966	0.0105654	
moss_0.002_4x_1	0.0239649	0.0180838	0.0168006	0.0113465	0.0209625	0.014771	0.0	0.00795114	0.0267356	0.0210877	0.0197901	0.0143888	0.0285723	0.0228241	0.0218061	0.0164052	0.0299852	0.0246061	0.0234425	0.0181892	0.0321439	0.0267067	0.0255998	0.0203877	0.0410193	0.0356023	0.0346816	0.0297361	0.0230408	0.0169802	0.0158853	0.0103147	
moss_0.002_8x_1	0.0165052	0.0116328	0.0112773	0.00472601	0.0133817	0.00829695	0.00795114	0.0	0.0194243	0.0148097	0.0144907	0.00802517	0.0214767	0.0168049	0.0165628	0.0102063	0.0230378	0.0186233	0.0183653	0.0121354	0.0250361	0.0207912	0.0205547	0.0143474	0.0344487	0.0299884	0.0300379	0.0241207	0.0155341	0.0105441	0.0103111	0.00361424	
moss_0.004_1x_1	0.0273236	0.0245185	0.0255486	0.0183062	0.0283848	0.0256332	0.0267356	0.0194243	0.0	0.0197857	0.0206327	0.0132908	0.0320234	0.0296343	0.0307242	0.0236221	0.0337353	0.0313205	0.0324116	0.0253772	0.0355807	0.0332869	0.0344422	0.0275797	0.0439923	0.0419097	0.043097	0.0366277	0.0265003	0.0235464	0.0246795	0.0172678	
moss_0.004_2x_1	0.0249814	0.0203315	0.020028	0.0137115	0.0260674	0.0213579	0.0210877	0.0148097	0.0197857	0.0	0.0146769	0.00821306	0.0295991	0.0251653	0.0250029	0.0189582	0.0310966	0.0269188	0.0267554	0.0207999	0.0331711	0.0288341	0.0287038	0.0228278	0.0415663	0.0375071	0.0377151	0.0320037	0.0240249	0.0192328	0.0190986	0.0127168	
