sample	leech_0.001_1x_1	leech_0.001_2x_1	leech_0.001_4x_1	leech_0.001_8x_1	leech_0.002_1x_1	leech_0.002_2x_1	leech_0.002_4x_1	leech_0.002_8x_1	leech_0.004_1x_1	leech_0.004_2x_1	leech_0.004_4x_1	leech_0.004_8x_1	leech_0.006_1x_1	leech_0.006_2x_1	leech_0.006_4x_1	leech_0.006_8x_1	leech_0.008_1x_1	leech_0.008_2x_1	leech_0.008_4x_1	leech_0.008_8x_1	leech_0.01_1x_1	leech_0.01_2x_1	leech_0.01_4x_1	leech_0.01_8x_1	leech_0.02_1x_1	leech_0.02_2x_1	leech_0.02_4x_1	leech_0.02_8x_1	leech_0.0_1x_1	leech_0.0_2x_1	leech_0.0_4x_1	leech_0.0_8x_1	
leech_0.001_1x_1	0.0	0.0203923	0.0202528	0.0140608	0.0280822	0.0233981	0.0234364	0.0171087	0.0302351	0.025484	0.0253814	0.01912	0.0320153	0.0274297	0.0271976	0.0210172	0.0338453	0.0293902	0.0290639	0.0229598	0.0358336	0.0312188	0.0311099	0.0249052	0.0456484	0.0410618	0.0407318	0.0346089	0.026281	0.0215629	0.0213228	0.0150639	
leech_0.001_2x_1	0.0203923	0.0	0.0128417	0.00749504	0.0233973	0.0172369	0.0160013	0.0105577	0.0253671	0.019191	0.0179791	0.0126082	0.0273236	0.0211094	0.0198663	0.0145118	0.0294199	0.023013	0.0217547	0.0164163	0.0310148	0.0250777	0.023808	0.0183138	0.0410601	0.0351586	0.0336568	0.0284651	0.0214844	0.0152301	0.0139157	0.00852161	
leech_0.001_4x_1	0.0202528	0.0128417	0.0	0.00605171	0.023169	0.0159977	0.0139511	0.00907751	0.0252047	0.0179413	0.0159475	0.0111135	0.0271276	0.0198886	0.0177908	0.0130344	0.029232	0.0218682	0.0196871	0.0150324	0.0309508	0.0238252	0.0217673	0.0169932	0.04087	0.0336991	0.0314789	0.0268915	0.02132	0.014002	0.0119021	0.00706144	
leech_0.001_8x_1	0.0140608	0.00749504	0.00605171	0.0	0.0169862	0.0105427	0.00914794	0.00380595	0.0189866	0.012574	0.0111416	0.00583731	0.0210104	0.0144617	0.0130567	0.00776214	0.0229262	0.0164799	0.0149865	0.00971866	0.0247441	0.0184005	0.0170601	0.0117111	0.034705	0.0285181	0.0268897	0.0217518	0.0150445	0.00856664	0.00710405	0.00175052	
leech_0.002_1x_1	0.0280822	0.0233973	0.023169	0.0169862	0.0	0.0204172	0.0203354	0.013977	0.0308959	0.0263544	0.0261199	0.0199697	0.0331103	0.0282854	0.028142	0.0219569	0.0347885	0.0302011	0.0299557	0.0238761	0.0366164	0.0320372	0.0319887	0.0257112	0.0466841	0.0422525	0.0417865	0.035749	0.0271533	0.0223991	0.0222455	0.0159424	
leech_0.002_2x_1	0.0233981	0.0172369	0.0159977	0.0105427	0.0204172	0.0	0.0130156	0.00757804	0.0263606	0.0202781	0.0190919	0.013661	0.0283975	0.0221857	0.0209261	0.0155291	0.0301958	0.0241501	0.0227847	0.017503	0.0320511	0.0260316	0.0249491	0.0194324	0.0417917	0.0360148	0.0344938	0.0292758	0.0224603	0.0163874	0.0150319	0.00955651	
leech_0.002_4x_1	0.0234364	0.0160013	0.0139511	0.00914794	0.0203354	0.0130156	0.0	0.00616102	0.0263314	0.0190389	0.0170307	0.0122412	0.028169	0.020916	0.0188597	0.014085	0.0302959	0.022989	0.0208126	0.0161201	0.0319	0.0248442	0.0228099	0.0180297	0.0419538	0.0349129	0.0326207	0.0280293	0.0223758	0.0150867	0.0130044	0.00816725	
leech_0.002_8x_1	0.0171087	0.0105577	0.00907751	0.00380595	0.013977	0.00757804	0.00616102	0.0	0.0200383	0.0136272	0.0121923	0.00689401	0.0219697	0.0154704	0.0140928	0.00879104	0.0239193	0.0174506	0.0159654	0.0107682	0.0257413	0.0194542	0.0180977	0.0127504	0.0356932	0.029532	0.0279066	0.0227773	0.0160711	0.00958736	0.00814922	0.00279245	
leech_0.004_1x_1	0.0302351	0.0253671	0.0252047	0.0189866	0.0308959	0.0263606	0.0263314	0.0200383	0.0	0.0204382	0.020325	0.0140928	0.0350804	0.03025	0.0301703	0.0239673	0.036931	0.0324151	0.0321799	0.0260762	0.0386614	0.0342398	0.0341126	0.0277828	0.0485531	0.0442508	0.0436795	0.0377759	0.029337	0.0243194	0.024329	0.0180573	
leech_0.004_2x_1	0.025484	0.019191	0.0179413	0.012574	0.0263544	0.0202781	0.0190389	0.0136272	0.0204382	0.0	0.0129672	0.0075685	0.0305009	0.0241223	0.0228933	0.0174969	0.0324492	0.0261182	0.02479	0.0195065	0.0342539	0.0279468	0.026827	0.0214193	0.0439252	0.0379983	0.0365345	0.0312936	0.0245549	0.0182578	0.0169715	0.0115674	
