sample	leech_0.001_1x_1	leech_0.001_2x_1	leech_0.001_4x_1	leech_0.001_8x_1	leech_0.002_1x_1	leech_0.002_2x_1	leech_0.002_4x_1	leech_0.002_8x_1	leech_0.004_1x_1	leech_0.004_2x_1	leech_0.004_4x_1	leech_0.004_8x_1	leech_0.006_1x_1	leech_0.006_2x_1	leech_0.006_4x_1	leech_0.006_8x_1	leech_0.008_1x_1	leech_0.008_2x_1	leech_0.008_4x_1	leech_0.008_8x_1	leech_0.01_1x_1	leech_0.01_2x_1	leech_0.01_4x_1	leech_0.01_8x_1	leech_0.02_1x_1	leech_0.02_2x_1	leech_0.02_4x_1	leech_0.02_8x_1	leech_0.0_1x_1	leech_0.0_2x_1	leech_0.0_4x_1	leech_0.0_8x_1	
leech_0.001_1x_1	0.0	0.0203969	0.0202697	0.0139952	0.027762	0.0234602	0.0231471	0.0169564	0.0300295	0.0255444	0.0252307	0.0190571	0.032021	0.0271331	0.0272605	0.0209807	0.0340936	0.0294692	0.0292442	0.0230882	0.035876	0.0315026	0.0312066	0.0250386	0.045542	0.0416046	0.0412655	0.0351798	0.0258725	0.02142	0.0212994	0.0149604	
leech_0.001_2x_1	0.0203969	0.0	0.0130555	0.00765643	0.0233683	0.0173795	0.0160023	0.0105841	0.0255435	0.0192235	0.0180308	0.0126279	0.0275055	0.0212357	0.0200724	0.0146315	0.0294589	0.0232958	0.0219619	0.0166222	0.0313776	0.0251871	0.0240028	0.0185889	0.0413843	0.0354687	0.0343126	0.0288012	0.0215253	0.0152301	0.0140901	0.00862691	
leech_0.001_4x_1	0.0202697	0.0130555	0.0	0.00613844	0.0230311	0.0159967	0.0138088	0.00903813	0.0252408	0.0179041	0.0158838	0.0110911	0.0272605	0.0199441	0.0178647	0.0130821	0.0291447	0.0218605	0.0197686	0.0150542	0.0310745	0.0238926	0.0218145	0.0170188	0.0409259	0.0341139	0.0319714	0.02723	0.0211851	0.0138408	0.0119392	0.00709627	
leech_0.001_8x_1	0.0139952	0.00765643	0.00613844	0.0	0.0168581	0.0106116	0.00908646	0.00379497	0.019031	0.0125465	0.0111093	0.00583468	0.0209868	0.014471	0.0131325	0.00780029	0.02298	0.0165962	0.0151076	0.00986057	0.0249971	0.0185717	0.0171327	0.0118379	0.035013	0.0288152	0.0273822	0.0220274	0.0149932	0.00850312	0.00712887	0.00179269	
leech_0.002_1x_1	0.027762	0.0233683	0.0230311	0.0168581	0.0	0.0204493	0.0201246	0.0139366	0.0309894	0.0263154	0.026134	0.0199492	0.0328726	0.0282825	0.0282087	0.0219122	0.0349761	0.0302671	0.0301087	0.0238573	0.0369282	0.0321415	0.031853	0.025768	0.0466584	0.0423691	0.042149	0.0359638	0.0268669	0.0222368	0.0220138	0.0158502	
leech_0.002_2x_1	0.0234602	0.0173795	0.0159967	0.0106116	0.0204493	0.0	0.0130396	0.00760761	0.0264664	0.0202554	0.0189763	0.0135681	0.028379	0.0222166	0.0210328	0.0156026	0.030556	0.0242938	0.0229988	0.0176337	0.0324186	0.0261656	0.0249731	0.0195772	0.0422508	0.0363493	0.0351201	0.0297558	0.0225216	0.0162179	0.0150324	0.00957535	
leech_0.002_4x_1	0.0231471	0.0160023	0.0138088	0.00908646	0.0201246	0.0130396	0.0	0.00607681	0.026236	0.0189213	0.0168135	0.0120638	0.0281478	0.0207966	0.0187283	0.0139993	0.0301257	0.0227469	0.0207211	0.0159987	0.0320106	0.0247572	0.0227854	0.017974	0.0420033	0.0350328	0.032893	0.028141	0.0222664	0.0148231	0.0128604	0.00804953	
leech_0.002_8x_1	0.0169564	0.0105841	0.00903813	0.00379497	0.0139366	0.00760761	0.00607681	0.0	0.0200769	0.0135389	0.0120618	0.00678737	0.0219412	0.0154456	0.0140773	0.00876474	0.0239894	0.0174267	0.016012	0.01078	0.0259906	0.0195059	0.0180636	0.0127703	0.0359391	0.0296436	0.0282155	0.0229336	0.0159675	0.00943749	0.00805292	0.00276053	
leech_0.004_1x_1	0.0300295	0.0255435	0.0252408	0.019031	0.0309894	0.0264664	0.026236	0.0200769	0.0	0.0206759	0.0204362	0.0141327	0.0348958	0.0304073	0.0304363	0.0240811	0.0370762	0.0323681	0.0322557	0.0260203	0.0388955	0.0345855	0.0342858	0.0281169	0.0488604	0.0442159	0.0440923	0.0380359	0.0292544	0.0244409	0.0242874	0.0180642	
leech_0.004_2x_1	0.0255444	0.0192235	0.0179041	0.0125465	0.0263154	0.0202554	0.0189213	0.0135389	0.0206759	0.0	0.0129561	0.00759237	0.030282	0.0241184	0.0228821	0.0175232	0.032591	0.0261858	0.0248138	0.0194691	0.0344835	0.0281603	0.0269033	0.0215226	0.0442838	0.0381111	0.0369353	0.0314687	0.0244869	0.0181828	0.0169277	0.0115588	
