sample	moss_0.001_1x_1	moss_0.001_2x_1	moss_0.001_4x_1	moss_0.001_8x_1	moss_0.002_1x_1	moss_0.002_2x_1	moss_0.002_4x_1	moss_0.002_8x_1	moss_0.004_1x_1	moss_0.004_2x_1	moss_0.004_4x_1	moss_0.004_8x_1	moss_0.006_1x_1	moss_0.006_2x_1	moss_0.006_4x_1	moss_0.006_8x_1	moss_0.008_1x_1	moss_0.008_2x_1	moss_0.008_4x_1	moss_0.008_8x_1	moss_0.01_1x_1	moss_0.01_2x_1	moss_0.01_4x_1	moss_0.01_8x_1	moss_0.02_1x_1	moss_0.02_2x_1	moss_0.02_4x_1	moss_0.02_8x_1	moss_0.0_1x_1	moss_0.0_2x_1	moss_0.0_4x_1	moss_0.0_8x_1	
moss_0.001_1x_1	0.0	0.019813	0.0209544	0.0134019	0.0256786	0.0228732	0.0240502	0.0166244	0.0275224	0.0248122	0.0261208	0.0187073	0.0296654	0.0270449	0.0282971	0.0210084	0.0313194	0.0288062	0.0299894	0.0228211	0.0334145	0.0308893	0.0319853	0.0250162	0.0421615	0.0399445	0.041293	0.0344487	0.0237877	0.0207738	0.0220409	0.0144579	
moss_0.001_2x_1	0.019813	0.0	0.0148796	0.00831423	0.0229853	0.0182188	0.0180648	0.0116304	0.024827	0.0200968	0.020162	0.0137177	0.026623	0.0223207	0.0222239	0.0159532	0.028525	0.0240866	0.0238957	0.0177931	0.0307155	0.0261103	0.0261015	0.0199659	0.0394613	0.0353841	0.0355536	0.0296105	0.0209847	0.0161108	0.0160331	0.00947865	
moss_0.001_4x_1	0.0209544	0.0148796	0.0	0.00803997	0.0240906	0.0180377	0.0168689	0.0113472	0.0257628	0.0198326	0.018829	0.0133694	0.0278151	0.0219555	0.0209348	0.0155276	0.0294867	0.0237285	0.022656	0.0173418	0.0315523	0.0257499	0.0246819	0.0194641	0.0403383	0.0349261	0.0340632	0.0289251	0.0221634	0.0159941	0.0148518	0.00925824	
moss_0.001_8x_1	0.0134019	0.00831423	0.00803997	0.0	0.0165766	0.0115998	0.0113847	0.00477408	0.0184423	0.0135796	0.0134881	0.0069085	0.0204598	0.0157934	0.0156542	0.00916293	0.022402	0.0178448	0.0175455	0.011219	0.0245347	0.0198225	0.0196878	0.0134172	0.0336407	0.0294127	0.0294692	0.023337	0.0145235	0.00940865	0.00924449	0.00249345	
moss_0.002_1x_1	0.0256786	0.0229853	0.0240906	0.0165766	0.0	0.019818	0.0210206	0.0134361	0.0285693	0.0258535	0.0271156	0.0198263	0.0304331	0.0278513	0.0290417	0.0218966	0.0322592	0.0299673	0.0309519	0.0239044	0.0343818	0.0317889	0.0328894	0.0259523	0.043084	0.0409089	0.0421437	0.0352797	0.024668	0.0218484	0.0230514	0.0155112	
moss_0.002_2x_1	0.0228732	0.0182188	0.0180377	0.0115998	0.019818	0.0	0.0147239	0.00824587	0.0256349	0.0209571	0.021028	0.014684	0.0276164	0.0230913	0.0230544	0.0168425	0.0292788	0.0250569	0.0247916	0.018787	0.0315421	0.0270651	0.026958	0.0209409	0.0403962	0.0362057	0.0364165	0.030475	0.0219484	0.0170672	0.0169916	0.010516	
moss_0.002_4x_1	0.0240502	0.0180648	0.0168689	0.0113847	0.0210206	0.0147239	0.0	0.00789945	0.0267112	0.0207631	0.0197895	0.0143702	0.0288541	0.022971	0.0218301	0.0164894	0.0303526	0.0246664	0.0234909	0.0182584	0.0325709	0.0266509	0.0256075	0.0204375	0.0413257	0.0356104	0.0348853	0.0297756	0.0231615	0.0169938	0.0158548	0.0103356	
moss_0.002_8x_1	0.0166244	0.0116304	0.0113472	0.00477408	0.0134361	0.00824587	0.00789945	0.0	0.0195165	0.0145758	0.0144809	0.00798796	0.0215824	0.0167668	0.0166462	0.0102328	0.0233461	0.0188224	0.0184334	0.0122298	0.0255103	0.0207698	0.0206102	0.0144224	0.0346907	0.0303013	0.0303869	0.0242882	0.0156618	0.0105069	0.0102561	0.00364097	
moss_0.004_1x_1	0.0275224	0.024827	0.0257628	0.0184423	0.0285693	0.0256349	0.0267112	0.0195165	0.0	0.0197718	0.0206182	0.0133231	0.0321253	0.0296509	0.0308016	0.0237184	0.034019	0.0314755	0.0324799	0.0256366	0.0360561	0.0334133	0.0344822	0.0277392	0.0442916	0.042149	0.0435547	0.0368752	0.026722	0.0235402	0.0248451	0.0173103	
moss_0.004_2x_1	0.0248122	0.0200968	0.0198326	0.0135796	0.0258535	0.0209571	0.0207631	0.0145758	0.0197718	0.0	0.014407	0.00808753	0.0293584	0.0249515	0.0248632	0.0187606	0.0312144	0.0267265	0.0264611	0.0205415	0.0333494	0.0288361	0.0286879	0.0227314	0.0419238	0.037687	0.0379729	0.0321021	0.0239831	0.0190468	0.0188874	0.0125187	
