sample	moss_0.001_1x	moss_0.001_2x	moss_0.001_4x	moss_0.001_8x	moss_0.002_1x	moss_0.002_2x	moss_0.002_4x	moss_0.002_8x	moss_0.004_1x	moss_0.004_2x	moss_0.004_4x	moss_0.004_8x	moss_0.006_1x	moss_0.006_2x	moss_0.006_4x	moss_0.006_8x	moss_0.008_1x	moss_0.008_2x	moss_0.008_4x	moss_0.008_8x	moss_0.01_1x	moss_0.01_2x	moss_0.01_4x	moss_0.01_8x	moss_0.02_1x	moss_0.02_2x	moss_0.02_4x	moss_0.02_8x	moss_0.0_1x	moss_0.0_2x	moss_0.0_4x	moss_0.0_8x
moss_0.001_1x	0.0	0.0	0.0055	0.00988	0.00239	0.00224	0.00805	0.01221	0.0044	0.00408	0.00986	0.01345	0.00663	0.00592	0.01154	0.01488	0.00877	0.00786	0.01333	0.01632	0.01063	0.00972	0.01492	0.01747	0.01945	0.01862	0.0227	0.02481	0.0	0.0	0.00601	0.01083
moss_0.001_2x	0.0	0.0	0.00387	0.00825	0.00248	0.00228	0.00633	0.01053	0.00473	0.0043	0.00799	0.01163	0.00678	0.00596	0.00961	0.01293	0.00874	0.008	0.01118	0.01425	0.01093	0.00982	0.01257	0.01544	0.01978	0.01894	0.02028	0.02276	0.0004	0.0	0.0047	0.00931
moss_0.001_4x	0.00545	0.00394	0.0	0.00703	0.00826	0.00639	0.00708	0.01024	0.01025	0.00832	0.0083	0.01106	0.01226	0.01009	0.00946	0.01217	0.01412	0.01188	0.01071	0.01327	0.01616	0.01377	0.01195	0.01431	0.02476	0.02258	0.01911	0.0208	0.00635	0.00471	0.00594	0.0094
moss_0.001_8x	0.01018	0.00871	0.00728	0.0	0.01314	0.01118	0.01051	0.01406	0.01503	0.01329	0.01149	0.01459	0.01698	0.01488	0.01248	0.01535	0.01879	0.01682	0.01366	0.01629	0.02068	0.01824	0.01459	0.01711	0.0292	0.02683	0.02086	0.02337	0.01126	0.00965	0.00986	0.01355
moss_0.002_1x	0.00239	0.00254	0.00833	0.01276	0.0	0.0	0.00616	0.01046	0.00578	0.00552	0.01108	0.01461	0.00771	0.00701	0.01281	0.01599	0.00964	0.00886	0.01452	0.01742	0.01145	0.01073	0.01603	0.01865	0.0202	0.01947	0.02397	0.02597	0.00144	0.00151	0.00735	0.01214
moss_0.002_2x	0.00218	0.00227	0.00628	0.01059	0.0	0.0	0.00398	0.00819	0.00557	0.00527	0.00877	0.01246	0.00773	0.0068	0.01025	0.01367	0.00973	0.00886	0.0119	0.01504	0.01164	0.0105	0.01335	0.01628	0.02053	0.01967	0.02097	0.02339	0.00132	0.0012	0.00552	0.01005
moss_0.002_4x	0.00793	0.0064	0.00705	0.01012	0.00608	0.00403	0.0	0.00522	0.01116	0.00922	0.00882	0.01131	0.01306	0.01091	0.01001	0.01238	0.01505	0.01274	0.01123	0.01358	0.01703	0.0145	0.01241	0.01459	0.02538	0.02319	0.01941	0.02095	0.00724	0.00558	0.00658	0.00976
moss_0.002_8x	0.01254	0.01109	0.01058	0.01405	0.01078	0.00865	0.00542	0.0	0.01571	0.01403	0.01182	0.01472	0.01761	0.01557	0.01295	0.01554	0.01943	0.0174	0.01387	0.01657	0.02138	0.01884	0.01499	0.01735	0.02976	0.02734	0.02117	0.02356	0.01204	0.01034	0.01028	0.01373
moss_0.004_1x	0.00438	0.00483	0.01032	0.01456	0.00576	0.0057	0.01129	0.01524	0.0	0.0	0.0068	0.01029	0.00994	0.0092	0.01471	0.01782	0.01159	0.01095	0.01627	0.01918	0.01347	0.01279	0.01792	0.02054	0.02184	0.02148	0.02558	0.02745	0.00365	0.00383	0.00937	0.01393
moss_0.004_2x	0.00396	0.00429	0.00817	0.01257	0.00537	0.00525	0.0091	0.0133	0.0	0.0	0.00432	0.00798	0.00955	0.00863	0.01224	0.01552	0.01134	0.01063	0.01379	0.01683	0.01347	0.01244	0.01514	0.01799	0.02183	0.02112	0.02268	0.02505	0.00336	0.0033	0.00731	0.01197
