sample	moss_0.001_1x_1	moss_0.001_2x_1	moss_0.001_4x_1	moss_0.001_8x_1	moss_0.002_1x_1	moss_0.002_2x_1	moss_0.002_4x_1	moss_0.002_8x_1	moss_0.004_1x_1	moss_0.004_2x_1	moss_0.004_4x_1	moss_0.004_8x_1	moss_0.006_1x_1	moss_0.006_2x_1	moss_0.006_4x_1	moss_0.006_8x_1	moss_0.008_1x_1	moss_0.008_2x_1	moss_0.008_4x_1	moss_0.008_8x_1	moss_0.01_1x_1	moss_0.01_2x_1	moss_0.01_4x_1	moss_0.01_8x_1	moss_0.02_1x_1	moss_0.02_2x_1	moss_0.02_4x_1	moss_0.02_8x_1	moss_0.0_1x_1	moss_0.0_2x_1	moss_0.0_4x_1	moss_0.0_8x_1	
moss_0.001_1x_1	0.0	0.0198721	0.021106	0.0133502	0.0254229	0.0228836	0.0240684	0.0166228	0.0274587	0.0249548	0.0260011	0.0187247	0.0294301	0.0268315	0.0280831	0.0208575	0.0313294	0.0287694	0.0300326	0.022801	0.0334625	0.0308137	0.0320766	0.0248879	0.0419662	0.0399332	0.0411028	0.034459	0.0238558	0.0207832	0.0220609	0.0143795	
moss_0.001_2x_1	0.0198721	0.0	0.0149638	0.00839966	0.0227884	0.0182072	0.0181584	0.0117162	0.024655	0.0202274	0.0200069	0.0137459	0.0265557	0.0220702	0.0220495	0.0158981	0.0284582	0.023972	0.0240399	0.0178739	0.030461	0.0259924	0.0260185	0.0198168	0.0391161	0.035372	0.0353011	0.0294425	0.0210314	0.0162122	0.0160131	0.00951343	
moss_0.001_4x_1	0.021106	0.0149638	0.0	0.00807207	0.0239225	0.0180815	0.0169131	0.0113739	0.025799	0.019994	0.0187696	0.0133502	0.0274886	0.0217547	0.0207732	0.0154148	0.0295495	0.0237783	0.022804	0.0174022	0.0314113	0.0257215	0.024695	0.0193567	0.0399755	0.0348513	0.0339282	0.0289392	0.0221699	0.0159777	0.0149065	0.00928612	
moss_0.001_8x_1	0.0133502	0.00839966	0.00807207	0.0	0.0163686	0.0116265	0.0113735	0.00475232	0.0184105	0.0137195	0.0133589	0.00692927	0.0203022	0.0156236	0.0155206	0.00912398	0.0224493	0.0176821	0.0175736	0.0112359	0.0242986	0.0196846	0.0195947	0.0132594	0.0334724	0.0294096	0.0293114	0.0233545	0.0145071	0.00940492	0.00926865	0.00249345	
moss_0.002_1x_1	0.0254229	0.0227884	0.0239225	0.0163686	0.0	0.0197086	0.0208965	0.0132164	0.0283321	0.0258543	0.0268787	0.0195578	0.030217	0.027607	0.0288202	0.0217132	0.0321148	0.0295557	0.0307787	0.0236392	0.0338993	0.0314496	0.0326361	0.0256752	0.0427258	0.040865	0.0421152	0.0354633	0.0246428	0.0216229	0.0229299	0.015235	
moss_0.002_2x_1	0.0228836	0.0182072	0.0180815	0.0116265	0.0197086	0.0	0.0147134	0.00818967	0.0256717	0.0212535	0.0209066	0.0147558	0.0274447	0.0230491	0.0228776	0.0168446	0.0295413	0.0250478	0.0250503	0.0188905	0.0313496	0.026958	0.0268515	0.020834	0.0399267	0.0361197	0.0362238	0.030344	0.0219469	0.0172067	0.0170144	0.0105376	
moss_0.002_4x_1	0.0240684	0.0181584	0.0169131	0.0113735	0.0208965	0.0147134	0.0	0.00788694	0.02675	0.0210138	0.019725	0.0144028	0.0285024	0.0227951	0.0216718	0.0165084	0.030583	0.0246534	0.0236849	0.0184199	0.0325271	0.0266257	0.0255061	0.0202768	0.0410023	0.0357653	0.0348735	0.0297944	0.0231531	0.0170373	0.0159067	0.0103584	
moss_0.002_8x_1	0.0166228	0.0117162	0.0113739	0.00475232	0.0132164	0.00818967	0.00788694	0.0	0.019534	0.0147586	0.0144009	0.00801255	0.0213352	0.0166898	0.0165152	0.0101788	0.0235233	0.0186942	0.0185823	0.0122976	0.0254102	0.0207131	0.0205217	0.0142996	0.034387	0.0303259	0.0302362	0.0243395	0.0156352	0.0105098	0.0103418	0.0036308	
moss_0.004_1x_1	0.0274587	0.024655	0.025799	0.0184105	0.0283321	0.0256717	0.02675	0.019534	0.0	0.0198142	0.0206646	0.0133335	0.032152	0.029498	0.030685	0.0236593	0.0340228	0.0313093	0.0325153	0.0255367	0.0358623	0.0333703	0.0345946	0.0276381	0.0441463	0.0420441	0.0433931	0.0367582	0.0264691	0.0235943	0.02474	0.0173678	
moss_0.004_2x_1	0.0249548	0.0202274	0.019994	0.0137195	0.0258543	0.0212535	0.0210138	0.0147586	0.0198142	0.0	0.0145405	0.0082062	0.0294066	0.024959	0.024813	0.0188236	0.0314879	0.0269315	0.0268633	0.0208032	0.0331784	0.0288661	0.0287296	0.0228174	0.0417374	0.0379115	0.0378369	0.0321927	0.0240241	0.0191855	0.0190401	0.0126647	
