sample	rotifer_0.001_1x_1	rotifer_0.001_2x_1	rotifer_0.001_4x_1	rotifer_0.001_8x_1	rotifer_0.002_1x_1	rotifer_0.002_2x_1	rotifer_0.002_4x_1	rotifer_0.002_8x_1	rotifer_0.004_1x_1	rotifer_0.004_2x_1	rotifer_0.004_4x_1	rotifer_0.004_8x_1	rotifer_0.006_1x_1	rotifer_0.006_2x_1	rotifer_0.006_4x_1	rotifer_0.006_8x_1	rotifer_0.008_1x_1	rotifer_0.008_2x_1	rotifer_0.008_4x_1	rotifer_0.008_8x_1	rotifer_0.01_1x_1	rotifer_0.01_2x_1	rotifer_0.01_4x_1	rotifer_0.01_8x_1	rotifer_0.02_1x_1	rotifer_0.02_2x_1	rotifer_0.02_4x_1	rotifer_0.02_8x_1	rotifer_0.0_1x_1	rotifer_0.0_2x_1	rotifer_0.0_4x_1	rotifer_0.0_8x_1	
rotifer_0.001_1x_1	0.0	0.0194872	0.0199167	0.0139162	0.027469	0.0232327	0.0233354	0.0169667	0.0293308	0.0254051	0.0252282	0.0189327	0.031363	0.0273106	0.0272531	0.0209274	0.0336655	0.0294312	0.029337	0.0229868	0.0352864	0.0310468	0.0312679	0.0247736	0.0451651	0.0407385	0.0407637	0.0345894	0.0255708	0.0213848	0.0213841	0.0149151	
rotifer_0.001_2x_1	0.0194872	0.0	0.0126325	0.00755717	0.0233385	0.0173717	0.0162506	0.010676	0.0250785	0.0193073	0.0180931	0.0125753	0.0271368	0.0212473	0.0201795	0.0146045	0.0293697	0.023257	0.0222585	0.0167448	0.030931	0.0251136	0.0241692	0.01858	0.0411028	0.0352384	0.0339018	0.0286939	0.0213668	0.0153313	0.0142561	0.00862241	
rotifer_0.001_4x_1	0.0199167	0.0126325	0.0	0.00631715	0.0234318	0.0163476	0.014366	0.00945857	0.0253139	0.018322	0.0162527	0.011392	0.0271276	0.020084	0.0183636	0.0134133	0.0293912	0.0220374	0.0202723	0.0154282	0.0310346	0.0240621	0.0222635	0.0173551	0.0412809	0.034124	0.0323153	0.0274522	0.0214435	0.0142774	0.0123991	0.00739309	
rotifer_0.001_8x_1	0.0139162	0.00755717	0.00631715	0.0	0.0168834	0.0107137	0.00943681	0.00390474	0.0188002	0.0127698	0.0113673	0.00587833	0.0207245	0.0146215	0.0134594	0.00790587	0.0229224	0.0166989	0.0154853	0.00999467	0.0246134	0.0186209	0.0174634	0.0119028	0.0348932	0.0288601	0.0274802	0.0221311	0.0149065	0.00862723	0.00741873	0.0018257	
rotifer_0.002_1x_1	0.027469	0.0233385	0.0234318	0.0168834	0.0	0.0194194	0.0199588	0.0139081	0.0305841	0.0262836	0.0263349	0.0199403	0.0324905	0.0281903	0.0285122	0.0219526	0.0342551	0.0302319	0.0301841	0.0238158	0.0364614	0.0322219	0.0322861	0.0258232	0.0459806	0.0420051	0.0421241	0.0357408	0.0265084	0.0222448	0.0224143	0.0159184	
rotifer_0.002_2x_1	0.0232327	0.0173717	0.0163476	0.0107137	0.0194194	0.0	0.0127319	0.00763574	0.0262412	0.0205065	0.0191757	0.0137213	0.028141	0.0223867	0.0213166	0.0157444	0.0302021	0.0244425	0.023311	0.0178431	0.0319979	0.0261963	0.0251428	0.019633	0.0420903	0.0362948	0.0350645	0.029734	0.0224012	0.0164352	0.0154114	0.00973702	
rotifer_0.002_4x_1	0.0233354	0.0162506	0.014366	0.00943681	0.0199588	0.0127319	0.0	0.00629974	0.0262783	0.0193091	0.0172463	0.0124391	0.0281024	0.0210707	0.019298	0.0143995	0.0302586	0.0230822	0.0211796	0.0164052	0.0320442	0.0250785	0.0233072	0.0184164	0.042037	0.0349853	0.0331796	0.0282417	0.0223671	0.0152782	0.0134098	0.00841928	
rotifer_0.002_8x_1	0.0169667	0.010676	0.00945857	0.00390474	0.0139081	0.00763574	0.00629974	0.0	0.0198396	0.0137859	0.0123575	0.00691191	0.0217286	0.0156824	0.0144926	0.00894916	0.0238848	0.0177454	0.0164841	0.0110329	0.0256469	0.0196462	0.0185077	0.0129651	0.0359103	0.0298122	0.0284328	0.023089	0.0159103	0.00968443	0.00845892	0.00286631	
rotifer_0.004_1x_1	0.0293308	0.0250785	0.0253139	0.0188002	0.0305841	0.0262412	0.0262783	0.0198396	0.0	0.0194082	0.0197908	0.0138922	0.03436	0.0300453	0.0301554	0.0237137	0.0365754	0.0322487	0.0323822	0.0259628	0.0380509	0.033888	0.0340063	0.0276362	0.0480391	0.0438526	0.0438583	0.0377225	0.0284602	0.0241676	0.0242362	0.0178192	
rotifer_0.004_2x_1	0.0254051	0.0193073	0.018322	0.0127698	0.0262836	0.0205065	0.0193091	0.0137859	0.0194082	0.0	0.0126764	0.00766604	0.0300052	0.0242874	0.0231842	0.017681	0.0321532	0.0262501	0.0251361	0.0197023	0.0339068	0.028199	0.0270954	0.0216033	0.0441772	0.0384205	0.0372122	0.0317889	0.0243579	0.01836	0.0172992	0.0117237	
