sample	club-moss_0.001_1x_1	club-moss_0.001_2x_1	club-moss_0.001_4x_1	club-moss_0.001_8x_1	club-moss_0.002_1x_1	club-moss_0.002_2x_1	club-moss_0.002_4x_1	club-moss_0.002_8x_1	club-moss_0.004_1x_1	club-moss_0.004_2x_1	club-moss_0.004_4x_1	club-moss_0.004_8x_1	club-moss_0.006_1x_1	club-moss_0.006_2x_1	club-moss_0.006_4x_1	club-moss_0.006_8x_1	club-moss_0.008_1x_1	club-moss_0.008_2x_1	club-moss_0.008_4x_1	club-moss_0.008_8x_1	club-moss_0.01_1x_1	club-moss_0.01_2x_1	club-moss_0.01_4x_1	club-moss_0.01_8x_1	club-moss_0.02_1x_1	club-moss_0.02_2x_1	club-moss_0.02_4x_1	club-moss_0.02_8x_1	club-moss_0.0_1x_1	club-moss_0.0_2x_1	club-moss_0.0_4x_1	club-moss_0.0_8x_1	
club-moss_0.001_1x_1	0.0	0.0175377	0.0191567	0.0120421	0.0234264	0.0206215	0.0221641	0.0148504	0.0252802	0.0226295	0.0240036	0.0168759	0.0271782	0.0245266	0.0259098	0.0188392	0.0288381	0.026462	0.0276654	0.0206593	0.0308575	0.0282233	0.0294558	0.0226111	0.0397098	0.0373475	0.0384511	0.0318427	0.0212877	0.0189448	0.0203061	0.0129003	
club-moss_0.001_2x_1	0.0175377	0.0	0.0136103	0.00749623	0.0207698	0.0164694	0.016807	0.0104646	0.0224632	0.0184617	0.0186638	0.0124565	0.0247032	0.0203903	0.020527	0.0143177	0.0262051	0.0221325	0.0223366	0.0162371	0.0282078	0.024116	0.0241104	0.0180602	0.0370215	0.0330473	0.0332064	0.0272512	0.0188465	0.0147163	0.014998	0.00852129	
club-moss_0.001_4x_1	0.0191567	0.0136103	0.0	0.00754199	0.0223482	0.0167475	0.0161113	0.0105874	0.0238714	0.0186138	0.0179144	0.012527	0.026022	0.0205158	0.019737	0.0143205	0.0275674	0.0222145	0.0215066	0.0161392	0.0294795	0.0241446	0.0233453	0.0180067	0.0380449	0.033028	0.0322102	0.0270733	0.0202184	0.0149874	0.0142829	0.00868195	
club-moss_0.001_8x_1	0.0120421	0.00749623	0.00754199	0.0	0.0149368	0.0104599	0.0105991	0.00409046	0.0166845	0.0123966	0.0125515	0.00616963	0.0188597	0.0144448	0.0145081	0.00814425	0.020429	0.0162319	0.016273	0.010042	0.0225341	0.0182403	0.0182496	0.0120703	0.0315263	0.0274223	0.0275524	0.0214878	0.0128952	0.00854395	0.00865972	0.00201687	
club-moss_0.002_1x_1	0.0234264	0.0207698	0.0223482	0.0149368	0.0	0.0177789	0.0193846	0.0121874	0.0260674	0.0236167	0.0251152	0.017903	0.0281671	0.0255828	0.0269662	0.019853	0.0300231	0.0273589	0.0286642	0.0216809	0.0317637	0.0293319	0.0305441	0.0235564	0.0404809	0.0382805	0.0394358	0.0328414	0.0221943	0.0198142	0.0213986	0.0139189	
club-moss_0.002_2x_1	0.0206215	0.0164694	0.0167475	0.0104599	0.0177789	0.0	0.0134704	0.00747459	0.0233652	0.019324	0.0195278	0.0133642	0.0253401	0.0212459	0.0213379	0.0152659	0.0272078	0.0229329	0.0230897	0.0170754	0.0289803	0.0249267	0.0249855	0.0190073	0.0377418	0.0336345	0.0337565	0.0279315	0.0197724	0.0156301	0.0158487	0.00947558	
club-moss_0.002_4x_1	0.0221641	0.016807	0.0161113	0.0105991	0.0193846	0.0134704	0.0	0.00745092	0.0247334	0.0195459	0.018823	0.0134537	0.0268388	0.021411	0.0206122	0.0152576	0.0283507	0.0230296	0.0224063	0.0170188	0.0303676	0.024978	0.0241828	0.0188989	0.0388768	0.0337303	0.0329086	0.0279114	0.0211401	0.0158848	0.015212	0.00968305	
club-moss_0.002_8x_1	0.0148504	0.0104646	0.0105874	0.00409046	0.0121874	0.00747459	0.00745092	0.0	0.0175926	0.0133502	0.0134912	0.00716763	0.0197572	0.0153619	0.015397	0.00911667	0.0213951	0.0171272	0.0172281	0.0109876	0.0234218	0.019112	0.019142	0.0129796	0.0324504	0.0283292	0.0284808	0.0224012	0.0138002	0.00951923	0.00965235	0.0030575	
club-moss_0.004_1x_1	0.0252802	0.0224632	0.0238714	0.0166845	0.0260674	0.0233652	0.0247334	0.0175926	0.0	0.0179717	0.0192438	0.0123284	0.0296136	0.0271349	0.0284887	0.0214504	0.0312133	0.0288591	0.0302213	0.02334	0.0331796	0.0307133	0.0319046	0.0250944	0.0419644	0.039655	0.040591	0.0340404	0.0241724	0.0214878	0.0229553	0.0156889	
club-moss_0.004_2x_1	0.0226295	0.0184617	0.0186138	0.0123966	0.0236167	0.019324	0.0195459	0.0133502	0.0179717	0.0	0.013365	0.00748911	0.0272716	0.0230258	0.0231758	0.0171393	0.0288751	0.0246485	0.024836	0.0189055	0.030931	0.0266923	0.0267401	0.0208334	0.0394151	0.0353921	0.0353532	0.0296997	0.0216494	0.0176039	0.0177477	0.0114389	
