sample	leech_0.001_1x_1	leech_0.001_2x_1	leech_0.001_4x_1	leech_0.001_8x_1	leech_0.002_1x_1	leech_0.002_2x_1	leech_0.002_4x_1	leech_0.002_8x_1	leech_0.004_1x_1	leech_0.004_2x_1	leech_0.004_4x_1	leech_0.004_8x_1	leech_0.006_1x_1	leech_0.006_2x_1	leech_0.006_4x_1	leech_0.006_8x_1	leech_0.008_1x_1	leech_0.008_2x_1	leech_0.008_4x_1	leech_0.008_8x_1	leech_0.01_1x_1	leech_0.01_2x_1	leech_0.01_4x_1	leech_0.01_8x_1	leech_0.02_1x_1	leech_0.02_2x_1	leech_0.02_4x_1	leech_0.02_8x_1	leech_0.0_1x_1	leech_0.0_2x_1	leech_0.0_4x_1	leech_0.0_8x_1	
leech_0.001_1x_1	0.0	0.0203354	0.0201575	0.0139198	0.028035	0.0233087	0.0230596	0.0168807	0.0299421	0.0253814	0.0251637	0.0189909	0.0318301	0.0272707	0.0270788	0.0208327	0.0338478	0.0294712	0.0291073	0.0228941	0.0360313	0.0314924	0.0311432	0.0249573	0.046162	0.0413291	0.0410363	0.0351254	0.0261007	0.021209	0.0211299	0.0149108	
leech_0.001_2x_1	0.0203354	0.0	0.0129813	0.00753663	0.0232722	0.0173457	0.0158981	0.0104876	0.0255691	0.0191824	0.017943	0.0125707	0.0272902	0.0211619	0.019932	0.0144818	0.0293043	0.0233255	0.0219796	0.0165888	0.0311665	0.0251896	0.0240534	0.0185675	0.0412174	0.0349524	0.0337428	0.0284191	0.0212946	0.0151827	0.0139457	0.00849198	
leech_0.001_4x_1	0.0201575	0.0129813	0.0	0.00612663	0.0231804	0.0160794	0.0139153	0.00910371	0.0252903	0.0179654	0.015921	0.0111999	0.0272438	0.0198823	0.017822	0.0130666	0.029079	0.0220781	0.019888	0.0151485	0.031191	0.0240091	0.0220331	0.0171732	0.041214	0.0339056	0.0318014	0.0272207	0.0212302	0.0139593	0.0119184	0.00710722	
leech_0.001_8x_1	0.0139198	0.00753663	0.00612663	0.0	0.0169002	0.010583	0.00908381	0.00376188	0.0190657	0.0125703	0.0111287	0.00585807	0.0209119	0.0144888	0.0130752	0.00775731	0.0228166	0.0166222	0.0151047	0.00982985	0.0249449	0.0186334	0.0172711	0.0118805	0.0350552	0.0285713	0.0271184	0.0219263	0.0149479	0.00848657	0.00711357	0.00173901	
leech_0.002_1x_1	0.028035	0.0232722	0.0231804	0.0169002	0.0	0.0204316	0.0201388	0.0140025	0.0309321	0.0265101	0.0262695	0.020084	0.0329833	0.0282407	0.0281903	0.0219491	0.0349221	0.0305031	0.0303034	0.024036	0.0368295	0.0324586	0.0323106	0.0259437	0.0471474	0.042165	0.0421561	0.0360258	0.0269708	0.0223091	0.0222628	0.0159593	
leech_0.002_2x_1	0.0233087	0.0173457	0.0160794	0.010583	0.0204316	0.0	0.0130537	0.00765373	0.0265048	0.0203858	0.0191959	0.013711	0.02842	0.0222109	0.0210796	0.0156156	0.0303291	0.0244667	0.0231531	0.0177398	0.0323646	0.0263057	0.0251938	0.0196764	0.0423314	0.0362057	0.034863	0.0296322	0.0225238	0.0162855	0.0151232	0.00961724	
leech_0.002_4x_1	0.0230596	0.0158981	0.0139153	0.00908381	0.0201388	0.0130537	0.0	0.00611992	0.0262465	0.0189848	0.016938	0.0121691	0.0281565	0.0208133	0.0188724	0.0140371	0.0300601	0.0230732	0.0208992	0.0161449	0.0321218	0.0250461	0.022983	0.0181613	0.0421009	0.0348277	0.0327708	0.0281913	0.0222022	0.0149522	0.0129689	0.00811354	
leech_0.002_8x_1	0.0168807	0.0104876	0.00910371	0.00376188	0.0140025	0.00765373	0.00611992	0.0	0.0200801	0.0136081	0.0121825	0.00689458	0.0219441	0.0154595	0.0141102	0.00875275	0.0238417	0.0176438	0.0161749	0.010862	0.0259541	0.0196601	0.0183115	0.0128718	0.0360382	0.0295681	0.028114	0.0229262	0.0159726	0.00950149	0.00812439	0.00277081	
leech_0.004_1x_1	0.0299421	0.0255691	0.0252903	0.0190657	0.0309321	0.0265048	0.0262465	0.0200801	0.0	0.0204034	0.0203368	0.0141254	0.0348107	0.0303612	0.0303045	0.0240716	0.0368181	0.0324516	0.0321881	0.0261024	0.0390439	0.0345248	0.0344757	0.028199	0.048749	0.0442217	0.043908	0.0379354	0.0291265	0.0244393	0.0243604	0.0180913	
leech_0.004_2x_1	0.0253814	0.0191824	0.0179654	0.0125703	0.0265101	0.0203858	0.0189848	0.0136081	0.0204034	0.0	0.0129012	0.00752028	0.030328	0.02417	0.0229965	0.01754	0.032272	0.0263207	0.0249938	0.0196664	0.0342845	0.0283127	0.0270871	0.0215915	0.0442237	0.0380434	0.0366164	0.0315387	0.0243756	0.0182613	0.0170166	0.0115607	
leech_0.004_4x_1	0.0251637	0.017943	0.015921	0.0111287	0.0262695	0.0191959	0.016938	0.0121825	0.0203368	0.0129012	0.0	0.00609768	0.0302309	0.0228896	0.0208743	0.016132	0.0319876	0.0250677	0.0228814	0.0182258	0.0341889	0.0270761	0.0249474	0.0202482	0.0440672	0.0368152	0.0346959	0.0301458	0.0241764	0.0170112	0.0149976	0.0101717	
leech_0.004_8x_1	0.0189909	0.0125707	0.0111999	0.00585807	0.020084	0.013711	0.0121691	0.00689458	0.0141254	0.00752028	0.00609768	0.0	0.0239862	0.0175876	0.016206	0.0108478	0.0259315	0.0197029	0.0182444	0.0129583	0.0280283	0.0217603	0.0203381	0.0149546	0.0380479	0.0316044	0.0300886	0.0249557	0.0180205	0.0116018	0.0101995	0.00486345	
