sample	SRR23814147	SRR23814148	SRR23814152	SRR23814180	SRR23814181	SRR23814184	SRR23814185	SRR23814186	SRR23814187	SRR23814188
SRR23814147	0.0	0.00411	0.00429	0.00412	0.00428	0.00446	0.0042	0.00418	0.00437	0.00433
SRR23814148	0.00451	0.0	0.00383	0.00391	0.00395	0.00408	0.0038	0.00388	0.00394	0.00402
SRR23814152	0.00481	0.00403	0.0	0.00434	0.00448	0.00433	0.00408	0.00414	0.00426	0.00442
SRR23814180	0.00443	0.00382	0.00404	0.0	0.0	0.00402	0.00386	0.00386	0.00402	0.00408
SRR23814181	0.00467	0.00395	0.00427	0.0	0.0	0.00422	0.00402	0.004	0.00423	0.00435
SRR23814184	0.00483	0.00408	0.00413	0.00411	0.00422	0.0	0.00415	0.00411	0.00413	0.00434
SRR23814185	0.00464	0.00385	0.00393	0.00401	0.00407	0.0042	0.0	0.0	0.00392	0.00406
SRR23814186	0.00453	0.00382	0.00388	0.00389	0.00394	0.00405	0.0	0.0	0.0038	0.0039
SRR23814187	0.00482	0.00405	0.00416	0.00421	0.00433	0.00423	0.00397	0.00396	0.0	0.00439
SRR23814188	0.0048	0.00414	0.00434	0.0043	0.00447	0.00447	0.00413	0.00409	0.00442	0.0
