sample	SRR23814147	SRR23814148	SRR23814152	SRR23814180	SRR23814181	SRR23814184	SRR23814185	SRR23814186	SRR23814187	SRR23814188
SRR23814147	0.0	0.004	0.00421	0.00389	0.00378	0.00441	0.00417	0.00376	0.00449	0.00413
SRR23814148	0.0037	0.0	0.0036	0.00332	0.00346	0.00366	0.00333	0.00342	0.00356	0.00355
SRR23814152	0.00367	0.00337	0.0	0.00337	0.00351	0.0036	0.00346	0.00325	0.00367	0.00369
SRR23814180	0.00366	0.00339	0.00368	0.0	0.00051	0.00385	0.00352	0.00331	0.00377	0.00386
SRR23814181	0.00348	0.00346	0.00374	0.00043	0.0	0.00399	0.00325	0.00331	0.0036	0.00403
SRR23814184	0.00389	0.00345	0.00363	0.00357	0.0038	0.0	0.00355	0.00358	0.0036	0.00388
SRR23814185	0.00389	0.00335	0.00372	0.00347	0.00328	0.00377	0.0	0.00053	0.00365	0.0037
SRR23814186	0.0036	0.00356	0.00363	0.00337	0.00346	0.00393	0.00065	0.0	0.00359	0.00377
SRR23814187	0.00387	0.00325	0.00359	0.00338	0.00328	0.00348	0.00331	0.00313	0.0	0.00378
SRR23814188	0.00363	0.00335	0.00372	0.00358	0.00383	0.00388	0.00348	0.00343	0.0039	0.0
