sample	SRR23814166	SRR23814167	SRR23814168	SRR23814169	SRR23814170	SRR23814171	SRR23814172	SRR23814173	SRR23814175	SRR23814176	SRR23814178	SRR23814179
SRR23814166	0.0	0.00321	0.00353	0.0035	0.00371	0.00372	0.00353	0.00342	0.00351	0.00353	0.00331	0.00372
SRR23814167	0.00366	0.0	0.00369	0.00357	0.00393	0.00428	0.00434	0.00374	0.00408	0.00387	0.00376	0.00406
SRR23814168	0.00395	0.00366	0.0	0.00362	0.00402	0.00422	0.00407	0.00386	0.00415	0.00408	0.00374	0.00391
SRR23814169	0.00387	0.00349	0.00356	0.0	0.00398	0.00401	0.00428	0.00409	0.00409	0.00406	0.00389	0.00413
SRR23814170	0.00352	0.00329	0.00341	0.00341	0.0	0.00366	0.00373	0.00354	0.00385	0.00342	0.00332	0.00346
SRR23814171	0.0036	0.0037	0.00367	0.0035	0.00372	0.0	0.00364	0.00348	0.00375	0.00356	0.00356	0.00353
SRR23814172	0.00361	0.00397	0.00373	0.00398	0.00399	0.00384	0.0	0.00337	0.00366	0.00374	0.0036	0.00363
SRR23814173	0.00351	0.00338	0.00354	0.00381	0.00381	0.00369	0.00339	0.0	0.0036	0.00354	0.00341	0.00356
SRR23814175	0.00352	0.00364	0.00374	0.00372	0.00405	0.00389	0.00359	0.00352	0.0	0.00351	0.00329	0.00367
SRR23814176	0.00337	0.00325	0.00349	0.00352	0.00344	0.00352	0.00351	0.00329	0.00334	0.0	0.00338	0.00338
SRR23814178	0.0034	0.00339	0.0034	0.0036	0.00359	0.00377	0.00361	0.00341	0.00337	0.00363	0.0	0.00378
SRR23814179	0.00379	0.00368	0.00356	0.00382	0.00371	0.00372	0.00362	0.00353	0.00372	0.00361	0.00376	0.0
