sample	SRR23814147	SRR23814148	SRR23814152	SRR23814180	SRR23814181	SRR23814184	SRR23814185	SRR23814186	SRR23814187	SRR23814188
SRR23814147	0.0	0.00441	0.00469	0.00439	0.00448	0.00472	0.00444	0.00447	0.00468	0.00456
SRR23814148	0.00481	0.0	0.00456	0.00458	0.00455	0.00462	0.00438	0.00443	0.00456	0.00456
SRR23814152	0.00516	0.00465	0.0	0.00491	0.00497	0.00488	0.00467	0.00475	0.00483	0.00498
SRR23814180	0.00471	0.00451	0.00474	0.0	0.00067	0.0047	0.00443	0.00446	0.00466	0.00467
SRR23814181	0.00487	0.00456	0.00487	0.00076	0.0	0.00482	0.00454	0.00457	0.00476	0.00486
SRR23814184	0.00508	0.0046	0.00477	0.00475	0.00479	0.0	0.0047	0.00471	0.00469	0.0049
SRR23814185	0.00487	0.00441	0.00462	0.00455	0.00458	0.00476	0.0	0.00057	0.0045	0.00456
SRR23814186	0.00483	0.00439	0.00462	0.0045	0.00453	0.00469	0.00049	0.0	0.00446	0.0045
SRR23814187	0.00512	0.00462	0.00479	0.00479	0.00481	0.00477	0.00452	0.00455	0.0	0.00488
SRR23814188	0.005	0.00462	0.00495	0.0048	0.00491	0.00498	0.00459	0.0046	0.00488	0.0
