sample	SRR1607346	SRR1607348	SRR1607350	SRR1607351	SRR1607354	SRR1607356	SRR1607357	SRR1607359	SRR1607361	SRR1607363
SRR1607346	0.0	0.0	0.0	0.00079	None	0.0	0.0	0.0	0.0	0.00035
SRR1607348	0.00078	0.0	0.00052	0.00139	None	0.00077	0.00076	0.0	0.00066	0.00078
SRR1607350	0.00118	0.00095	0.0	0.00178	None	0.00113	0.00118	0.0007	0.00101	0.00113
SRR1607351	0.00035	0.0	0.0	0.0	None	0.0	0.0	0.0	0.0	0.00067
SRR1607354	None	None	None	None	0.0	None	None	None	None	None
SRR1607356	0.00038	0.0	0.0	0.00095	None	0.0	0.0	0.0	0.0	0.00049
SRR1607357	0.0	0.0	0.0	0.0	None	0.0	0.0	0.0	0.0	0.0
SRR1607359	0.00077	0.00052	0.00047	0.00137	None	0.00073	0.00076	0.0	0.00062	0.00076
SRR1607361	0.00083	0.00064	0.00058	0.00144	None	0.00081	0.00082	0.00038	0.0	0.00093
SRR1607363	0.00103	0.0008	0.00079	0.0016	None	0.001	0.00096	0.00056	0.00094	0.0
