sample	SRR23814166	SRR23814167	SRR23814168	SRR23814169	SRR23814170	SRR23814171	SRR23814172	SRR23814173	SRR23814175	SRR23814176	SRR23814178	SRR23814179
SRR23814166	0.0	0.00349	0.00372	0.0036	0.00365	0.00358	0.00342	0.00334	0.00351	0.00356	0.00337	0.0037
SRR23814167	0.00345	0.0	0.00376	0.00358	0.00362	0.0037	0.00365	0.00331	0.0036	0.00358	0.00351	0.00355
SRR23814168	0.00371	0.00378	0.0	0.00376	0.00375	0.00383	0.00363	0.00356	0.00372	0.00392	0.00357	0.00377
SRR23814169	0.00334	0.00336	0.00352	0.0	0.0034	0.00354	0.00352	0.00338	0.00356	0.00362	0.00341	0.00352
SRR23814170	0.00374	0.00375	0.00386	0.00374	0.0	0.0037	0.00361	0.00347	0.00381	0.00374	0.0036	0.00357
SRR23814171	0.00363	0.00378	0.00389	0.00383	0.00365	0.0	0.00362	0.00351	0.00363	0.00356	0.00371	0.00357
SRR23814172	0.00362	0.00388	0.00385	0.00397	0.00372	0.00376	0.0	0.00341	0.00356	0.00383	0.00358	0.00362
SRR23814173	0.00362	0.00364	0.00387	0.00392	0.00366	0.00375	0.0035	0.0	0.00368	0.00366	0.00356	0.00368
SRR23814175	0.00367	0.0038	0.0039	0.00397	0.00389	0.00374	0.00352	0.00356	0.0	0.0036	0.00349	0.00376
SRR23814176	0.00371	0.00377	0.00409	0.00401	0.00381	0.00367	0.00379	0.00353	0.00359	0.0	0.0037	0.00376
SRR23814178	0.00358	0.00376	0.0038	0.00387	0.00372	0.00388	0.0036	0.00349	0.00354	0.00376	0.0	0.00366
SRR23814179	0.00389	0.00378	0.00397	0.00395	0.00366	0.00371	0.00361	0.00357	0.00378	0.00379	0.00363	0.0
