sample	SRR1607346	SRR1607348	SRR1607350	SRR1607351	SRR1607354	SRR1607356	SRR1607357	SRR1607359	SRR1607361	SRR1607363
SRR1607346	0.0	0.00081	0.0007	0.00085	0.00094	0.00106	0.00076	0.00053	0.00066	0.00053
SRR1607348	0.0009	0.0	0.00078	0.00091	0.00116	0.00089	0.00073	0.00065	0.0007	0.00052
SRR1607350	0.00082	0.0008	0.0	0.00077	0.00101	0.00098	0.00066	0.00049	0.00056	0.00052
SRR1607351	0.00126	0.00122	0.00105	0.0	0.00138	0.00128	0.00076	0.00107	0.00104	0.00097
SRR1607354	0.00095	0.00108	0.00091	0.001	0.0	0.00065	0.00099	0.00079	0.00075	0.00073
SRR1607356	0.00108	0.00082	0.00089	0.0009	0.00066	0.0	0.00067	0.00078	0.00059	0.00061
SRR1607357	0.00111	0.001	0.0009	0.00069	0.00133	0.001	0.0	0.00091	0.0008	0.00074
SRR1607359	0.00068	0.0007	0.00053	0.00082	0.00092	0.0009	0.0007	0.0	0.0005	0.00048
SRR1607361	0.00096	0.0009	0.00075	0.00094	0.00103	0.00087	0.00075	0.00065	0.0	0.00068
SRR1607363	0.00105	0.00095	0.00092	0.00108	0.00123	0.0011	0.0009	0.00085	0.0009	0.0
