sample	SRR1607346	SRR1607348	SRR1607350	SRR1607351	SRR1607354	SRR1607356	SRR1607357	SRR1607359	SRR1607361	SRR1607363
SRR1607346	0.0	0.00089	0.0009	0.00071	0.00112	0.00101	0.00048	0.00091	0.0007	0.00061
SRR1607348	0.00056	0.0	0.00059	0.0	0.00085	0.00063	0.0	0.00059	0.0	0.0
SRR1607350	0.00062	0.00064	0.0	0.0	0.00092	0.00078	0.00038	0.00036	0.00035	0.0
SRR1607351	0.00145	0.00136	0.00132	0.0	0.0014	0.0014	0.00062	0.00144	0.001	0.00113
SRR1607354	0.00076	0.00082	0.00084	0.0	0.0	0.0	0.00088	0.00083	0.00048	0.00048
SRR1607356	0.00085	0.00081	0.0009	0.0005	0.00051	0.0	0.0	0.00079	0.00046	0.00058
SRR1607357	0.00096	0.00111	0.00114	0.00035	0.00171	0.00084	0.0	0.00127	0.00082	0.00089
SRR1607359	0.00051	0.00052	0.0	0.0	0.00079	0.00055	0.00039	0.0	0.0	0.0
SRR1607361	0.00059	0.00054	0.00052	0.0	0.00072	0.00051	0.0	0.0	0.0	0.0
SRR1607363	0.00081	0.00079	0.0008	0.0006	0.00103	0.00094	0.00062	0.00068	0.00043	0.0
