sample	SRR23814166	SRR23814167	SRR23814168	SRR23814169	SRR23814170	SRR23814171	SRR23814172	SRR23814173	SRR23814175	SRR23814176	SRR23814178	SRR23814179
SRR23814166	0.0	0.00349	0.00349	0.0034	0.00335	0.00332	0.00328	0.00326	0.00343	0.00317	0.00336	0.00341
SRR23814167	0.00306	0.0	0.00322	0.00314	0.00303	0.00308	0.00312	0.0029	0.00315	0.0028	0.00314	0.00293
SRR23814168	0.0032	0.00336	0.0	0.00322	0.00316	0.00312	0.00301	0.00302	0.00326	0.00316	0.00305	0.00308
SRR23814169	0.003	0.00317	0.00311	0.0	0.00279	0.00293	0.00287	0.00273	0.00307	0.00281	0.00294	0.00281
SRR23814170	0.00371	0.00381	0.0038	0.00356	0.0	0.0035	0.00353	0.00337	0.00364	0.00341	0.00366	0.00332
SRR23814171	0.00371	0.0039	0.0038	0.00372	0.00353	0.0	0.00367	0.00343	0.00364	0.00344	0.00381	0.00341
SRR23814172	0.00338	0.00365	0.00341	0.00339	0.00327	0.00339	0.0	0.00308	0.00328	0.00333	0.00344	0.00325
SRR23814173	0.00355	0.00362	0.0036	0.00344	0.00331	0.00334	0.00327	0.0	0.00341	0.00329	0.00348	0.00335
SRR23814175	0.00355	0.0037	0.00367	0.0036	0.00341	0.00337	0.0033	0.00324	0.0	0.00306	0.00327	0.00332
SRR23814176	0.00367	0.00374	0.00394	0.00371	0.00355	0.00355	0.00373	0.00349	0.00344	0.0	0.00368	0.00351
SRR23814178	0.00353	0.00374	0.00351	0.00352	0.00348	0.0036	0.00351	0.00336	0.00332	0.00335	0.0	0.0034
SRR23814179	0.00356	0.00352	0.00353	0.00338	0.00311	0.00317	0.0033	0.00321	0.00335	0.00316	0.00338	0.0
