sample	SRR1607346	SRR1607348	SRR1607350	SRR1607351	SRR1607354	SRR1607356	SRR1607357	SRR1607359	SRR1607361	SRR1607363
SRR1607346	0.0	0.0	0.0	0.00079	0.0	0.0	0.0	0.0	0.0	0.0
SRR1607348	0.00078	0.0	0.00052	0.00139	0.00073	0.00078	0.00076	0.0	0.00082	0.0005
SRR1607350	0.00118	0.00095	0.0	0.00178	0.0011	0.00113	0.00118	0.00071	0.00114	0.00086
SRR1607351	0.00035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00054	0.0
SRR1607354	0.00065	0.00043	0.00037	0.00127	0.0	0.0	0.00063	0.0	0.00069	0.0
SRR1607356	0.00038	0.0	0.0	0.00095	0.0	0.0	0.0	0.0	0.00044	0.0
SRR1607357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR1607359	0.00078	0.00053	0.00048	0.00138	0.0007	0.00074	0.00078	0.0	0.00078	0.00046
SRR1607361	0.00099	0.00082	0.00076	0.00158	0.00096	0.00097	0.00098	0.00057	0.0	0.0007
SRR1607363	0.00061	0.0004	0.0	0.00122	0.00054	0.00057	0.00057	0.0	0.00067	0.0
