sample	SRR23814166	SRR23814167	SRR23814168	SRR23814169	SRR23814170	SRR23814171	SRR23814172	SRR23814173	SRR23814175	SRR23814176	SRR23814178	SRR23814179
SRR23814166	0.0	0.00394	0.00407	0.00398	0.00385	0.00391	0.00379	0.0038	0.00391	0.00369	0.00381	0.00396
SRR23814167	0.00352	0.0	0.00373	0.00371	0.0035	0.00357	0.0036	0.00346	0.00363	0.00331	0.0035	0.00347
SRR23814168	0.00379	0.00387	0.0	0.0039	0.00368	0.00374	0.0036	0.00366	0.00384	0.0037	0.00357	0.00367
SRR23814169	0.00354	0.0037	0.00375	0.0	0.00335	0.00353	0.00342	0.00337	0.00364	0.00335	0.0034	0.00345
SRR23814170	0.00419	0.00425	0.0043	0.00413	0.0	0.00404	0.00401	0.00397	0.00412	0.00389	0.00409	0.00381
SRR23814171	0.00426	0.00435	0.00437	0.00431	0.00405	0.0	0.00421	0.00407	0.00418	0.00397	0.00426	0.004
SRR23814172	0.0039	0.00413	0.00399	0.00397	0.00379	0.00397	0.0	0.00368	0.00383	0.00384	0.00389	0.00382
SRR23814173	0.00409	0.00417	0.00423	0.0041	0.00393	0.00401	0.00386	0.0	0.00407	0.00388	0.00403	0.00398
SRR23814175	0.00404	0.00418	0.00424	0.00419	0.00391	0.00396	0.00384	0.00391	0.0	0.00366	0.00378	0.00387
SRR23814176	0.00415	0.0042	0.00444	0.00426	0.00402	0.00408	0.00419	0.00405	0.00399	0.0	0.00413	0.00403
SRR23814178	0.00398	0.0041	0.00403	0.00402	0.00393	0.00408	0.00396	0.00392	0.00383	0.00384	0.0	0.0039
SRR23814179	0.00411	0.00404	0.0041	0.00404	0.00362	0.0038	0.00386	0.00384	0.0039	0.00372	0.00387	0.0
