sample	SRR23814166	SRR23814167	SRR23814168	SRR23814169	SRR23814170	SRR23814171	SRR23814172	SRR23814173	SRR23814175	SRR23814176	SRR23814178	SRR23814179
SRR23814166	0.0	0.00466	0.00473	0.00466	0.00458	0.0046	0.0044	0.00442	0.00451	0.00446	0.00445	0.00456
SRR23814167	0.00429	0.0	0.00443	0.00435	0.00428	0.00427	0.00428	0.0041	0.00424	0.00415	0.00419	0.00413
SRR23814168	0.00448	0.00454	0.0	0.00457	0.00435	0.00443	0.00421	0.00423	0.00446	0.00443	0.0042	0.00425
SRR23814169	0.0042	0.00426	0.00436	0.0	0.00408	0.00418	0.00412	0.00398	0.00427	0.00411	0.00401	0.00407
SRR23814170	0.00486	0.00492	0.00488	0.00482	0.0	0.00473	0.0047	0.00454	0.00474	0.00464	0.00471	0.00446
SRR23814171	0.00486	0.0049	0.00494	0.00489	0.00471	0.0	0.00475	0.00457	0.0047	0.0046	0.00482	0.00455
SRR23814172	0.00453	0.00477	0.00459	0.00471	0.00455	0.00461	0.0	0.00424	0.00442	0.00458	0.00445	0.00442
SRR23814173	0.0047	0.00476	0.00476	0.00473	0.00455	0.00459	0.0044	0.0	0.0046	0.0045	0.00456	0.00453
SRR23814175	0.00465	0.00474	0.00484	0.00486	0.0046	0.00458	0.00443	0.00445	0.0	0.00444	0.0044	0.00446
SRR23814176	0.00483	0.00489	0.00505	0.00494	0.00473	0.00472	0.00483	0.00459	0.00467	0.0	0.00475	0.00468
SRR23814178	0.00463	0.00473	0.00463	0.00465	0.00461	0.00474	0.0045	0.00445	0.00444	0.00456	0.0	0.00446
SRR23814179	0.00471	0.00465	0.00465	0.00468	0.00433	0.00444	0.00445	0.00439	0.00448	0.00446	0.00443	0.0
