sample	oyster_0.001_1x_1	oyster_0.001_2x_1	oyster_0.001_4x_1	oyster_0.001_8x_1	oyster_0.002_1x_1	oyster_0.002_2x_1	oyster_0.002_4x_1	oyster_0.002_8x_1	oyster_0.004_1x_1	oyster_0.004_2x_1	oyster_0.004_4x_1	oyster_0.004_8x_1	oyster_0.006_1x_1	oyster_0.006_2x_1	oyster_0.006_4x_1	oyster_0.006_8x_1	oyster_0.008_1x_1	oyster_0.008_2x_1	oyster_0.008_4x_1	oyster_0.008_8x_1	oyster_0.01_1x_1	oyster_0.01_2x_1	oyster_0.01_4x_1	oyster_0.01_8x_1	oyster_0.02_1x_1	oyster_0.02_2x_1	oyster_0.02_4x_1	oyster_0.02_8x_1	oyster_0.0_1x_1	oyster_0.0_2x_1	oyster_0.0_4x_1	oyster_0.0_8x_1	
oyster_0.001_1x_1	0.0	0.00739368	0.0137809	0.0128239	0.025812	0.0226325	0.0234487	0.0163989	0.0277231	0.0246143	0.0253249	0.0184546	0.0295981	0.0264272	0.0272069	0.0204401	0.0315579	0.0284181	0.0292544	0.022434	0.0333396	0.0303323	0.0310501	0.024499	0.0425912	0.039423	0.040062	0.0336171	0.0238581	0.0206308	0.0213104	0.014313	
oyster_0.001_2x_1	0.00739368	0.0	0.00536585	0.00722802	0.0225363	0.0174785	0.0170084	0.010944	0.0244635	0.0193537	0.0189116	0.0129254	0.0262801	0.0212315	0.0207892	0.0148614	0.0283614	0.0232821	0.0228754	0.0169884	0.0301989	0.0251436	0.0247269	0.0189485	0.0392691	0.0343229	0.0338754	0.0282961	0.0207431	0.0155526	0.0148705	0.0088725	
oyster_0.001_4x_1	0.0137809	0.00536585	0.0	0.00651289	0.0231796	0.0169002	0.0155206	0.0101924	0.0250486	0.0188284	0.0174779	0.0121468	0.0270174	0.0206879	0.019298	0.0141006	0.0290266	0.0226951	0.0214317	0.0162221	0.030817	0.0245185	0.0231539	0.0181012	0.0398812	0.0337665	0.0322697	0.0274596	0.0213931	0.0149325	0.0134357	0.00813711	
oyster_0.001_8x_1	0.0128239	0.00722802	0.00651289	0.0	0.0161997	0.0108486	0.0102475	0.00408748	0.0181631	0.0128426	0.0122469	0.00614301	0.0201001	0.014752	0.0141694	0.00818002	0.022167	0.0168452	0.0163262	0.0103198	0.024055	0.0187738	0.0181694	0.0123411	0.0334268	0.0283399	0.02769	0.022006	0.0142889	0.00882617	0.00807392	0.00195907	
oyster_0.002_1x_1	0.025812	0.0225363	0.0231796	0.0161997	0.0	0.00733052	0.013641	0.0127429	0.0285674	0.0253401	0.0261506	0.019298	0.0305722	0.0272985	0.0280514	0.0212548	0.0324139	0.0291914	0.0300559	0.0232213	0.0341367	0.0310258	0.0317546	0.0251821	0.0434963	0.0403499	0.0411147	0.0346647	0.0249391	0.0214767	0.0221447	0.0151841	
oyster_0.002_2x_1	0.0226325	0.0174785	0.0169002	0.0108486	0.00733052	0.0	0.00536104	0.00721202	0.0254	0.0203368	0.0199052	0.0138958	0.0271441	0.0221958	0.0217779	0.0158624	0.029383	0.0242626	0.0238424	0.0179419	0.0310413	0.0260552	0.0255956	0.019888	0.0403813	0.0354579	0.0349024	0.0293666	0.0216313	0.0164199	0.0158802	0.00985323	
oyster_0.002_4x_1	0.0234487	0.0170084	0.0155206	0.0102475	0.013641	0.00536104	0.0	0.00651317	0.0261375	0.0198473	0.018503	0.0132708	0.0280129	0.0216873	0.0203185	0.0151705	0.0301671	0.023744	0.0224311	0.0172502	0.0317774	0.0255256	0.0241509	0.0191426	0.0408988	0.0348748	0.0334637	0.0286187	0.0224187	0.0159721	0.0144963	0.00924583	
oyster_0.002_8x_1	0.0163989	0.010944	0.0101924	0.00408748	0.0127429	0.00721202	0.00651317	0.0	0.0192057	0.0139194	0.0133004	0.0072318	0.0210714	0.0157873	0.0151841	0.0092264	0.0232555	0.0178819	0.0173075	0.0113847	0.0250361	0.019792	0.0191499	0.0133672	0.0345093	0.0293288	0.028675	0.0230664	0.0153274	0.00989906	0.00912764	0.00303749	
oyster_0.004_1x_1	0.0277231	0.0244635	0.0250486	0.0181631	0.0285674	0.0254	0.0261375	0.0192057	0.0	0.00740016	0.0137361	0.0127914	0.0322405	0.0290427	0.0298195	0.0231819	0.0342207	0.0310789	0.0318129	0.0251319	0.0359542	0.0328102	0.0335564	0.0270614	0.0451651	0.042037	0.0427076	0.0363996	0.0267094	0.0233927	0.0239839	0.0170934	
oyster_0.004_2x_1	0.0246143	0.0193537	0.0188284	0.0128426	0.0253401	0.0203368	0.0198473	0.0139194	0.00740016	0.0	0.00533979	0.00715258	0.0291782	0.0240589	0.0236423	0.0178255	0.0311588	0.0261691	0.0257001	0.0198899	0.0328222	0.0279095	0.0274307	0.0217048	0.04219	0.0371731	0.0367227	0.0312066	0.0235556	0.0183091	0.0177556	0.0118614	
oyster_0.004_4x_1	0.0253249	0.0189116	0.0174779	0.0122469	0.0261506	0.0199052	0.018503	0.0133004	0.0137361	0.00533979	0.0	0.00636978	0.0298812	0.0236012	0.0222296	0.0171639	0.0319507	0.0256863	0.0244046	0.0192106	0.0336059	0.0273384	0.025948	0.0210246	0.042713	0.0366221	0.0351334	0.0303537	0.0243242	0.0179161	0.0164126	0.0112623	
oyster_0.004_8x_1	0.0184546	0.0129254	0.0121468	0.00614301	0.019298	0.0138958	0.0132708	0.0072318	0.0127914	0.00715258	0.00636978	0.0	0.023095	0.017767	0.0171327	0.0112233	0.0251353	0.0198454	0.0192512	0.0133589	0.0269325	0.0216655	0.0210395	0.0152964	0.0363199	0.0310369	0.0304514	0.0248879	0.0173479	0.0118897	0.0110983	0.00511396	
oyster_0.006_1x_1	0.0295981	0.0262801	0.0270174	0.0201001	0.0305722	0.0271441	0.0280129	0.0210714	0.0322405	0.0291782	0.0298812	0.023095	0.0	0.00752355	0.0138088	0.0128188	0.0362127	0.0330437	0.0338328	0.0270935	0.03777	0.0346335	0.0353519	0.0288811	0.0466456	0.0436947	0.0444298	0.0381201	0.0285034	0.0251403	0.0258872	0.0190431	
oyster_0.006_2x_1	0.0264272	0.0212315	0.0206879	0.014752	0.0272985	0.0221958	0.0216873	0.0157873	0.0290427	0.0240589	0.0236012	0.017767	0.00752355	0.0	0.00532235	0.00707265	0.0329664	0.0279401	0.0274372	0.0217406	0.0346868	0.0296063	0.0290972	0.0235256	0.0436643	0.0387248	0.0382395	0.0328606	0.0254695	0.0202586	0.0196261	0.0137558	
oyster_0.006_4x_1	0.0272069	0.0207892	0.019298	0.0141694	0.0280514	0.0217779	0.0203185	0.0151841	0.0298195	0.0236423	0.0222296	0.0171327	0.0138088	0.00532235	0.0	0.0062463	0.0336394	0.0274223	0.026077	0.0210158	0.0353078	0.0289713	0.0276211	0.0228315	0.0443129	0.0383078	0.0368138	0.0321056	0.0262615	0.0198244	0.0182858	0.013171	
oyster_0.006_8x_1	0.0204401	0.0148614	0.0141006	0.00818002	0.0212548	0.0158624	0.0151705	0.0092264	0.0231819	0.0178255	0.0171639	0.0112233	0.0128188	0.00707265	0.0062463	0.0	0.0271064	0.0217568	0.0210986	0.0153111	0.0288971	0.0235356	0.0228762	0.0172073	0.0381488	0.0328918	0.0321962	0.0267726	0.0193995	0.0138597	0.0130417	0.00714997	
oyster_0.008_1x_1	0.0315579	0.0283614	0.0290266	0.022167	0.0324139	0.029383	0.0301671	0.0232555	0.0342207	0.0311588	0.0319507	0.0251353	0.0362127	0.0329664	0.0336394	0.0271064	0.0	0.0074391	0.0138047	0.0129254	0.0398649	0.0365726	0.0374293	0.0309839	0.048599	0.0457059	0.0460014	0.0398909	0.0304288	0.0273208	0.0279679	0.0211414	
oyster_0.008_2x_1	0.0284181	0.0232821	0.0226951	0.0168452	0.0291914	0.0242626	0.023744	0.0178819	0.0310789	0.0261691	0.0256863	0.0198454	0.0330437	0.0279401	0.0274223	0.0217568	0.0074391	0.0	0.00533018	0.00715316	0.0366759	0.0316203	0.0311576	0.025605	0.0455318	0.0406579	0.0400816	0.034718	0.0274755	0.0223156	0.021676	0.0158573	
oyster_0.008_4x_1	0.0292544	0.0228754	0.0214317	0.0163262	0.0300559	0.0238424	0.0224311	0.0173075	0.0318129	0.0257001	0.0244046	0.0192512	0.0338328	0.0274372	0.026077	0.0210986	0.0138047	0.00533018	0.0	0.00624089	0.0374909	0.0311988	0.029761	0.0248978	0.0462374	0.0401849	0.0386352	0.0340582	0.0283331	0.0219299	0.0204041	0.0153471	
oyster_0.008_8x_1	0.022434	0.0169884	0.0162221	0.0103198	0.0232213	0.0179419	0.0172502	0.0113847	0.0251319	0.0198899	0.0192106	0.0133589	0.0270935	0.0217406	0.0210158	0.0153111	0.0129254	0.00715316	0.00624089	0.0	0.0309894	0.0255717	0.0249036	0.0193104	0.0399608	0.034795	0.0341317	0.028682	0.0215114	0.0159798	0.0151514	0.00930798	
