sample	club-moss_0.001_1x_1	club-moss_0.001_2x_1	club-moss_0.001_4x_1	club-moss_0.001_8x_1	club-moss_0.002_1x_1	club-moss_0.002_2x_1	club-moss_0.002_4x_1	club-moss_0.002_8x_1	club-moss_0.004_1x_1	club-moss_0.004_2x_1	club-moss_0.004_4x_1	club-moss_0.004_8x_1	club-moss_0.006_1x_1	club-moss_0.006_2x_1	club-moss_0.006_4x_1	club-moss_0.006_8x_1	club-moss_0.008_1x_1	club-moss_0.008_2x_1	club-moss_0.008_4x_1	club-moss_0.008_8x_1	club-moss_0.01_1x_1	club-moss_0.01_2x_1	club-moss_0.01_4x_1	club-moss_0.01_8x_1	club-moss_0.02_1x_1	club-moss_0.02_2x_1	club-moss_0.02_4x_1	club-moss_0.02_8x_1	club-moss_0.0_1x_1	club-moss_0.0_2x_1	club-moss_0.0_4x_1	club-moss_0.0_8x_1	
club-moss_0.001_1x_1	0.0	0.0175042	0.019234	0.0120199	0.0233966	0.0207052	0.0222729	0.0149281	0.0251152	0.0226597	0.0241366	0.0167979	0.0270587	0.0245152	0.0259924	0.0188002	0.0289462	0.0263314	0.0277705	0.0207765	0.0305776	0.0280745	0.0294579	0.0224858	0.0396534	0.0373986	0.0383732	0.0318897	0.0214407	0.0187414	0.0203107	0.0128778	
club-moss_0.001_2x_1	0.0175042	0.0	0.0136557	0.0074521	0.0207919	0.0164857	0.0168834	0.0104464	0.0225107	0.0184052	0.0187073	0.0123165	0.0244804	0.0202281	0.0206122	0.0143001	0.0261946	0.021959	0.0222932	0.0162298	0.0278923	0.0238934	0.023976	0.0179768	0.0372093	0.032887	0.0330691	0.0272115	0.0189074	0.0146527	0.0149291	0.00846972	
club-moss_0.001_4x_1	0.019234	0.0136557	0.0	0.00762586	0.0222802	0.0168194	0.0162366	0.0106576	0.0240755	0.0187151	0.01804	0.0125095	0.0259419	0.0204631	0.0198733	0.0144621	0.0277127	0.0222087	0.0216334	0.0163413	0.0293278	0.0240146	0.0232395	0.0180251	0.0384312	0.0329676	0.0322604	0.0271239	0.0204395	0.0150401	0.0143144	0.00875858	
club-moss_0.001_8x_1	0.0120199	0.0074521	0.00762586	0.0	0.0148465	0.0104254	0.0107089	0.00411456	0.0166952	0.0124148	0.0126061	0.00604744	0.0187241	0.0142603	0.014548	0.00811881	0.0205804	0.0162153	0.0164625	0.0101828	0.0222715	0.0181295	0.018159	0.0120211	0.0316498	0.0274475	0.0275524	0.0215838	0.0129681	0.00850471	0.00864266	0.00200625	
club-moss_0.002_1x_1	0.0233966	0.0207919	0.0222802	0.0148465	0.0	0.0176929	0.0193524	0.012163	0.0262316	0.023561	0.0250835	0.0177863	0.0279191	0.0253569	0.0269452	0.0197401	0.0298896	0.0271801	0.0286929	0.021702	0.0316362	0.0292228	0.0304342	0.023595	0.0406479	0.0380284	0.039277	0.0327504	0.022496	0.0198346	0.0213083	0.0138579	
club-moss_0.002_2x_1	0.0207052	0.0164857	0.0168194	0.0104254	0.0176929	0.0	0.0135996	0.00743526	0.0234134	0.0193079	0.0195816	0.0132668	0.0253992	0.0210931	0.0214532	0.015212	0.0270559	0.0229239	0.0232054	0.0171475	0.0288002	0.0247252	0.0248401	0.0189442	0.0379879	0.0338027	0.0339849	0.0280629	0.0197965	0.0155276	0.0158482	0.00943783	
club-moss_0.002_4x_1	0.0222729	0.0168834	0.0162366	0.0107089	0.0193524	0.0135996	0.0	0.00754824	0.0249946	0.0196613	0.01898	0.0134894	0.0268951	0.0214324	0.0208193	0.0154034	0.0286117	0.0231456	0.022507	0.0172954	0.0303152	0.0249375	0.0240961	0.0190042	0.0394756	0.0338855	0.0330473	0.0280745	0.0215059	0.01599	0.0152752	0.00978701	
club-moss_0.002_8x_1	0.0149281	0.0104464	0.0106576	0.00411456	0.012163	0.00743526	0.00754824	0.0	0.0176494	0.013401	0.0135234	0.00706863	0.019725	0.0152429	0.0155221	0.00912797	0.02151	0.0171409	0.0173407	0.0111496	0.0232699	0.0190438	0.0190949	0.0129856	0.0326849	0.0283692	0.0283604	0.0224741	0.0140147	0.00953769	0.00964304	0.00307987	
club-moss_0.004_1x_1	0.0251152	0.0225107	0.0240755	0.0166952	0.0262316	0.0234134	0.0249946	0.0176494	0.0	0.0180804	0.0194934	0.0123744	0.0299389	0.0271939	0.0286513	0.0214996	0.0316452	0.0289823	0.0303398	0.0235225	0.0332076	0.0308432	0.0320476	0.0253181	0.0420921	0.0397404	0.0409005	0.034459	0.0242426	0.0215908	0.0230559	0.0156864	
club-moss_0.004_2x_1	0.0226597	0.0184052	0.0187151	0.0124148	0.023561	0.0193079	0.0196613	0.013401	0.0180804	0.0	0.0135199	0.00750959	0.0272152	0.0229508	0.0232912	0.017159	0.0289683	0.024704	0.0250195	0.0190705	0.0307754	0.0265728	0.026677	0.0208407	0.0397743	0.0355078	0.0356633	0.0299085	0.0217941	0.0175237	0.0177386	0.011435	
