sample	SRR23814166	SRR23814167	SRR23814168	SRR23814169	SRR23814170	SRR23814171	SRR23814172	SRR23814173	SRR23814175	SRR23814176	SRR23814178	SRR23814179
SRR23814166	0.0	0.00377	0.00405	0.00407	0.00372	0.00382	0.0037	0.00358	0.00365	0.00355	0.0035	0.00389
SRR23814167	0.00377	0.0	0.00412	0.00404	0.00383	0.00427	0.00441	0.00379	0.00411	0.00378	0.00383	0.00413
SRR23814168	0.00405	0.00411	0.0	0.00409	0.00392	0.00421	0.00414	0.00392	0.00418	0.00398	0.00381	0.00398
SRR23814169	0.00407	0.00404	0.00409	0.0	0.00398	0.0041	0.00444	0.00424	0.00421	0.00407	0.00406	0.00429
SRR23814170	0.00372	0.00384	0.00393	0.00398	0.0	0.00376	0.00389	0.00368	0.00398	0.00343	0.00349	0.00362
SRR23814171	0.00383	0.00428	0.00422	0.00411	0.00376	0.0	0.00384	0.00366	0.00392	0.0036	0.00376	0.00373
SRR23814172	0.0037	0.00441	0.00414	0.00444	0.00389	0.00384	0.0	0.00342	0.00369	0.00365	0.00367	0.00369
SRR23814173	0.00358	0.00379	0.00392	0.00424	0.00368	0.00366	0.00342	0.0	0.0036	0.00342	0.00345	0.00358
SRR23814175	0.00366	0.00412	0.00418	0.00422	0.00398	0.00391	0.00369	0.0036	0.0	0.00346	0.0034	0.00376
SRR23814176	0.00356	0.00379	0.00399	0.00407	0.00343	0.0036	0.00366	0.00343	0.00346	0.0	0.00354	0.00353
SRR23814178	0.0035	0.00383	0.00381	0.00406	0.00349	0.00376	0.00367	0.00345	0.0034	0.00354	0.0	0.00383
SRR23814179	0.00389	0.00413	0.00398	0.00429	0.00362	0.00372	0.00369	0.00358	0.00376	0.00353	0.00383	0.0
