sample	SRR23814166	SRR23814167	SRR23814168	SRR23814169	SRR23814170	SRR23814171	SRR23814172	SRR23814173	SRR23814175	SRR23814176	SRR23814178	SRR23814179
SRR23814166	0.0	0.00385	0.0039	0.00386	0.00369	0.00369	0.00354	0.00355	0.00366	0.00355	0.0036	0.0037
SRR23814167	0.00385	0.0	0.00404	0.00398	0.00382	0.0038	0.00384	0.00368	0.00382	0.00367	0.00377	0.00372
SRR23814168	0.0039	0.00403	0.0	0.00406	0.00377	0.00382	0.00366	0.00367	0.00389	0.00381	0.00366	0.0037
SRR23814169	0.00386	0.00399	0.00406	0.0	0.00373	0.00381	0.00379	0.00367	0.00394	0.00374	0.0037	0.00375
SRR23814170	0.00369	0.00383	0.00377	0.00373	0.0	0.00355	0.00355	0.0034	0.0036	0.00344	0.00357	0.00333
SRR23814171	0.0037	0.00381	0.00383	0.00381	0.00354	0.0	0.00359	0.00343	0.00357	0.00342	0.00368	0.00342
SRR23814172	0.00354	0.00384	0.00366	0.00379	0.00354	0.00359	0.0	0.00327	0.00346	0.00354	0.00348	0.00345
SRR23814173	0.00355	0.00368	0.00368	0.00367	0.00339	0.00343	0.00327	0.0	0.00347	0.00333	0.00344	0.0034
SRR23814175	0.00366	0.00382	0.0039	0.00394	0.0036	0.00357	0.00346	0.00348	0.0	0.00342	0.00345	0.0035
SRR23814176	0.00355	0.00368	0.00382	0.00374	0.00345	0.00342	0.00355	0.00333	0.00342	0.0	0.00349	0.00342
SRR23814178	0.0036	0.00377	0.00367	0.0037	0.00357	0.00368	0.00348	0.00344	0.00345	0.00349	0.0	0.00345
SRR23814179	0.00369	0.00372	0.0037	0.00375	0.00332	0.00341	0.00345	0.0034	0.00349	0.00342	0.00345	0.0
