sample	SRR1607296	SRR1607299	SRR1607302	SRR1607306	SRR1607310	SRR1607312	SRR1607316	SRR1607318	SRR1607320	SRR1607323
SRR1607296	0.0	0.00109	0.00091	0.0011	0.00107	0.00098	0.00093	0.00135	0.00092	0.00098
SRR1607299	0.00109	0.0	0.00115	0.00091	0.00111	0.00123	0.00118	0.0017	0.00103	0.00126
SRR1607302	0.00091	0.00115	0.0	0.00097	0.00111	0.00102	0.00094	0.00134	0.00101	0.00101
SRR1607306	0.0011	0.00091	0.00097	0.0	0.00123	0.00116	0.001	0.00159	0.00092	0.00112
SRR1607310	0.00106	0.00111	0.00111	0.00123	0.0	0.0012	0.0011	0.00153	0.00087	0.00124
SRR1607312	0.00098	0.00123	0.00102	0.00116	0.0012	0.0	0.00114	0.00147	0.00116	0.00125
SRR1607316	0.00093	0.00118	0.00094	0.001	0.0011	0.00114	0.0	0.00148	0.00043	0.00111
SRR1607318	0.00135	0.0017	0.00134	0.00159	0.00153	0.00147	0.00148	0.0	0.00155	0.0015
SRR1607320	0.00092	0.00103	0.00101	0.00092	0.00087	0.00116	0.00043	0.00155	0.0	0.0012
SRR1607323	0.00098	0.00126	0.00101	0.00112	0.00124	0.00125	0.00111	0.0015	0.0012	0.0
