sample	SRR27281412	SRR27281424	SRR27281435	SRR27281446	SRR27281455	SRR27281466	SRR27281477	SRR27281489	SRR27281516	SRR27281517
SRR27281412	0.0	0.0038	0.00323	0.00356	0.00381	0.0037	0.00376	0.00289	0.00322	0.0037
SRR27281424	0.0038	0.0	0.0038	0.00308	0.00554	0.00295	0.00313	0.00413	0.00327	0.00301
SRR27281435	0.00323	0.0038	0.0	0.00345	0.00414	0.00381	0.00393	0.00311	0.00324	0.00387
SRR27281446	0.00356	0.00308	0.00345	0.0	0.00527	0.00316	0.00293	0.00375	0.003	0.00322
SRR27281455	0.00381	0.00554	0.00414	0.00527	0.0	0.00586	0.00582	0.00323	0.00465	0.0057
SRR27281466	0.0037	0.00295	0.00381	0.00316	0.00586	0.0	0.00309	0.00406	0.0032	0.00299
SRR27281477	0.00376	0.00313	0.00393	0.00293	0.00582	0.00309	0.0	0.00435	0.00318	0.00313
SRR27281489	0.00289	0.00413	0.00311	0.00375	0.00323	0.00406	0.00435	0.0	0.0033	0.00417
SRR27281516	0.00322	0.00327	0.00324	0.003	0.00465	0.0032	0.00318	0.0033	0.0	0.00307
SRR27281517	0.0037	0.00301	0.00387	0.00322	0.0057	0.00299	0.00313	0.00417	0.00307	0.0
