sample	SRR27281412	SRR27281424	SRR27281435	SRR27281446	SRR27281455	SRR27281466	SRR27281477	SRR27281489	SRR27281516	SRR27281517
SRR27281412	0.0	0.00384	0.00332	0.00364	0.00392	0.00377	0.00384	0.00312	0.00327	0.00384
SRR27281424	0.00384	0.0	0.00414	0.00326	0.00537	0.00332	0.00327	0.00409	0.00339	0.00346
SRR27281435	0.00332	0.00414	0.0	0.00385	0.00418	0.00407	0.00411	0.00332	0.0035	0.00399
SRR27281446	0.00364	0.00326	0.00385	0.0	0.00516	0.0034	0.00323	0.00381	0.00323	0.00336
SRR27281455	0.00392	0.00537	0.00418	0.00516	0.0	0.00562	0.00554	0.0033	0.00471	0.00553
SRR27281466	0.00377	0.00332	0.00407	0.0034	0.00562	0.0	0.00326	0.00408	0.00342	0.00344
SRR27281477	0.00384	0.00327	0.00411	0.00323	0.00554	0.00326	0.0	0.00424	0.0033	0.00334
SRR27281489	0.00312	0.00409	0.00332	0.00381	0.0033	0.00408	0.00424	0.0	0.00341	0.0041
SRR27281516	0.00327	0.00339	0.0035	0.00323	0.00471	0.00342	0.0033	0.00341	0.0	0.00342
SRR27281517	0.00384	0.00346	0.00399	0.00336	0.00553	0.00344	0.00334	0.0041	0.00342	0.0
