sample	SRR23814166	SRR23814167	SRR23814168	SRR23814169	SRR23814170	SRR23814171	SRR23814172	SRR23814173	SRR23814175	SRR23814176	SRR23814178	SRR23814179
SRR23814166	0.0	0.01797	0.01785	0.0182	0.01881	0.01849	0.01787	0.01821	0.01885	0.01849	0.01873	0.01808
SRR23814167	0.01797	0.0	0.01779	0.01809	0.0187	0.01845	0.0179	0.01808	0.01877	0.01835	0.01871	0.01785
SRR23814168	0.01785	0.01779	0.0	0.01798	0.01859	0.01826	0.01758	0.01795	0.01865	0.01843	0.01841	0.01774
SRR23814169	0.0182	0.01809	0.01798	0.0	0.01878	0.0186	0.01799	0.01822	0.01898	0.01863	0.01881	0.01803
SRR23814170	0.01881	0.0187	0.01859	0.01878	0.0	0.01909	0.01854	0.01876	0.01947	0.01915	0.01943	0.01846
SRR23814171	0.01849	0.01845	0.01826	0.0186	0.01909	0.0	0.01834	0.01849	0.01915	0.01885	0.01924	0.01821
SRR23814172	0.01787	0.0179	0.01758	0.01799	0.01854	0.01834	0.0	0.01784	0.01852	0.01843	0.0186	0.01773
SRR23814173	0.01821	0.01808	0.01795	0.01822	0.01876	0.01849	0.01784	0.0	0.01882	0.01858	0.01882	0.01802
SRR23814175	0.01885	0.01877	0.01865	0.01898	0.01947	0.01915	0.01852	0.01882	0.0	0.01901	0.01926	0.01863
SRR23814176	0.01849	0.01835	0.01843	0.01863	0.01915	0.01885	0.01843	0.01858	0.01901	0.0	0.01916	0.01834
SRR23814178	0.01873	0.01871	0.01841	0.01881	0.01943	0.01924	0.0186	0.01882	0.01926	0.01916	0.0	0.0186
SRR23814179	0.01808	0.01785	0.01774	0.01803	0.01846	0.01821	0.01773	0.01802	0.01863	0.01834	0.0186	0.0
