sample	SRR27281412	SRR27281424	SRR27281435	SRR27281446	SRR27281455	SRR27281466	SRR27281477	SRR27281489	SRR27281516	SRR27281517
SRR27281412	0.0	0.01042	0.00321	0.01027	0.00206	0.00974	0.0107	0.00347	0.00986	0.01009
SRR27281424	0.01042	0.0	0.00314	0.00947	0.0024	0.00877	0.00964	0.00351	0.00923	0.00921
SRR27281435	0.00321	0.00314	0.0	0.00305	0	0.00223	0.00348	0	0.00218	0.00269
SRR27281446	0.01027	0.00947	0.00305	0.0	0.00218	0.00883	0.00971	0.00337	0.00911	0.00912
SRR27281455	0.00206	0.0024	0	0.00218	0.0	0.00152	0.00272	0	0.00121	0.00188
SRR27281466	0.00974	0.00877	0.00223	0.00883	0.00152	0.0	0.00902	0.00273	0.00859	0.00854
SRR27281477	0.0107	0.00964	0.00348	0.00971	0.00272	0.00902	0.0	0.00391	0.00953	0.00936
SRR27281489	0.00347	0.00351	0	0.00337	0	0.00273	0.00391	0.0	0.00249	0.00307
SRR27281516	0.00986	0.00923	0.00218	0.00911	0.00121	0.00859	0.00953	0.00249	0.0	0.00895
SRR27281517	0.01009	0.00921	0.00269	0.00912	0.00188	0.00854	0.00936	0.00307	0.00895	0.0
