sample	SRR27281412	SRR27281424	SRR27281435	SRR27281446	SRR27281455	SRR27281466	SRR27281477	SRR27281489	SRR27281516	SRR27281517
SRR27281412	0.0	0.01239	0.00111	0.01271	0.00355	0.01097	0.0129	0.00489	0.01114	0.0113
SRR27281424	0.01239	0.0	0.00027	0.01144	0.00308	0.00957	0.01138	0.00421	0.01003	0.01
SRR27281435	0.00111	0.00027	0.0	0.00094	0	0	0.00093	0	0	0
SRR27281446	0.01271	0.01144	0.00094	0.0	0.00368	0.01008	0.0119	0.00482	0.01035	0.01035
SRR27281455	0.00355	0.00308	0	0.00368	0.0	0.00152	0.00378	0	0.00121	0.00188
SRR27281466	0.01097	0.00957	0	0.01008	0.00152	0.0	0.01002	0.00273	0.00859	0.00854
SRR27281477	0.0129	0.01138	0.00093	0.0119	0.00378	0.01002	0.0	0.00495	0.01052	0.01037
SRR27281489	0.00489	0.00421	0	0.00482	0	0.00273	0.00495	0.0	0.00249	0.00307
SRR27281516	0.01114	0.01003	0	0.01035	0.00121	0.00859	0.01052	0.00249	0.0	0.00895
SRR27281517	0.0113	0.01	0	0.01035	0.00188	0.00854	0.01037	0.00307	0.00895	0.0
