sample	oyster_0.001_1x_1	oyster_0.001_2x_1	oyster_0.001_4x_1	oyster_0.001_8x_1	oyster_0.002_1x_1	oyster_0.002_2x_1	oyster_0.002_4x_1	oyster_0.002_8x_1	oyster_0.004_1x_1	oyster_0.004_2x_1	oyster_0.004_4x_1	oyster_0.004_8x_1	oyster_0.006_1x_1	oyster_0.006_2x_1	oyster_0.006_4x_1	oyster_0.006_8x_1	oyster_0.008_1x_1	oyster_0.008_2x_1	oyster_0.008_4x_1	oyster_0.008_8x_1	oyster_0.01_1x_1	oyster_0.01_2x_1	oyster_0.01_4x_1	oyster_0.01_8x_1	oyster_0.02_1x_1	oyster_0.02_2x_1	oyster_0.02_4x_1	oyster_0.02_8x_1	oyster_0.0_1x_1	oyster_0.0_2x_1	oyster_0.0_4x_1	oyster_0.0_8x_1	
oyster_0.001_1x_1	0.0	0.0073314	0.0137513	0.0126567	0.0258345	0.0226472	0.0234073	0.0162839	0.0277572	0.0243628	0.0252231	0.0182975	0.0293574	0.0262457	0.0270293	0.020175	0.0313754	0.0282961	0.0289331	0.0221577	0.0334625	0.0303333	0.0312088	0.0243459	0.0426802	0.0396711	0.0404095	0.0337652	0.0238338	0.0204513	0.0212644	0.0141653	
oyster_0.001_2x_1	0.0073314	0.0	0.00540569	0.00716995	0.0224129	0.0174712	0.016984	0.0108202	0.0244328	0.0192931	0.0189001	0.0128812	0.0259437	0.0211333	0.0206726	0.014752	0.0279468	0.023089	0.02262	0.0167138	0.0300728	0.0251052	0.0247302	0.0188038	0.0394772	0.0348081	0.0344062	0.0285851	0.0203851	0.0152861	0.0148858	0.00875178	
oyster_0.001_4x_1	0.0137513	0.00540569	0.0	0.00650958	0.0233232	0.0170639	0.0156211	0.0101892	0.025255	0.018772	0.0174757	0.0122237	0.0269315	0.0207872	0.0192937	0.0141368	0.0287932	0.0225861	0.0212432	0.0160819	0.0308882	0.0246574	0.0233301	0.0181405	0.0403647	0.0343459	0.0328558	0.0278656	0.0212644	0.0148724	0.0134956	0.00814239	
oyster_0.001_8x_1	0.0126567	0.00716995	0.00650958	0.0	0.0163492	0.0109997	0.0102899	0.00408267	0.0183735	0.0128816	0.0122857	0.00623953	0.0200223	0.0148542	0.0141267	0.00816694	0.0219562	0.0167834	0.0161511	0.0102203	0.0240597	0.0187768	0.0182281	0.0123087	0.0337915	0.0288192	0.0282436	0.0223903	0.0141511	0.0087385	0.0081154	0.00195292	
oyster_0.002_1x_1	0.0258345	0.0224129	0.0233232	0.0163492	0.0	0.00730182	0.0136963	0.0127981	0.0287544	0.0255401	0.026273	0.0193605	0.0305949	0.0274503	0.028035	0.0212795	0.0324881	0.0293922	0.029876	0.0233141	0.0344938	0.0313406	0.0319979	0.0253586	0.0437802	0.0407823	0.0416063	0.0350605	0.024916	0.0215246	0.022291	0.0152925	
oyster_0.002_2x_1	0.0226472	0.0174712	0.0170639	0.0109997	0.00730182	0.0	0.00542985	0.00729247	0.0256683	0.0204835	0.0200017	0.0140672	0.0274653	0.0224909	0.0218654	0.0159869	0.029168	0.0242202	0.0237744	0.0179505	0.0311754	0.0261884	0.0257809	0.0199243	0.040757	0.0359556	0.0355482	0.02976	0.0216585	0.0165438	0.0160264	0.0099686	
oyster_0.002_4x_1	0.0234073	0.016984	0.0156211	0.0102899	0.0136963	0.00542985	0.0	0.00655881	0.0263526	0.0198593	0.0185308	0.0133349	0.0280475	0.0218626	0.0203864	0.01521	0.0299032	0.0237067	0.0222961	0.017182	0.0318817	0.0257044	0.0243531	0.0192112	0.0413463	0.0353078	0.0338742	0.0289552	0.0224173	0.0160044	0.0145748	0.00930159	
oyster_0.002_8x_1	0.0162839	0.0108202	0.0101892	0.00408267	0.0127981	0.00729247	0.00655881	0.0	0.0194181	0.0138999	0.0133017	0.00726881	0.0210701	0.0158614	0.0151383	0.00919263	0.0230431	0.0177851	0.0171393	0.0112865	0.0250594	0.0197844	0.0192524	0.013348	0.0347963	0.0298069	0.0292239	0.0234318	0.0152267	0.00980928	0.00914927	0.00302844	
oyster_0.004_1x_1	0.0277572	0.0244328	0.025255	0.0183735	0.0287544	0.0256683	0.0263526	0.0194181	0.0	0.00738132	0.0136918	0.0128188	0.0324822	0.0292472	0.0298781	0.0232016	0.0343831	0.0312847	0.031953	0.0252861	0.0363143	0.0329917	0.0338466	0.0272179	0.0454442	0.0425894	0.0433987	0.0368266	0.0266671	0.0236438	0.0243186	0.0172959	
oyster_0.004_2x_1	0.0243628	0.0192931	0.018772	0.0128816	0.0255401	0.0204835	0.0198593	0.0138999	0.00738132	0.0	0.00530444	0.007163	0.0290901	0.0241199	0.023561	0.0177471	0.031141	0.0260081	0.025467	0.019742	0.0328306	0.0278447	0.0274653	0.0217772	0.0423691	0.0376337	0.0370647	0.0314192	0.0234402	0.018424	0.0178402	0.0118653	
oyster_0.004_4x_1	0.0252231	0.0189001	0.0174757	0.0122857	0.026273	0.0200017	0.0185308	0.0133017	0.0136918	0.00530444	0.0	0.00642207	0.0297704	0.02373	0.0222109	0.0170934	0.0317649	0.025495	0.0241358	0.0190389	0.033678	0.0274139	0.0261972	0.0210918	0.0431767	0.0371297	0.0357449	0.0307678	0.0242474	0.0179247	0.0165068	0.0112845	
oyster_0.004_8x_1	0.0182975	0.0128812	0.0122237	0.00623953	0.0193605	0.0140672	0.0133349	0.00726881	0.0128188	0.007163	0.00642207	0.0	0.0230679	0.0179098	0.0170596	0.011255	0.025081	0.0198149	0.0190797	0.0132821	0.0270476	0.0217132	0.0211803	0.0153866	0.0367853	0.0317751	0.0310977	0.0253857	0.0172705	0.0118522	0.0112428	0.00517023	
oyster_0.006_1x_1	0.0293574	0.0259437	0.0269315	0.0200223	0.0305949	0.0274653	0.0280475	0.0210701	0.0324822	0.0290901	0.0297704	0.0230679	0.0	0.00736662	0.0137338	0.012829	0.035719	0.0326432	0.0334724	0.0269033	0.0378205	0.0346777	0.0355118	0.0288761	0.0467889	0.0440981	0.0448235	0.0384312	0.028473	0.0251804	0.0259193	0.0189994	
oyster_0.006_2x_1	0.0262457	0.0211333	0.0207872	0.0148542	0.0274503	0.0224909	0.0218626	0.0158614	0.0292472	0.0241199	0.02373	0.0179098	0.00736662	0.0	0.00537041	0.00714274	0.0327445	0.0278285	0.0274241	0.0216641	0.0346868	0.0298184	0.0293871	0.0236733	0.0438812	0.0392881	0.0389079	0.0332295	0.0253207	0.0203087	0.0197648	0.0138665	
oyster_0.006_4x_1	0.0270293	0.0206726	0.0192937	0.0141267	0.028035	0.0218654	0.0203864	0.0151383	0.0298781	0.023561	0.0222109	0.0170596	0.0137338	0.00537041	0.0	0.00626174	0.0334946	0.0273729	0.0259002	0.0208985	0.0353292	0.0292157	0.0278981	0.0228799	0.0447344	0.0387728	0.0372398	0.0324751	0.026098	0.0197673	0.0183074	0.013155	
oyster_0.006_8x_1	0.020175	0.014752	0.0141368	0.00816694	0.0212795	0.0159869	0.01521	0.00919263	0.0232016	0.0177471	0.0170934	0.011255	0.012829	0.00714274	0.00626174	0.0	0.0268978	0.0216012	0.0209395	0.0151739	0.0287326	0.023524	0.022971	0.0171897	0.0383732	0.0333518	0.0327337	0.0270926	0.0192069	0.0138214	0.0130671	0.00712396	
oyster_0.008_1x_1	0.0313754	0.0279468	0.0287932	0.0219562	0.0324881	0.029168	0.0299032	0.0230431	0.0343831	0.031141	0.0317649	0.025081	0.035719	0.0327445	0.0334946	0.0268978	0.0	0.00744501	0.0137917	0.0129595	0.0398747	0.0366023	0.0373752	0.0307274	0.0485875	0.0459142	0.046603	0.0401619	0.0302788	0.0270752	0.0278361	0.0210592	
oyster_0.008_2x_1	0.0282961	0.023089	0.0225861	0.0167834	0.0293922	0.0242202	0.0237067	0.0177851	0.0312847	0.0260081	0.025495	0.0198149	0.0326432	0.0278285	0.0273729	0.0216012	0.00744501	0.0	0.00533347	0.00713089	0.0367398	0.031734	0.0313216	0.0255725	0.0457367	0.0410618	0.0406328	0.0350605	0.0272105	0.0221742	0.0216543	0.0158076	
oyster_0.008_4x_1	0.0289331	0.02262	0.0212432	0.0161511	0.029876	0.0237744	0.0222961	0.0171393	0.031953	0.025467	0.0241358	0.0190797	0.0334724	0.0274241	0.0259002	0.0209395	0.0137917	0.00533347	0.0	0.00620656	0.037349	0.0312066	0.0297996	0.0248303	0.0463657	0.0405259	0.0389516	0.0343165	0.0279172	0.0216557	0.0203002	0.0151724	
