sample	club-moss_0.001_1x_1	club-moss_0.001_2x_1	club-moss_0.001_4x_1	club-moss_0.001_8x_1	club-moss_0.002_1x_1	club-moss_0.002_2x_1	club-moss_0.002_4x_1	club-moss_0.002_8x_1	club-moss_0.004_1x_1	club-moss_0.004_2x_1	club-moss_0.004_4x_1	club-moss_0.004_8x_1	club-moss_0.006_1x_1	club-moss_0.006_2x_1	club-moss_0.006_4x_1	club-moss_0.006_8x_1	club-moss_0.008_1x_1	club-moss_0.008_2x_1	club-moss_0.008_4x_1	club-moss_0.008_8x_1	club-moss_0.01_1x_1	club-moss_0.01_2x_1	club-moss_0.01_4x_1	club-moss_0.01_8x_1	club-moss_0.02_1x_1	club-moss_0.02_2x_1	club-moss_0.02_4x_1	club-moss_0.02_8x_1	club-moss_0.0_1x_1	club-moss_0.0_2x_1	club-moss_0.0_4x_1	club-moss_0.0_8x_1	
club-moss_0.001_1x_1	0.0	0.0177087	0.0192426	0.0120861	0.0233316	0.0207198	0.0222217	0.0148532	0.025101	0.0225781	0.0240257	0.0168382	0.0270394	0.0245468	0.0258448	0.0188026	0.0288641	0.0263075	0.0277591	0.0206872	0.0305819	0.0281642	0.0295186	0.0226818	0.0395332	0.0375306	0.038523	0.0318507	0.021625	0.0189128	0.0204008	0.0128978	
club-moss_0.001_2x_1	0.0177087	0.0	0.0135699	0.00750009	0.0206069	0.0164462	0.0168204	0.0104566	0.0224617	0.0183109	0.0185219	0.0123181	0.0244304	0.0202944	0.0203779	0.014307	0.0263597	0.0220624	0.0223323	0.0161687	0.0279784	0.0238166	0.0242226	0.018089	0.0368623	0.0332113	0.0331991	0.0273617	0.0189654	0.0146182	0.0150053	0.00849293	
club-moss_0.001_4x_1	0.0192426	0.0135699	0.0	0.00752949	0.0221297	0.0167016	0.0161413	0.0105595	0.0238377	0.0184936	0.0177738	0.012383	0.0256597	0.0203452	0.0195941	0.0142543	0.0275994	0.0222433	0.0216306	0.0161196	0.0292646	0.0239445	0.0233897	0.0180314	0.0380449	0.033232	0.0322931	0.0272069	0.020431	0.0149195	0.0143256	0.00866874	
club-moss_0.001_8x_1	0.0120861	0.00750009	0.00752949	0.0	0.0147458	0.0104283	0.0106524	0.00407534	0.0166031	0.012323	0.0124383	0.00608751	0.01859	0.0143219	0.014379	0.0080996	0.0206182	0.0162777	0.0163769	0.0100895	0.0223446	0.0180763	0.0183314	0.0120925	0.0313709	0.0276957	0.0277108	0.0216103	0.0129869	0.00854235	0.00874109	0.00204394	
club-moss_0.002_1x_1	0.0233316	0.0206069	0.0221297	0.0147458	0.0	0.0176754	0.0193227	0.0120832	0.0258942	0.023366	0.0248294	0.01765	0.0279937	0.0254153	0.0266581	0.0196569	0.0297204	0.0273459	0.0286196	0.021655	0.0315534	0.0290034	0.0303548	0.0234879	0.0402261	0.0381579	0.0393785	0.0326029	0.0223838	0.0196418	0.0212871	0.0138011	
club-moss_0.002_2x_1	0.0207198	0.0164462	0.0167016	0.0104283	0.0176754	0.0	0.013546	0.0074459	0.0234142	0.0192057	0.0193741	0.0132342	0.025292	0.0211803	0.0212247	0.0152164	0.0270687	0.023022	0.0231683	0.0170204	0.0289091	0.0248492	0.0250611	0.0190578	0.0375703	0.0340063	0.0339106	0.0281034	0.0199135	0.0155876	0.015894	0.00947729	
club-moss_0.002_4x_1	0.0222217	0.0168204	0.0161413	0.0106524	0.0193227	0.013546	0.0	0.00747519	0.0248607	0.0194368	0.01876	0.0134335	0.0266689	0.0213531	0.0205976	0.015262	0.0286196	0.0232479	0.0225979	0.0171661	0.0302053	0.0248698	0.0242946	0.0190146	0.038748	0.0339357	0.0329519	0.0280101	0.021456	0.0159016	0.0153392	0.00970447	
club-moss_0.002_8x_1	0.0148532	0.0104566	0.0105595	0.00407534	0.0120832	0.0074459	0.00747519	0.0	0.0176309	0.0133257	0.0134019	0.00709511	0.019611	0.0152811	0.0153047	0.00909641	0.0215629	0.017227	0.0173119	0.0110506	0.0232958	0.0190152	0.0192198	0.0130207	0.0321578	0.028424	0.0284288	0.0223998	0.0140102	0.00951582	0.0097107	0.00308558	
club-moss_0.004_1x_1	0.025101	0.0224617	0.0238377	0.0166031	0.0258942	0.0234142	0.0248607	0.0176309	0.0	0.017915	0.019123	0.0123087	0.0295733	0.0270486	0.0282407	0.021474	0.0316135	0.0289863	0.0302255	0.0233813	0.033309	0.0309431	0.0321753	0.0253764	0.041841	0.0396438	0.0408497	0.0342181	0.0241915	0.0215184	0.022971	0.0156572	
club-moss_0.004_2x_1	0.0225781	0.0183109	0.0184936	0.012323	0.023366	0.0192057	0.0194368	0.0133257	0.017915	0.0	0.0132525	0.00744353	0.0270083	0.0229247	0.0229105	0.0170046	0.0289612	0.0248303	0.0247449	0.0188609	0.0305808	0.0264495	0.026677	0.0207631	0.0392343	0.0354431	0.0353479	0.0297236	0.0217856	0.0174183	0.0176838	0.0113905	
