sample	rotifer_0.001_1x_1	rotifer_0.001_2x_1	rotifer_0.001_4x_1	rotifer_0.001_8x_1	rotifer_0.002_1x_1	rotifer_0.002_2x_1	rotifer_0.002_4x_1	rotifer_0.002_8x_1	rotifer_0.004_1x_1	rotifer_0.004_2x_1	rotifer_0.004_4x_1	rotifer_0.004_8x_1	rotifer_0.006_1x_1	rotifer_0.006_2x_1	rotifer_0.006_4x_1	rotifer_0.006_8x_1	rotifer_0.008_1x_1	rotifer_0.008_2x_1	rotifer_0.008_4x_1	rotifer_0.008_8x_1	rotifer_0.01_1x_1	rotifer_0.01_2x_1	rotifer_0.01_4x_1	rotifer_0.01_8x_1	rotifer_0.02_1x_1	rotifer_0.02_2x_1	rotifer_0.02_4x_1	rotifer_0.02_8x_1	rotifer_0.0_1x_1	rotifer_0.0_2x_1	rotifer_0.0_4x_1	rotifer_0.0_8x_1	
rotifer_0.001_1x_1	0.0	0.0192119	0.0197161	0.0137553	0.0274148	0.0232433	0.0231365	0.0167909	0.0294168	0.025308	0.0252618	0.0188645	0.0313967	0.0272355	0.0272837	0.0207945	0.0332821	0.0290679	0.0290962	0.0227921	0.0352211	0.0310844	0.0311543	0.0247211	0.0449987	0.0406094	0.0408076	0.0345222	0.0256838	0.0211237	0.0211714	0.0147344	
rotifer_0.001_2x_1	0.0192119	0.0	0.0126941	0.00757148	0.0229748	0.0172854	0.0162569	0.0106112	0.0252433	0.019448	0.0182951	0.0126509	0.0271092	0.0214393	0.0203622	0.0146907	0.0291316	0.0232342	0.0221756	0.0166254	0.030942	0.0253122	0.024178	0.0186114	0.0409734	0.0350724	0.0340417	0.0286651	0.0212692	0.0152154	0.0142973	0.00858681	
rotifer_0.001_4x_1	0.0197161	0.0126941	0.0	0.00631824	0.0232524	0.0162605	0.0143595	0.00940086	0.0253181	0.0183747	0.0164147	0.0114524	0.0272115	0.0203237	0.0184806	0.0134903	0.029165	0.0221929	0.0202794	0.0153743	0.0310734	0.0241629	0.0222332	0.0173318	0.0409259	0.0339773	0.0321079	0.0273673	0.0213675	0.0142076	0.012397	0.00738132	
rotifer_0.001_8x_1	0.0137553	0.00757148	0.00631824	0.0	0.0167936	0.0106384	0.00938901	0.00385693	0.0187912	0.0128214	0.0114929	0.00591235	0.020816	0.0147691	0.0135446	0.00794532	0.0227877	0.0166584	0.0154124	0.00992256	0.0247269	0.0186626	0.0173834	0.0118949	0.0346803	0.0286444	0.0274111	0.0220402	0.014869	0.00859867	0.00738721	0.00180216	
rotifer_0.002_1x_1	0.0274148	0.0229748	0.0232524	0.0167936	0.0	0.019324	0.0198136	0.0137746	0.0302959	0.0263429	0.0263704	0.0198415	0.0322604	0.0282301	0.0283887	0.0219107	0.0341456	0.0301469	0.0302096	0.0237947	0.0362697	0.0320234	0.0321381	0.0257241	0.046185	0.0419202	0.0419821	0.0358651	0.0264914	0.0222102	0.0223105	0.0158041	
rotifer_0.002_2x_1	0.0232433	0.0172854	0.0162605	0.0106384	0.019324	0.0	0.0126634	0.00761269	0.0260482	0.0204539	0.0192869	0.0136735	0.0280716	0.0224479	0.02136	0.0157479	0.0302618	0.0243114	0.0231683	0.0176872	0.0319219	0.0261533	0.0251119	0.0196223	0.0418586	0.0361087	0.0350645	0.0296965	0.0223671	0.0162704	0.0153284	0.00965717	
rotifer_0.002_4x_1	0.0231365	0.0162569	0.0143595	0.00938901	0.0198136	0.0126634	0.0	0.00631742	0.026273	0.019319	0.0173917	0.0124743	0.0282262	0.0213862	0.0194312	0.0144659	0.0301819	0.0231902	0.0213379	0.0163984	0.0320488	0.0251319	0.0232608	0.0183706	0.0420565	0.0350513	0.0330933	0.0284005	0.0225172	0.0152649	0.0134608	0.00841327	
rotifer_0.002_8x_1	0.0167909	0.0106112	0.00940086	0.00385693	0.0137746	0.00761269	0.00631742	0.0	0.0197319	0.0138052	0.0125203	0.00694722	0.0218817	0.0158152	0.0145824	0.00898732	0.0238675	0.0177352	0.0164936	0.010985	0.025725	0.0196834	0.0184529	0.0129826	0.0356592	0.0296167	0.0283321	0.0230589	0.0159266	0.00964649	0.00843924	0.00285718	
rotifer_0.004_1x_1	0.0294168	0.0252433	0.0253181	0.0187912	0.0302959	0.0260482	0.026273	0.0197319	0.0	0.0194623	0.0199691	0.0138556	0.0343562	0.0302703	0.0302767	0.0238072	0.036615	0.0323763	0.0322674	0.0259046	0.0378831	0.0340455	0.0340228	0.0276164	0.0479986	0.0434907	0.0437649	0.0374909	0.0283702	0.0241955	0.024273	0.0177585	
rotifer_0.004_2x_1	0.025308	0.019448	0.0183747	0.0128214	0.0263429	0.0204539	0.019319	0.0138052	0.0194623	0.0	0.0127471	0.00768316	0.0304374	0.0245704	0.0234387	0.0178881	0.0324116	0.0264326	0.0253105	0.0198307	0.0341367	0.028336	0.0272253	0.021792	0.0440115	0.0381292	0.0369683	0.0316964	0.024301	0.0184694	0.0174406	0.011816	
rotifer_0.004_4x_1	0.0252618	0.0182951	0.0164147	0.0114929	0.0263704	0.0192869	0.0173917	0.0125203	0.0199691	0.0127471	0.0	0.00634794	0.0303612	0.0234264	0.02142	0.0165665	0.0322452	0.0252517	0.023327	0.0184971	0.0340822	0.0271912	0.0251453	0.0203648	0.0439463	0.0369296	0.0349313	0.0303152	0.0244715	0.01741	0.0154624	0.0104963	
rotifer_0.004_8x_1	0.0188645	0.0126509	0.0114524	0.00591235	0.0198415	0.0136735	0.0124743	0.00694722	0.0138556	0.00768316	0.00634794	0.0	0.023913	0.0178397	0.0166005	0.0110087	0.0259854	0.0197522	0.0184747	0.0129989	0.0277203	0.021761	0.0203675	0.0149782	0.0377358	0.0316577	0.0303698	0.0251152	0.017923	0.0117143	0.010497	0.00492648	
